"","Year","Members","Wards","Stakes","Missions","Missionaries"
"1",1830,280,4,0,0,16
"2",1831,680,6,0,0,58
"3",1832,2661,33,0,0,72
"4",1833,3140,40,0,0,41
"5",1834,4372,40,2,0,111
"6",1835,8835,48,2,0,84
"7",1836,13293,54,2,0,80
"8",1837,16282,67,2,1,52
"9",1838,17881,91,2,1,16
"10",1839,16460,86,3,2,67
"11",1840,16865,87,3,2,80
"12",1841,19856,103,2,2,100
"13",1842,23564,225,2,2,45
"14",1843,25980,269,2,2,374
"15",1844,26146,272,2,3,586
"16",1845,30332,311,1,4,84
"17",1846,33993,341,0,5,32
"18",1847,34694,405,1,5,40
"19",1848,40477,481,1,5,55
"20",1849,48160,590,1,5,58
"21",1850,51839,698,1,9,50
"22",1851,52165,777,4,11,44
"23",1852,52640,860,5,13,158
"24",1853,64154,960,5,14,33
"25",1854,68429,938,6,13,119
"26",1855,63974,957,6,14,65
"27",1856,63881,965,7,12,130
"28",1857,55236,819,6,12,88
"29",1858,55755,742,4,9,0
"30",1859,57038,733,4,9,18
"31",1860,61082,721,4,8,96
"32",1861,66211,714,4,7,19
"33",1862,68780,698,4,7,27
"34",1863,71770,667,4,7,50
"35",1864,74348,632,4,8,52
"36",1865,76771,600,4,8,71
"37",1866,77884,587,4,8,32
"38",1867,81124,582,4,8,133
"39",1868,84622,563,5,8,32
"40",1869,88432,570,9,7,250
"41",1870,90130,558,9,7,46
"42",1871,95596,542,9,7,167
"43",1872,98152,553,9,7,132
"44",1873,101538,561,9,7,35
"45",1874,103916,525,10,7,98
"46",1875,107167,524,10,7,197
"47",1876,111111,537,10,8,211
"48",1877,115065,537,20,8,154
"49",1878,125046,526,21,9,152
"50",1879,128386,552,22,10,179
"51",1880,133628,559,23,10,219
"52",1881,140733,576,23,10,199
"53",1882,145604,583,24,10,237
"54",1883,151593,609,27,11,248
"55",1884,158242,636,29,13,205
"56",1885,164130,659,29,12,235
"57",1886,166653,657,30,12,209
"58",1887,173029,686,31,12,282
"59",1888,180294,709,32,13,242
"60",1889,183144,727,32,12,249
"61",1890,188263,725,32,12,283
"62",1891,195445,741,32,12,331
"63",1892,200961,789,33,14,324
"64",1893,214534,807,34,15,317
"65",1894,222369,813,34,15,162
"66",1895,231116,835,37,15,526
"67",1896,241427,837,37,17,746
"68",1897,255736,867,37,18,922
"69",1898,267251,917,40,20,943
"70",1899,271681,918,40,20,1059
"71",1900,283765,967,43,20,796
"72",1901,292931,1019,50,21,522
"73",1902,299105,1076,50,22,848
"74",1903,304901,1089,51,23,658
"75",1904,324289,1094,55,21,699
"76",1905,332048,1141,55,22,716
"77",1906,345014,1177,55,22,1015
"78",1907,357913,1192,55,22,930
"79",1908,371472,1261,59,22,919
"80",1909,377279,1274,60,21,1014
"81",1910,398478,1310,62,21,933
"82",1911,407291,1338,62,21,822
"83",1912,417555,1363,65,22,769
"84",1913,431607,1399,66,22,858
"85",1914,454718,1373,68,21,684
"86",1915,466238,1391,72,21,621
"87",1916,477321,1367,73,22,722
"88",1917,488038,1453,75,22,1
"89",1918,495962,1452,75,22,245
"90",1919,507961,1442,79,23,1211
"91",1920,525987,1527,83,24,889
"92",1921,548803,1598,86,25,880
"93",1922,566358,1607,87,25,886
"94",1923,575896,1659,90,26,812
"95",1924,597861,1685,94,25,867
"96",1925,613572,1705,94,28,1131
"97",1926,623909,1731,96,28,1236
"98",1927,644745,1763,99,28,1017
"99",1928,655686,1817,101,29,1193
"100",1929,663652,1827,104,30,1058
"101",1930,670017,1868,104,30,896
"102",1931,688435,1865,104,31,678
"103",1932,703949,1879,104,31,399
"104",1933,717619,1889,105,31,525
"105",1934,730738,1927,110,31,843
"106",1935,746384,1964,115,32,960
