"","Date","Total.Steps","Aerobic.Steps","Aerobic.Walking.Time","Calories","Distance","Fat.Burned","Steps.12AM","Steps.1AM","Steps.2AM","Steps.3AM","Steps.4AM","Steps.5AM","Steps.6AM","Steps.7AM","Steps.8AM","Steps.9AM","Steps.10AM","Steps.11AM","Steps.12PM","Steps.1PM","Steps.2PM","Steps.3PM","Steps.4PM","Steps.5PM","Steps.6PM","Steps.7PM","Steps.8PM","Steps.9PM","Steps.10PM","Steps.11PM","Aerobic.Steps.12AM","Aerobic.Steps.1AM","Aerobic.Steps.2AM","Aerobic.Steps.3AM","Aerobic.Steps.4AM","Aerobic.Steps.5AM","Aerobic.Steps.6AM","Aerobic.Steps.7AM","Aerobic.Steps.8AM","Aerobic.Steps.9AM","Aerobic.Steps.10AM","Aerobic.Steps.11AM","Aerobic.Steps.12PM","Aerobic.Steps.1PM","Aerobic.Steps.2PM","Aerobic.Steps.3PM","Aerobic.Steps.4PM","Aerobic.Steps.5PM","Aerobic.Steps.6PM","Aerobic.Steps.7PM","Aerobic.Steps.8PM","Aerobic.Steps.9PM","Aerobic.Steps.10PM","Aerobic.Steps.11PM","Used.12AM","Used.1AM","Used.2AM","Used.3AM","Used.4AM","Used.5AM","Used.6AM","Used.7AM","Used.8AM","Used.9AM","Used.10AM","Used.11AM","Used.12PM","Used.1PM","Used.2PM","Used.3PM","Used.4PM","Used.5PM","Used.6PM","Used.7PM","Used.8PM","Used.9PM","Used.10PM","Used.11PM"
"1",2013-05-06,2181,0,0,99,0.68,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,26,107,29,508,445,66,49,281,625,33,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"2",2013-05-07,6773,0,0,339,2.13,18.8,0,0,0,0,0,0,0,95,476,14,0,0,448,46,286,28,492,651,128,2544,1421,79,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"3",2013-05-08,7830,5534,48,352,2.47,20.9,0,0,0,0,0,0,0,361,295,403,0,0,178,291,2950,7,2741,375,68,98,41,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2851,0,2683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"4",2013-05-09,4698,0,0,200,1.48,11.1,0,0,0,0,0,0,0,103,945,1061,499,583,40,84,815,157,152,114,125,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5",2013-05-10,10075,2464,23,504,3.18,28.1,0,0,0,0,0,0,0,381,1483,37,597,0,173,0,485,554,2059,782,1274,1120,886,216,0,28,0,0,0,0,0,0,0,0,1440,0,0,0,0,0,0,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6",2013-05-11,8690,1036,10,414,2.74,23,0,0,0,0,0,0,0,0,0,897,553,191,1447,457,179,575,2820,352,762,68,73,163,153,0,0,0,0,0,0,0,0,0,0,0,0,0,1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"7",2013-05-13,10936,5925,53,524,3.45,30.9,0,0,0,0,0,0,55,295,880,263,534,167,292,3332,0,2865,510,934,15,89,535,136,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,3157,0,2768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8",2013-05-15,2834,0,0,132,0.89,7.3,0,0,0,0,0,0,0,80,514,14,248,282,152,66,52,0,507,155,134,342,247,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9",2013-05-16,6139,0,0,327,1.93,18.3,0,0,0,0,0,0,0,0,0,0,0,159,2385,109,1002,1032,66,384,590,329,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
"10",2013-05-17,3006,0,0,148,0.94,8.1,0,0,0,0,0,0,0,458,214,808,0,0,173,42,0,94,537,388,50,36,24,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"11",2013-05-18,6243,0,0,281,1.97,15.6,0,0,0,0,0,0,87,98,1878,26,0,100,91,260,159,705,0,650,602,421,707,374,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"12",2013-05-19,1935,0,0,71,0.61,3.9,0,0,0,0,0,0,0,0,0,85,524,89,769,213,21,45,0,22,32,8,7,54,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"13",2013-05-20,8344,1501,14,414,2.63,23.9,0,0,0,0,0,0,0,393,217,385,127,0,180,0,589,1537,618,381,107,667,2968,60,38,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14",2013-05-21,3239,0,0,157,1.02,8.6,0,0,0,0,0,0,0,356,207,391,0,9,408,42,57,363,551,372,289,62,0,106,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"15",2013-05-22,3485,0,0,172,1.1,9.4,0,0,0,0,0,0,0,0,0,49,769,506,871,360,129,300,0,347,57,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"16",2013-05-23,5392,0,0,254,1.7,14.1,0,0,0,0,0,0,312,0,450,270,0,0,452,203,247,107,866,405,597,547,834,40,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"17",2013-05-24,6258,0,0,334,1.97,18.3,0,0,0,0,0,0,0,362,588,0,86,128,159,0,347,0,537,1157,1138,464,1211,52,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"18",2013-05-25,6284,0,0,321,1.98,17.8,0,0,0,0,0,0,0,0,441,689,467,764,1291,227,494,564,0,305,743,96,104,28,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"19",2013-05-26,2586,0,0,117,0.81,6.5,0,0,0,0,0,0,0,0,0,0,0,57,544,370,343,149,869,127,0,18,52,32,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
"20",2013-05-27,6274,2276,21,307,1.98,17.4,0,0,0,0,0,0,0,0,0,73,1140,976,0,221,261,0,465,334,2318,313,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2166,110,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"21",2013-05-28,4552,1027,10,219,1.43,12.1,0,0,0,0,0,0,0,372,1048,27,46,44,634,352,0,816,263,297,514,85,14,0,40,0,0,0,0,0,0,0,0,0,1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"22",2013-05-29,4117,0,0,217,1.29,12,0,0,0,0,0,0,0,35,510,344,110,125,7,1052,0,674,383,522,23,129,72,72,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"23",2013-05-30,6112,3181,29,281,1.92,16.2,0,0,0,0,0,0,0,0,148,1191,1171,709,181,0,1992,0,515,73,37,0,0,63,32,0,0,0,0,0,0,0,0,0,0,0,1133,222,0,0,1826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"24",2013-05-31,7567,3451,33,373,2.38,21.2,0,0,0,0,0,0,70,278,553,0,0,1753,189,0,1920,0,567,362,506,1258,57,0,54,0,0,0,0,0,0,0,0,0,0,0,0,1577,0,0,1874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
