"","dtime","lat","lon","lc"
"1500",2002-09-09 19:11:29,77.153,14.735,-2
"1501",2002-09-09 19:20:29,77.17,14.923,-1
"1502",2002-09-09 19:25:18,77.155,14.789,-1
"1503",2002-09-09 21:05:47,77.207,14.601,-1
"1504",2002-09-09 21:19:25,77.21,14.624,-2
"1505",2002-09-09 22:11:03,77.203,14.628,1
"1506",2002-09-10 00:25:05,77.19,14.395,-2
"1507",2002-09-10 02:08:30,77.203,14.593,2
"1508",2002-09-10 02:10:14,77.195,14.645,0
"1509",2002-09-10 02:11:28,77.212,14.718,-2
"1510",2002-09-10 02:22:57,77.145,14.179,-2
"1511",2002-09-10 03:16:22,77.207,14.616,1
"1512",2002-09-10 04:05:00,77.199,14.665,0
"1513",2002-09-10 05:01:03,77.102,14.703,0
"1514",2002-09-10 06:59:54,77.211,14.511,-2
"1515",2002-09-10 07:00:21,77.207,14.441,-1
"1516",2002-09-10 07:07:11,77.209,14.532,1
"1517",2002-09-10 07:07:11,77.213,14.498,1
"1518",2002-09-10 09:10:08,77.203,14.569,3
"1519",2002-09-10 10:00:48,77.199,14.563,-1
"1520",2002-09-10 12:07:10,77.189,14.72,1
"1521",2002-09-10 12:07:36,77.206,14.603,1
"1522",2002-09-10 13:20:33,77.178,14.741,-1
"1523",2002-09-10 13:20:51,77.195,14.313,-1
"1524",2002-09-10 14:14:26,77.131,14.386,-2
"1525",2002-09-10 15:31:06,77.113,14.884,-2
"1526",2002-09-10 17:14:22,77.182,14.693,-1
"1527",2002-09-10 17:19:20,77.223,14.316,-2
"1528",2002-09-10 19:21:06,77.16,14.657,-1
"1529",2002-09-10 20:17:40,77.159,14.54,3
"1530",2002-09-10 21:04:11,77.141,14.414,-2
"1531",2002-09-10 22:02:41,77.14,14.226,-1
"1532",2002-09-10 22:21:51,77.157,14.21,-2
"1533",2002-09-10 22:23:52,77.161,14.181,-2
"1534",2002-09-10 22:25:40,77.171,14.213,-2
"1535",2002-09-10 23:29:37,77.268,13.582,-2
"1536",2002-09-11 00:05:02,77.189,14.022,-2
"1537",2002-09-11 00:28:37,77.189,13.987,-1
"1538",2002-09-11 01:16:24,77.217,14.603,-2
"1539",2002-09-11 03:04:58,77.264,13.786,-1
"1540",2002-09-11 03:21:16,77.298,14.029,-2
"1541",2002-09-11 03:25:17,77.28,13.927,-1
"1542",2002-09-11 03:25:37,77.274,13.804,-1
"1543",2002-09-11 04:27:48,77.279,13.767,-2
"1544",2002-09-11 05:04:55,77.311,13.858,-2
"1545",2002-09-11 05:07:53,77.289,13.761,-2
"1546",2002-09-11 06:26:55,77.454,14.004,-2
"1547",2002-09-11 07:15:40,77.409,13.753,2
"1548",2002-09-11 08:03:32,77.443,13.845,-2
"1549",2002-09-11 08:29:22,77.347,13.236,-2
"1550",2002-09-11 08:30:56,77.449,13.709,-1
"1551",2002-09-11 08:32:32,77.446,13.746,1
"1552",2002-09-11 08:34:54,77.462,13.632,-2
"1553",2002-09-11 09:02:39,77.491,13.655,-2
"1554",2002-09-11 10:07:34,77.484,13.791,3
"1555",2002-09-11 10:11:28,77.482,13.771,-2
"1556",2002-09-11 12:17:21,77.534,13.851,-1
"1557",2002-09-11 13:11:59,77.552,13.898,-2
"1558",2002-09-11 14:00:31,77.572,14.022,-2
"1559",2002-09-11 15:09:48,77.598,14.039,-1
"1560",2002-09-11 15:11:14,77.591,14.031,-1
"1561",2002-09-11 15:24:36,77.604,14.03,-1
"1562",2002-09-11 17:05:48,77.674,14.129,-2
"1563",2002-09-11 18:19:30,77.689,14.105,-1
"1564",2002-09-11 19:05:51,77.689,14.22,-1
"1565",2002-09-11 20:02:47,77.722,14.378,2
"1566",2002-09-11 20:14:33,77.714,14.317,-2
"1567",2002-09-11 20:15:25,77.734,14.446,-1
"1568",2002-09-11 22:01:42,77.754,14.586,-1
"1569",2002-09-11 22:02:27,77.755,14.561,3
"1570",2002-09-11 22:10:22,77.752,14.599,1
"1571",2002-09-11 22:14:59,77.707,14.805,-2
"1572",2002-09-11 23:06:59,77.751,14.579,0
"1573",2002-09-11 23:10:59,77.92,13.86,-2
