"","year","stratum","subunit","total","cows","calves","bulls","unclass","voc","grpsize"
"1",2004,1,140,2,1,1,0,0,90,2
"2",2004,1,140,1,0,0,1,0,90,1
"3",2004,1,140,2,0,0,2,0,75,2
"4",2004,1,140,3,1,0,2,0,0,3
"5",2004,1,180,2,2,0,0,0,85,2
"6",2004,1,210,1,1,0,0,0,100,1
"7",2004,1,140,2,1,1,0,0,90,2
"8",2004,1,140,1,1,0,0,0,85,1
"9",2004,1,32,4,0,0,4,0,20,4
"10",2004,1,41,1,0,0,0,1,80,1
"11",2004,1,180,2,1,1,0,0,0,2
"12",2004,1,180,2,1,1,0,0,80,2
"13",2004,1,41,1,0,0,1,0,90,1
"14",2004,1,41,2,1,1,0,0,75,2
"15",2004,1,41,1,0,0,0,1,85,1
"16",2004,1,41,1,0,0,1,0,90,1
"17",2004,1,140,1,1,0,0,0,0,1
"18",2004,1,180,1,0,0,1,0,50,1
"19",2004,1,180,4,1,1,2,0,75,4
"20",2004,1,140,3,1,2,0,0,0,3
"21",2004,1,180,1,1,0,0,0,90,1
"22",2004,1,140,3,0,0,2,1,100,3
"23",2004,1,180,1,0,0,0,1,75,1
"24",2004,1,180,1,0,0,0,1,90,1
"25",2004,1,41,2,0,0,1,1,100,2
"26",2004,1,137,2,1,1,0,0,75,2
"27",2004,1,210,2,1,1,0,0,80,2
"28",2004,1,41,2,0,0,0,2,100,2
"29",2004,1,137,2,0,0,2,0,50,2
"30",2004,1,110,2,1,1,0,0,40,2
"31",2004,1,137,2,0,0,2,0,30,2
"32",2004,1,88,1,0,0,1,0,85,1
"33",2004,1,110,1,0,0,1,0,0,1
"34",2004,1,140,4,3,0,1,0,85,4
"35",2004,1,180,1,0,0,1,0,0,1
"36",2004,1,180,1,0,0,1,0,40,1
"37",2004,1,210,3,0,0,3,0,100,3
"38",2004,2,18,1,0,0,1,0,0,1
"39",2004,2,18,1,1,0,0,0,0,1
"40",2004,2,18,1,0,0,1,0,25,1
"41",2004,2,18,1,1,0,0,0,30,1
"42",2004,2,18,1,0,0,1,0,35,1
"43",2004,2,18,1,0,0,0,1,40,1
"44",2004,2,18,1,0,0,1,0,40,1
"45",2004,2,18,1,0,0,0,1,50,1
"46",2004,2,18,1,1,0,0,0,50,1
"47",2004,2,18,1,0,0,1,0,50,1
"48",2004,2,18,1,1,0,0,0,50,1
"49",2004,2,18,1,0,0,1,0,60,1
"50",2004,2,18,1,1,0,0,0,65,1
"51",2004,2,18,1,0,0,1,0,65,1
"52",2004,2,18,1,0,0,1,0,75,1
"53",2004,2,18,1,0,0,1,0,100,1
"54",2004,2,18,2,1,1,0,0,25,2
"55",2004,2,18,2,1,1,0,0,40,2
"56",2004,2,18,2,1,0,1,0,40,2
"57",2004,2,18,2,1,1,0,0,50,2
"58",2004,2,18,2,2,0,0,0,50,2
"59",2004,2,18,2,2,0,0,0,60,2
"60",2004,2,18,2,0,0,2,0,70,2
"61",2004,2,18,2,1,1,0,0,75,2
"62",2004,2,18,2,1,1,0,0,75,2
"63",2004,2,18,2,0,0,2,0,80,2
"64",2004,2,18,2,0,0,1,1,90,2
"65",2004,2,18,4,1,0,3,0,75,4
"66",2004,2,18,5,1,1,3,0,75,5
"67",2004,2,256,2,1,1,0,0,40,2
"68",2004,2,256,2,0,0,2,0,70,2
"69",2004,2,260,1,0,0,1,0,40,1
"70",2004,2,260,1,1,0,0,0,50,1
"71",2004,2,260,1,0,0,0,1,60,1
"72",2004,2,260,2,2,0,0,0,20,2
"73",2004,2,260,2,0,0,2,0,40,2
"74",2004,2,260,2,1,1,0,0,50,2
"75",2004,2,54,2,1,1,0,0,80,2
"76",2004,2,260,3,0,0,3,0,30,3
"77",2004,2,260,3,0,0,3,0,70,3
"78",2004,2,260,3,1,1,1,0,90,3
"79",2004,2,260,5,0,0,4,1,70,5
"80",2004,2,204,2,1,1,0,0,45,2
"81",2004,2,204,2,1,1,0,0,100,2
"82",2004,2,248,1,1,0,0,0,50,1
"83",2004,2,248,1,0,0,1,0,60,1
"84",2004,2,248,1,1,0,0,0,60,1
"85",2004,2,248,1,1,0,0,0,60,1
"86",2004,2,248,1,1,0,0,0,60,1
"87",2004,2,248,2,1,1,0,0,30,2
"88",2004,2,248,2,1,1,0,0,40,2
"89",2004,2,248,2,1,1,0,0,50,2
"90",2004,2,248,2,2,0,0,0,50,2
"91",2004,2,213,2,1,1,0,0,10,2
"92",2004,2,213,2,1,1,0,0,40,2
"93",2004,2,215,1,0,0,1,0,0,1
"94",2004,2,215,1,0,0,1,0,10,1
"95",2004,2,215,1,0,0,1,0,20,1
"96",2004,2,215,1,0,0,1,0,40,1
"97",2004,2,215,1,0,0,1,0,50,1
"98",2004,2,215,2,1,1,0,0,20,2
"99",2004,2,215,2,0,0,0,2,50,2
"100",2004,2,215,2,0,0,2,0,50,2
"101",2004,2,215,2,0,0,2,0,60,2
"102",2004,2,194,1,1,0,0,0,20,1
"103",2004,2,194,1,0,0,1,0,20,1
"104",2004,2,194,1,0,0,1,0,30,1
"105",2004,2,194,1,1,0,0,0,30,1
"106",2004,2,194,1,1,0,0,0,30,1
"107",2004,2,194,1,0,0,1,0,30,1
"108",2004,2,194,1,1,0,0,0,40,1
"109",2004,2,194,2,0,0,2,0,0,2
"110",2004,2,194,2,2,0,0,0,30,2
"111",2004,2,194,2,1,0,1,0,30,2
"112",2004,2,194,2,0,0,2,0,30,2
"113",2004,2,194,2,0,0,2,0,50,2
"114",2004,2,194,3,0,0,3,0,40,3
"115",2004,2,194,5,0,0,5,0,30,5
"116",2004,2,194,5,1,1,3,0,30,5
"117",2004,2,194,5,2,0,2,1,40,5
"118",2004,2,204,1,0,0,1,0,30,1
"119",2004,2,204,1,0,0,1,0,100,1
"120",2004,2,248,1,1,0,0,0,50,1
"121",2004,2,248,1,1,0,0,0,50,1
"122",2004,2,248,3,2,0,1,0,40,3
