"","GroupSize","Terrain","pct.VegCover","stratum","total","subunit"
"1",1,0,38,1,1,69
"2",1,0,38,1,1,69
"3",1,0,3.25,1,1,69
"4",1,0,3.25,1,1,69
"5",1,0,1.77,1,1,69
"6",1,1,1.77,1,1,69
"7",3,0,38,1,3,125
"8",2,1,1.77,1,2,125
"9",1,1,1.77,1,1,125
"10",1,0,3.25,1,1,125
"11",1,0,1.77,1,1,65
"12",2,0,1.77,1,2,78
"13",6,0,3.25,1,6,78
"14",1,0,1.77,1,1,78
"15",3,0,1.77,1,3,78
"16",3,0,1.77,1,3,78
"17",2,0,1.77,1,2,78
"18",5,0,1.77,1,5,78
"19",4,0,3.25,1,4,78
"20",1,1,1.77,1,1,78
"21",8,0,1.77,1,8,78
"22",1,0,1.77,1,1,78
"23",1,0,38,1,1,78
"24",4,0,0,1,4,78
"25",1,1,1.77,1,1,78
"26",2,0,38,1,2,126
"27",1,0,3.25,1,1,126
"28",1,0,3.25,1,1,126
"29",1,0,38,1,1,126
"30",6,0,3.25,1,6,126
"31",5,0,38,1,5,126
"32",2,1,38,1,2,126
"33",1,0,1.77,1,1,126
"34",1,1,1.77,1,1,126
"35",2,0,0,1,2,126
"36",1,0,1.77,1,1,126
"37",2,0,1.77,1,2,126
"38",3,0,1.77,1,3,128
"39",2,0,1.77,1,2,128
"40",4,1,1.77,1,4,128
"41",1,0,3.25,1,1,128
"42",1,0,1.77,1,1,139
"43",5,1,1.77,1,5,139
"44",2,0,3.25,1,2,139
"45",1,1,1.77,1,1,139
"46",8,0,1.77,1,8,139
"47",3,0,0,1,3,139
"48",1,0,0,1,1,139
"49",10,0,38,1,10,100
"50",2,0,1.77,1,2,100
"51",3,0,3.25,2,3,52
"52",1,0,1.77,2,1,70
"53",2,0,1.77,2,2,83
"54",1,1,1.77,2,1,83
"55",1,0,1.77,2,1,83
"56",1,0,1.77,2,1,90
"57",2,0,1.77,2,2,103
"58",1,0,1.77,2,1,114
"59",1,0,38,2,1,115
"60",3,0,63,2,3,115
"61",1,0,3.25,2,1,115
"62",1,0,1.77,2,1,115
"63",4,0,38,2,4,115
"64",1,1,1.77,2,1,116
"65",1,0,1.77,2,1,124
"66",1,0,0,2,1,124
"67",1,0,1.77,2,1,124
"68",8,1,38,2,8,129
"69",1,0,0,2,1,129
"70",3,0,1.77,2,3,129
"71",3,0,0,2,3,129
"72",3,1,1.77,2,3,129
"73",1,0,1.77,2,1,131
"74",6,0,1.77,2,6,131
"75",3,0,1.77,2,3,131
"76",1,0,1.77,2,1,131
"77",1,0,1.77,2,1,132
