"","meaning","emoticon"
"1","Alien","(.V.)"
"2","Angel","O:-)"
"3","Angry","X-("
"4","Baby","~:0"
"5","Big Grin",":-D"
"6","Bird","(*v*)"
"7","Braces",":-#"
"8","Broken Heart","</3"
"9","Cat","=^.^="
"10","Clown","*<:o)"
"11","Confused","O.o"
"12","Confused",":-S"
"13","Cool","B-)"
"14","Crying",":_("
"15","Crying",":'("
"16","Crying","QQ"
"17","Dancing","\:D/"
"18","Dazed","*-*"
"19","Dog",":o3"
"20","Doh!","#-o"
"21","Drunk",":*)"
"22","Emo","//_^"
"23","Evil Grin",">:)"
"24","Fish","<><"
"25","Frown",":-("
"26","Frown",":("
"27","Frowning",":-("
"28","Frustrated","=P"
"29","Frustrated",":-P"
"30","Glasses","8-)"
"31","Greedy","$_$"
"32","Grin",":->"
"33","Happy","=)"
"34","Happy",":-)"
"35","Happy",":)"
"36","Hashtag","#"
"37","Heart","<3"
"38","Hug","{}"
"39","Indifferent",":-|"
"40","Joking","X-p"
"41","Kiss",":-)*"
"42","Kiss",":-*"
"43","Kissing","(-}{-)"
"44","Laughing Out Loud","=D"
"45","Left-handed Sad Face",")-:"
"46","Left-handed Smiley Face","(-:"
"47","Love","<3"
"48","Mad","=/"
"49","Married",":-)(-:"
"50","Mention","@"
"51","Mouse","<:3)~"
"52","Napping","~,~"
"53","Nerd",":-B"
"54","Overjoyed","^_^"
"55","Partying","<l:0"
"56","Perplexed",":-/"
"57","Pig","=8)"
"58","Rose","@~)~~~~"
"59","Sad","=("
"60","Sad",":-("
"61","Sad",":("
"62","Sarcastic",":-7"
"63","Screaming",":-@"
"64","Shocked","=O"
"65","Shocked",":-o"
"66","Smile",":-)"
"67","Smile",":)"
"68","Smoking",":-Q"
"69","Smug",":>"
"70","Sticking Tongue Out",":P"
"71","Surprised",":o"
"72","Tongue in Cheek",":-J"
"73","Tongue Tied",":-&"
"74","Uh-oh","=-O"
"75","Undecided",":-\"
"76","Vampire",":-E"
"77","Very Happy","=D"
"78","Winking",";-)"
"79","Winking",";)"
"80","Yawn","|-O"
"81","Zombie","8-#"
