"","name","gender2","pred.sex"
"1","MARY","B","F"
"2","PATRICIA","B","F"
"3","LINDA","F","F"
"4","BARBARA","F","F"
"5","ELIZABETH","F","F"
"6","JENNIFER","F","F"
"7","MARIA","B","F"
"8","SUSAN","F","F"
"9","MARGARET","F","F"
"10","DOROTHY","F","F"
"11","LISA","F","F"
"12","NANCY","F","F"
"13","KAREN","F","F"
"14","BETTY","F","F"
"15","HELEN","F","F"
"16","SANDRA","F","F"
"17","DONNA","F","F"
"18","CAROL","B","F"
"19","RUTH","F","F"
"20","SHARON","F","F"
"21","MICHELLE","F","F"
"22","LAURA","F","F"
"23","SARAH","F","F"
"24","KIMBERLY","F","F"
"25","DEBORAH","F","F"
"26","JESSICA","F","F"
"27","SHIRLEY","B","F"
"28","CYNTHIA","F","F"
"29","ANGELA","F","F"
"30","MELISSA","F","F"
"31","BRENDA","F","F"
"32","AMY","F","F"
"33","ANNA","F","F"
"34","REBECCA","F","F"
"35","VIRGINIA","F","F"
"36","KATHLEEN","F","F"
"37","PAMELA","F","F"
"38","MARTHA","F","F"
"39","DEBRA","F","F"
"40","AMANDA","F","F"
"41","STEPHANIE","F","F"
"42","CAROLYN","F","F"
"43","CHRISTINE","F","F"
"44","MARIE","F","F"
"45","JANET","F","F"
"46","CATHERINE","F","F"
"47","FRANCES","B","F"
"48","ANN","F","F"
"49","JOYCE","F","F"
"50","DIANE","F","F"
"51","ALICE","F","F"
"52","JULIE","F","F"
"53","HEATHER","F","F"
"54","TERESA","F","F"
"55","DORIS","F","F"
"56","GLORIA","F","F"
"57","EVELYN","F","F"
"58","JEAN","B","F"
"59","CHERYL","F","F"
"60","MILDRED","F","F"
"61","KATHERINE","F","F"
"62","JOAN","B","F"
"63","ASHLEY","B","F"
"64","JUDITH","F","F"
"65","ROSE","F","F"
"66","JANICE","F","F"
"67","KELLY","B","F"
"68","NICOLE","F","F"
"69","JUDY","F","F"
"70","CHRISTINA","F","F"
"71","KATHY","F","F"
"72","THERESA","F","F"
"73","BEVERLY","F","F"
"74","DENISE","F","F"
"75","TAMMY","F","F"
