"","word","syllables"
"1","hm",1
"2","hmm",1
"3","hmmm",1
"4","hmph",1
"5","mmhmm",2
"6","mmhm",2
"7","mm",1
"8","mmm",1
"9","mmmm",1
"10","pff",1
"11","pfft",1
"12","psst",1
"13","shh",1
"14","shhh",1
"15","tsk",1
"16","tsktsk",2
"17","aa",2
"18","abc",3
"19","ac",2
"20","aka",3
"21","asap",4
"22","atm",3
"23","bc",2
"24","bce",3
"25","blt",3
"26","bm",2
"27","byob",4
"28","csv",3
"29","fdr",3
"30","fyi",3
"31","gm",2
"32","iq",2
"33","isbn",4
"34","jfk",3
"35","mc",2
"36","mlk",3
"37","mo",2
"38","oj",2
"39","pbj",3
"40","pc",2
"41","pda",3
"42","pm",2
"43","pms",3
"44","ps",2
"45","psi",3
"46","rbg",3
"47","rpg",3
"48","rsvp",4
"49","sos",3
"50","spf",3
"51","tba",3
"52","tbd",3
"53","tgif",4
"54","tlc",3
"55","ufo",3
"56","upc",3
"57","vip",3
"58","ytd",3
"59","ela",3
"60","dbq",3
"61","ssr",3
"62","esl",3
"63","ayp",3
"64","iep",3
"65","pbis",4
"66","nclb",4
"67","rti",3
"68","bip",3
"69","ais",3
"70","cse",3
"71","mr",2
"72","gpa",3
"73","iss",3
"74","oss",3
"75","pt",2
"76","pta",3
"77","dra",3
"78","om",2
"79","sri",3
"80","ss",2
"81","adha",4
"1280","a",1
"240","b",0
"396","c",0
"4192","d",0
"5135","e",0
"6244","f",0
"763","g",0
"8176","h",0
"9103","j",0
"10349","k",0
"11241","l",0
"12168","m",0
"13125","n",0
"14142","p",0
"15181","q",0
"16311","r",0
"17273","s",0
"18218","t",0
"19132","u",0
"20101","v",0
"2171","w",0
"22101","x",0
"23100","y",0
"24101","z",0
"25100","sh",1
"1113","aardvark",2
"230","aback",2
"362","abacus",3
"4124","abaft",2
"546","abalone",4
"6150","abandon",3
"77100","abase",2
"8160","abash",2
"91","abate",2
"10116","abatis",3
"1160","abattoir",3
"1221","abbacy",3
"1311","abbe",2
"1424","abbess",2
"15116","abbey",2
"1619","abbot",2
"17107","abbreviate",4
"18189","abbreviation",5
"1967","abdicate",3
"20100","abdication",4
"2138","abdomen",3
"22100","abdominal",4
"2355","abduct",2
"24100","abeam",2
"2592","abecedarian",6
"26100","abed",2
"27100","aberrant",3
"28100","aberration",4
"2946","abet",2
"3036","abeyance",3
"31100","abhor",2
"3213","abide",2
"3370","ability",4
"3419","abject",2
"3553","abjection",3
"3656","abjectly",3
"3720","abjuration",4
"3826","abjure",2
"3915","ablate",2
"4031","ablative",3
"41100","ablaze",2
"42100","able",2
"43100","abloom",2
"4468","ablution",3
"45100","abnegate",3
"46100","abnegation",4
"4729","abnormal",3
"48100","abnormality",5
"49100","abnormally",4
"5052","aboard",2
"5138","abode",2
"52100","abolish",3
"5382","abolition",4
"54100","abolitionist",5
"55100","abominable",5
"56100","abominate",4
"57100","aboriginal",5
"5898","aborigine",5
"59100","aborning",3
"6018","abortion",3
"61100","abound",2
"6253","about",2
"63100","above",2
"64100","abracadabra",5
"6518","abrade",2
"66100","abrasive",3
"67100","abreast",2
"6855","abridge",2
"6931","abroad",2
"7015","abrogate",3
"71100","abrogation",4
"72100","abrupt",2
"7391","abscess",2
"74100","abscound",2
"7566","absence",2
"76100","absent",2
"78100","absentee",3
"79100","absentminded",4
"80100","absinthe",2
"81100","absolute",3
"82","absolutely",4
"83","absolution",4
"84","absolutism",5
"85","absolve",2
"86","absorb",2
"87","abstain",2
"88","abstemious",4
"89","abstinence",3
"90","abstract",2
"92","abstraction",3
"93","abstracts",2
"94","abstruse",2
"95","absurd",2
"96","abundant",3
"97","abuse",2
"98","abut",2
"99","abuttals",3
"100","abysm",3
"101","abysmal",3
"102","abyss",2
"103","acacia",3
"104","academe",3
"105","academic",4
"106","academician",5
"107","academicism",6
