"","Word","Level"
"1","a","pre_primer"
"2","and","pre_primer"
"3","away","pre_primer"
"4","big","pre_primer"
"5","blue","pre_primer"
"6","can","pre_primer"
"7","come","pre_primer"
"8","down","pre_primer"
"9","find","pre_primer"
"10","for","pre_primer"
"11","funny","pre_primer"
"12","go","pre_primer"
"13","help","pre_primer"
"14","here","pre_primer"
"15","I","pre_primer"
"16","in","pre_primer"
"17","is","pre_primer"
"18","it","pre_primer"
"19","jump","pre_primer"
"20","little","pre_primer"
"21","look","pre_primer"
"22","make","pre_primer"
"23","me","pre_primer"
"24","my","pre_primer"
"25","not","pre_primer"
"26","one","pre_primer"
"27","play","pre_primer"
"28","red","pre_primer"
"29","run","pre_primer"
"30","said","pre_primer"
"31","see","pre_primer"
"32","the","pre_primer"
"33","three","pre_primer"
"34","to","pre_primer"
"35","two","pre_primer"
"36","up","pre_primer"
"37","we","pre_primer"
"38","where","pre_primer"
"39","yellow","pre_primer"
"40","you","pre_primer"
"41","all","primer"
"42","am","primer"
"43","are","primer"
"44","at","primer"
"45","ate","primer"
"46","be","primer"
"47","black","primer"
"48","brown","primer"
"49","but","primer"
"50","came","primer"
"51","did","primer"
"52","do","primer"
"53","eat","primer"
"54","four","primer"
"55","get","primer"
"56","good","primer"
"57","have","primer"
"58","he","primer"
"59","into","primer"
"60","like","primer"
"61","must","primer"
"62","new","primer"
"63","no","primer"
"64","now","primer"
"65","on","primer"
"66","our","primer"
"67","out","primer"
"68","please","primer"
"69","pretty","primer"
"70","ran","primer"
"71","ride","primer"
"72","saw","primer"
"73","say","primer"
"74","she","primer"
"75","so","primer"
"76","soon","primer"
"77","that","primer"
"78","there","primer"
"79","they","primer"
"80","this","primer"
"81","too","primer"
"82","under","primer"
"83","want","primer"
"84","was","primer"
"85","well","primer"
"86","went","primer"
"87","what","primer"
"88","white","primer"
"89","who","primer"
"90","will","primer"
"91","with","primer"
"92","yes","primer"
"93","after","first_grade"
"94","again","first_grade"
"95","an","first_grade"
"96","any","first_grade"
"97","as","first_grade"
"98","ask","first_grade"
"99","by","first_grade"
"100","could","first_grade"
"101","every","first_grade"
"102","fly","first_grade"
"103","from","first_grade"
"104","give","first_grade"
"105","giving","first_grade"
"106","had","first_grade"
"107","has","first_grade"
"108","her","first_grade"
"109","him","first_grade"
"110","his","first_grade"
"111","how","first_grade"
"112","just","first_grade"
"113","know","first_grade"
"114","let","first_grade"
"115","live","first_grade"
"116","may","first_grade"
"117","of","first_grade"
"118","old","first_grade"
"119","once","first_grade"
"120","open","first_grade"
"121","over","first_grade"
"122","put","first_grade"
"123","round","first_grade"
"124","some","first_grade"
"125","stop","first_grade"
"126","take","first_grade"
"127","thank","first_grade"
"128","them","first_grade"
"129","then","first_grade"
"130","think","first_grade"
"131","walk","first_grade"
"132","were","first_grade"
"133","when","first_grade"
"134","always","second_grade"
"135","around","second_grade"
"136","because","second_grade"
"137","been","second_grade"
"138","before","second_grade"
"139","best","second_grade"
"140","both","second_grade"
"141","buy","second_grade"
"142","call","second_grade"
"143","cold","second_grade"
"144","does","second_grade"
"145","don't","second_grade"
"146","fast","second_grade"
"147","first","second_grade"
"148","five","second_grade"
"149","found","second_grade"
"150","gave","second_grade"
"151","goes","second_grade"
"152","green","second_grade"
"153","its","second_grade"
"154","made","second_grade"
"155","many","second_grade"
"156","off","second_grade"
"157","or","second_grade"
"158","pull","second_grade"
"159","read","second_grade"
"160","right","second_grade"
"161","sing","second_grade"
"162","sit","second_grade"
"163","sleep","second_grade"
"164","tell","second_grade"
"165","their","second_grade"
"166","these","second_grade"
"167","those","second_grade"
"168","upon","second_grade"
"169","us","second_grade"
"170","use","second_grade"
"171","very","second_grade"
"172","wash","second_grade"
"173","which","second_grade"
"174","why","second_grade"
"175","wish","second_grade"
"176","work","second_grade"
"177","would","second_grade"
"178","write","second_grade"
"179","your","second_grade"
"180","about","third_grade"
"181","better","third_grade"
"182","bring","third_grade"
"183","carry","third_grade"
"184","clean","third_grade"
"185","cut","third_grade"
"186","done","third_grade"
"187","draw","third_grade"
"188","drink","third_grade"
"189","eight","third_grade"
"190","fall","third_grade"
"191","far","third_grade"
"192","full","third_grade"
"193","got","third_grade"
"194","grow","third_grade"
"195","hold","third_grade"
"196","hot","third_grade"
"197","hurt","third_grade"
"198","if","third_grade"
"199","keep","third_grade"
"200","kind","third_grade"
"201","laugh","third_grade"
"202","light","third_grade"
"203","long","third_grade"
"204","much","third_grade"
"205","myself","third_grade"
"206","never","third_grade"
"207","only","third_grade"
"208","own","third_grade"
"209","pick","third_grade"
"210","seven","third_grade"
"211","shall","third_grade"
"212","show","third_grade"
"213","six","third_grade"
"214","small","third_grade"
"215","start","third_grade"
"216","ten","third_grade"
"217","today","third_grade"
"218","together","third_grade"
"219","try","third_grade"
"220","warm","third_grade"
