"","marker","type","structural","semantic","pos"
"1","as a consequence","cause","continuation","cause","A"
"2","for this reason","cause","continuation","cause","A"
"3","in conclusion","cause","continuation","cause","A"
"4","in effect","cause","continuation","cause","A"
"5","in order to","cause","continuation","cause","P"
"6","so","cause","continuation","cause","A/C/A"
"7","so that","cause","continuation","cause","P"
"8","that's why","cause","continuation","cause","A"
"9","thus","cause","continuation","cause","P/A/P"
"10","because","cause","elaboration","cause","P"
"11","because of","cause","elaboration","cause","P"
"12","due to","cause","elaboration","cause","P"
"13","given that","cause","elaboration","cause","P"
"14","in case","cause","elaboration","cause","P"
"15","thanks to","cause","elaboration","cause","P"
"16","at the same time","context","--","context","A"
"17","if","context","--","context","P"
"18","no doubt","context","--","context","A"
"19","whenever","context","--","context","P"
"20","in any case","context","continuation","context","A"
"21","in that case","context","continuation","context","A"
"22","then","context","continuation","context","A"
"23","with respect to","context","continuation","context","P"
"24","after","context","elaboration","context","P"
"25","as soon as","context","elaboration","context","P"
"26","before","context","elaboration","context","A"
"27","between","context","elaboration","context","P"
"28","by means of","context","elaboration","context","P"
"29","considering","context","elaboration","context","P"
"30","during","context","elaboration","context","P"
"31","far from","context","elaboration","context","P"
"32","following","context","elaboration","context","P"
"33","for the moment","context","elaboration","context","A"
"34","in accordance with","context","elaboration","context","P"
"35","originally","context","elaboration","context","A"
"36","provided that","context","elaboration","context","P"
"37","towards","context","elaboration","context","P"
"38","unless","context","elaboration","context","P"
"39","until","context","elaboration","context","P"
"40","when","context","elaboration","context","P"
"41","where","context","elaboration","context","P"
"42","while","context","elaboration","context","P"
"43","above all","equality","--","equality","A"
"44","also","equality","--","equality","A"
"45","besides","equality","--","equality","A"
"46","even","equality","--","equality","P"
"47","in short","equality","--","equality","A"
"48","moreover","equality","--","equality","A"
"49","specially","equality","--","equality","A"
"50","what's more","equality","--","equality","A"
"51","but also","equality","continuation","equality","P"
"52","by the way","equality","continuation","equality","A"
"53","lastly","equality","continuation","equality","A"
"54","not only","equality","continuation","equality","P"
"55","on the one hand","equality","continuation","equality","A"
"56","on the other hand","equality","continuation","equality","A"
"57","essentially","equality","elaboration","equality","A"
"58","for example","equality","elaboration","equality","A"
"59","in comparison","equality","elaboration","equality","A"
"60","in other words","equality","elaboration","equality","A"
"61","in particular","equality","elaboration","equality","A"
"62","in sum","equality","elaboration","equality","A"
"63","precisely","equality","elaboration","equality","A"
"64","specifically","equality","elaboration","equality","A"
"65","such as","equality","elaboration","equality","P"
"66","that is to say","equality","elaboration","equality","C"
"67","first of all","polysemic","--","context, equality",NA
"68","to begin with","polysemic","--","context, equality",NA
"69","about","polysemic","continuation, elaboration","context",NA
"70","over","polysemic","continuation, elaboration","context",NA
"71","like","polysemic","elaboration","equality, context, cause",NA
"72","since","polysemic","elaboration","cause, context",NA
"73","anyway","revision","--","revision","A"
"74","actually","revision","continuation","revision","A"
"75","but","revision","continuation","revision","P"
"76","even though","revision","continuation","revision","A"
"77","however","revision","continuation","revision","A"
"78","in fact","revision","continuation","revision","A"
"79","it is true that","revision","continuation","revision","P"
"80","nevertheless","revision","continuation","revision","A"
"81","on the contrary","revision","continuation","revision","A"
"82","the fact is","revision","continuation","revision","P"
"83","well now","revision","continuation","revision","A"
"84","although","revision","elaboration","revision","P"
"85","despite","revision","elaboration","revision","P"
"86","except","revision","elaboration","revision","P"
"87","in spite of","revision","elaboration","revision","P"
"88","a","vague",NA,NA,NA
"89","against","vague",NA,NA,NA
"90","and","vague",NA,NA,NA
"91","in","vague",NA,NA,NA
"92","neither","vague",NA,NA,NA
"93","nor","vague",NA,NA,NA
"94","or","vague",NA,NA,NA
"95","that","vague",NA,NA,NA
"96","with","vague",NA,NA,NA
"97","without","vague",NA,NA,NA
