"","name","per.freq","cum.freq","rank","gender","gender2","pred.sex"
"1","MARY",2.629,2.629,1,"F","B","F"
"2","PATRICIA",1.073,3.702,2,"F","B","F"
"3","LINDA",1.035,4.736,3,"F","F","F"
"4","BARBARA",0.98,5.716,4,"F","F","F"
"5","ELIZABETH",0.937,6.653,5,"F","F","F"
"6","JENNIFER",0.932,7.586,6,"F","F","F"
"7","MARIA",0.828,8.414,7,"F","B","F"
"8","SUSAN",0.794,9.209,8,"F","F","F"
"9","MARGARET",0.768,9.976,9,"F","F","F"
"10","DOROTHY",0.727,10.703,10,"F","F","F"
"11","LISA",0.704,11.407,11,"F","F","F"
"12","NANCY",0.669,12.075,12,"F","F","F"
"13","KAREN",0.667,12.742,13,"F","F","F"
"14","BETTY",0.666,13.408,14,"F","F","F"
"15","HELEN",0.663,14.071,15,"F","F","F"
"16","SANDRA",0.629,14.7,16,"F","F","F"
"17","DONNA",0.583,15.282,17,"F","F","F"
"18","CAROL",0.565,15.848,18,"F","B","F"
"19","RUTH",0.562,16.41,19,"F","F","F"
"20","SHARON",0.522,16.932,20,"F","F","F"
"21","MICHELLE",0.519,17.451,21,"F","F","F"
"22","LAURA",0.51,17.961,22,"F","F","F"
"23","SARAH",0.508,18.469,23,"F","F","F"
"24","KIMBERLY",0.504,18.973,24,"F","F","F"
"25","DEBORAH",0.494,19.467,25,"F","F","F"
"26","JESSICA",0.49,19.958,26,"F","F","F"
"27","SHIRLEY",0.482,20.439,27,"F","B","F"
"28","CYNTHIA",0.469,20.908,28,"F","F","F"
"29","ANGELA",0.468,21.376,29,"F","F","F"
"30","MELISSA",0.462,21.839,30,"F","F","F"
"31","BRENDA",0.455,22.293,31,"F","F","F"
"32","AMY",0.451,22.745,32,"F","F","F"
"33","ANNA",0.44,23.185,33,"F","F","F"
"34","REBECCA",0.43,23.615,34,"F","F","F"
"35","VIRGINIA",0.43,24.044,35,"F","F","F"
"36","KATHLEEN",0.424,24.468,36,"F","F","F"
"37","PAMELA",0.416,24.884,37,"F","F","F"
"38","MARTHA",0.412,25.297,38,"F","F","F"
"39","DEBRA",0.408,25.704,39,"F","F","F"
"40","AMANDA",0.404,26.108,40,"F","F","F"
"41","STEPHANIE",0.4,26.508,41,"F","F","F"
"42","CAROLYN",0.385,26.893,42,"F","F","F"
"43","CHRISTINE",0.382,27.275,43,"F","F","F"
"44","MARIE",0.379,27.655,44,"F","F","F"
"45","JANET",0.379,28.034,45,"F","F","F"
"46","CATHERINE",0.373,28.408,46,"F","F","F"
"47","FRANCES",0.37,28.777,47,"F","B","F"
"48","ANN",0.364,29.141,48,"F","F","F"
"49","JOYCE",0.364,29.505,49,"F","F","F"
"50","DIANE",0.359,29.864,50,"F","F","F"
"51","ALICE",0.357,30.221,51,"F","F","F"
"52","JULIE",0.348,30.568,52,"F","F","F"
"53","HEATHER",0.337,30.905,53,"F","F","F"
"54","TERESA",0.336,31.241,54,"F","F","F"
"55","DORIS",0.335,31.577,55,"F","F","F"
"56","GLORIA",0.335,31.912,56,"F","F","F"
"57","EVELYN",0.322,32.233,57,"F","F","F"
"58","JEAN",0.315,32.548,58,"F","B","F"
"59","CHERYL",0.315,32.863,59,"F","F","F"
"60","MILDRED",0.313,33.176,60,"F","F","F"
"61","KATHERINE",0.313,33.489,61,"F","F","F"
"62","JOAN",0.306,33.795,62,"F","B","F"
"63","ASHLEY",0.303,34.098,63,"F","B","F"
"64","JUDITH",0.297,34.395,64,"F","F","F"
"65","ROSE",0.296,34.691,65,"F","F","F"
"66","JANICE",0.285,34.975,66,"F","F","F"
"67","KELLY",0.283,35.258,67,"F","B","F"
"68","NICOLE",0.281,35.539,68,"F","F","F"
"69","JUDY",0.276,35.815,69,"F","F","F"
"70","CHRISTINA",0.275,36.09,70,"F","F","F"
"71","KATHY",0.272,36.362,71,"F","F","F"
"72","THERESA",0.271,36.633,72,"F","F","F"
"73","BEVERLY",0.267,36.9,73,"F","F","F"
"74","DENISE",0.264,37.164,74,"F","F","F"
"75","TAMMY",0.259,37.423,75,"F","F","F"
"76","IRENE",0.252,37.675,76,"F","F","F"
"77","JANE",0.25,37.925,77,"F","F","F"
"78","LORI",0.248,38.173,78,"F","F","F"
"79","RACHEL",0.242,38.415,79,"F","F","F"
"80","MARILYN",0.241,38.657,80,"F","F","F"
"81","ANDREA",0.236,38.893,81,"F","B","F"
"82","KATHRYN",0.234,39.127,82,"F","F","F"
"83","LOUISE",0.229,39.356,83,"F","F","F"
"84","SARA",0.229,39.584,84,"F","F","F"
"85","ANNE",0.228,39.812,85,"F","F","F"
"86","JACQUELINE",0.228,40.04,86,"F","F","F"
"87","WANDA",0.226,40.266,87,"F","F","F"
"88","BONNIE",0.223,40.489,88,"F","F","F"
"89","JULIA",0.223,40.711,89,"F","F","F"
"90","RUBY",0.221,40.932,90,"F","F","F"
"91","LOIS",0.22,41.153,91,"F","F","F"
"92","TINA",0.22,41.372,92,"F","F","F"
"93","PHYLLIS",0.219,41.591,93,"F","F","F"
"94","NORMA",0.218,41.809,94,"F","F","F"
"95","PAULA",0.217,42.026,95,"F","F","F"
"96","DIANA",0.216,42.242,96,"F","F","F"
