"","ID","Ubication","Level","Zone","Income","Employees","Taxes","SPAM"
"1","AB001","c1k1","Small","A",281,41,3,"no"
"2","AB002","c1k2","Small","A",329,19,4,"yes"
"3","AB003","c1k3","Small","A",405,68,7,"no"
"4","AB004","c1k4","Small","A",360,89,5,"no"
"5","AB005","c1k5","Small","A",391,91,7,"yes"
"6","AB006","c1k6","Small","A",296,89,3,"no"
"7","AB007","c1k7","Small","A",490,22,10.5,"yes"
"8","AB008","c1k8","Small","A",473,57,10,"yes"
"9","AB009","c1k9","Small","A",350,84,5,"yes"
"10","AB010","c1k10","Small","A",361,25,5,"no"
"11","AB011","c1k11","Small","A",374,34,6,"yes"
"12","AB012","c1k12","Small","A",419,20,7,"no"
"13","AB013","c1k13","Small","A",402,19,7,"yes"
"14","AB014","c1k14","Small","A",330,23,4,"yes"
"15","AB015","c1k15","Small","A",411,36,7,"no"
"16","AB016","c1k16","Small","A",340,12,5,"no"
"17","AB017","c1k17","Small","A",311,34,4,"no"
"18","AB018","c1k18","Small","A",342,40,5,"yes"
"19","AB019","c1k19","Small","A",342,60,5,"yes"
"20","AB020","c1k20","Small","A",404,47,7,"no"
"21","AB021","c1k21","Small","A",425,49,8,"yes"
"22","AB022","c1k22","Small","A",381,42,6,"yes"
"23","AB023","c1k23","Small","A",450,94,9,"no"
"24","AB024","c1k24","Small","A",411,56,7,"yes"
"25","AB025","c1k25","Small","A",365,49,6,"yes"
"26","AB026","c1k26","Small","A",380,38,6,"no"
"27","AB027","c1k27","Small","A",400,95,7,"yes"
"28","AB028","c1k28","Small","A",450,86,9,"yes"
"29","AB029","c1k29","Small","A",310,94,4,"yes"
"30","AB030","c1k30","Small","A",354,33,5,"yes"
"31","AB031","c1k31","Small","A",378,94,6,"yes"
"32","AB032","c1k32","Small","A",380,18,6,"yes"
"33","AB033","c1k33","Small","A",334,72,5,"yes"
"34","AB034","c1k34","Small","A",350,80,5,"no"
"35","AB035","c1k35","Small","A",381,94,6,"no"
"36","AB036","c1k36","Small","A",343,52,5,"yes"
"37","AB037","c1k37","Small","A",381,38,6,"yes"
"38","AB038","c1k38","Small","A",462,84,9,"yes"
"39","AB039","c1k39","Small","A",360,41,5,"yes"
"40","AB040","c1k40","Small","A",491,86,10.5,"yes"
"41","AB041","c1k41","Small","A",340,20,5,"yes"
"42","AB042","c1k42","Small","A",444,34,8,"yes"
"43","AB043","c1k43","Small","A",440,22,8,"yes"
"44","AB044","c1k44","Small","A",337,44,5,"no"
"45","AB045","c1k45","Small","A",365,53,6,"yes"
"46","AB046","c1k46","Small","A",346,56,5,"no"
"47","AB047","c1k47","Small","A",341,44,5,"yes"
"48","AB048","c1k48","Small","A",422,101,8,"yes"
"49","AB050","c1k49","Small","A",334,16,5,"no"
"50","AB051","c1k50","Small","A",430,37,8,"no"
"51","AB053","c1k51","Small","A",400,15,7,"yes"
"52","AB054","c1k52","Small","A",380,90,6,"yes"
