"","Poor","Canton","Gender","AgeGroup","Edu","CivStat","NChild","Working","FirstJob","LastJob","Origin","SocMob","RetirTiming","ProfCar","Pension","TimFirstChild"
"1",NA,"Valais","female","65-69","high","married",2,"no","intermed","intermed","Swiss","stag","early","full employment","1+2","norm"
"2",NA,"Valais","female","65-69","high","married",2,"no","selfemp","intact","Swiss","down",NA,"full employment","1+2+3+work","norm"
"3",1,"Valais","female","65-69","medium","sep/div",3,"yes","w-collar","w-collar","Swiss","stag",NA,"missing / early retirement","1+2+3+work","norm"
"4",0,"Valais","female","65-69","high","sep/div",2,"yes","w-collar","w-collar","other","stag",NA,"full employment","1+2+3+work","early"
"5",0,"Valais","female","65-69","medium","married",2,"no","intermed","intermed","Swiss","stag",NA,"full employment","1+2","early"
"6",1,"Valais","female","65-69","high","widow",0,"no","w-collar","w-collar","Swiss","stag","early","full employment","1+support","no-child"
"7",0,"Valais","female","65-69","low","married",2,"no","w-collar","w-collar","Swiss","stag","early","full employment","1+support","early"
"8",NA,"Valais","female","65-69","high","married",0,"no","selfemp","selfemp","other","stag","late","start and stop","1+2","no-child"
"9",1,"Valais","female","65-69","high","sep/div",3,"no","w-collar","w-collar","Swiss","stag","legal","full employment","1+support","norm"
"10",NA,"Valais","female","65-69","high","sep/div",0,"no","upper","upper","Swiss","stag","legal",NA,"1+2","no-child"
"11",0,"Valais","female","65-69","high","married",0,"yes","w-collar","selfemp","other","up",NA,"full employment","1+2+3+work","no-child"
"12",0,"Valais","female","65-69","low","married",3,"no","w-collar","intact","Swiss","down","legal","missing / early retirement","1+2","norm"
"13",1,"Valais","female","65-69","medium","married",3,"no","w-collar","w-collar","Swiss","stag","legal","start and stop","1+2","norm"
"14",0,"Valais","female","65-69","medium","married",2,"yes","intermed","w-collar","Swiss","down",NA,"stop and restart","1+support","norm"
"15",0,"Valais","female","65-69","medium","married",3,"no","w-collar","selfemp","Swiss","up",NA,"start and stop","1+savings","norm"
"16",1,"Valais","female","65-69","low","married",2,"no","b-collar","w-collar","Swiss","up",NA,"full employment","1+2","early"
"17",0,"Valais","female","65-69","low","married",2,"no","w-collar","w-collar","Swiss","stag","legal","full employment","1+support","early"
"18",0,"Valais","female","65-69","medium","married",2,"no","w-collar","w-collar","Swiss","stag","early","start and stop","1+support","norm"
"19",0,"Valais","female","65-69","high","married",2,"yes","upper",NA,"Swiss",NA,"legal","start and stop","1+2+3+work","norm"
"20",0,"Valais","female","65-69","high","single",0,"no","w-collar","w-collar","Swiss","stag","legal","full employment","1+2","no-child"
"21",1,"Valais","female","65-69","low","married",2,"no","b-collar","b-collar","Swiss","stag","legal","full employment","1+support","norm"
"22",0,"Valais","female","65-69","medium","married",2,"no","w-collar","w-collar","Swiss","stag","early","full employment","1+support","norm"
"23",NA,"Valais","female","65-69","low","widow",1,"no","b-collar","b-collar","Swiss","stag",NA,"full employment","1+2","early"
"24",0,"Valais","female","65-69","high","married",2,"no","upper","upper","other","stag",NA,"full employment","1+2","norm"
"25",NA,"Valais","female","65-69","low","married",1,"no","b-collar","w-collar","Swiss","up","legal","full employment","1+2+3+work","norm"
"26",1,"Valais","female","65-69","medium","sep/div",3,"no","w-collar","selfemp","other","up","early","full employment","1+2","norm"
"27",0,"Valais","female","65-69","high","married",2,"no","w-collar","w-collar","other","stag","early","full employment","1+support","early"
"28",1,"Valais","female","65-69","medium","married",2,"no","intact","intermed","Swiss","up","legal","stop and restart","1+2+3+work","early"
"29",1,"Valais","female","65-69","medium","sep/div",3,"no","w-collar","w-collar","Swiss","stag","early","start and stop","1+support","early"
