"","critic","review","movie"
"1","Pro","Medved","1"
"2","Pro","Medved","2"
"3","Pro","Medved","3"
"4","Pro","Medved","4"
"5","Pro","Medved","5"
"6","Pro","Medved","6"
"7","Pro","Medved","7"
"8","Pro","Medved","8"
"9","Pro","Medved","9"
"10","Pro","Medved","10"
"11","Pro","Medved","11"
"12","Pro","Medved","12"
"13","Pro","Medved","13"
"14","Pro","Medved","14"
"15","Pro","Medved","15"
"16","Pro","Medved","16"
"17","Pro","Medved","17"
"18","Mixed","Medved","18"
"19","Mixed","Medved","19"
"20","Con","Medved","20"
"21","Con","Medved","21"
"22","Con","Medved","22"
"23","Con","Medved","23"
"24","Con","Medved","24"
"25","Con","Medved","25"
"26","Con","Medved","26"
"27","Con","Medved","27"
"28","Con","Medved","28"
"29","Con","Medved","29"
"30","Pro","Medved","30"
"31","Pro","Medved","31"
"32","Pro","Medved","32"
"33","Mixed","Medved","33"
"34","Mixed","Medved","34"
"35","Mixed","Medved","35"
"36","Mixed","Medved","36"
"37","Mixed","Medved","37"
"38","Con","Medved","38"
"39","Con","Medved","39"
"40","Con","Medved","40"
"41","Con","Medved","41"
"42","Con","Medved","42"
"43","Con","Medved","43"
"44","Pro","Medved","44"
"45","Pro","Medved","45"
"46","Mixed","Medved","46"
"47","Mixed","Medved","47"
"48","Mixed","Medved","48"
"49","Mixed","Medved","49"
"50","Con","Medved","50"
"51","Con","Medved","51"
"52","Con","Medved","52"
"53","Con","Medved","53"
"54","Pro","Medved","54"
"55","Pro","Medved","55"
"56","Mixed","Medved","56"
"57","Mixed","Medved","57"
"58","Mixed","Medved","58"
"59","Con","Medved","59"
"60","Pro","Medved","60"
"61","Pro","Medved","61"
"62","Mixed","Medved","62"
"63","Con","Medved","63"
"64","Pro","Medved","64"
"65","Con","Medved","65"
"66","Con","Medved","66"
"67","Pro","Medved","67"
"68","Pro","Medved","68"
"69","Pro","Medved","69"
"70","Pro","Medved","70"
"71","Pro","Medved","71"
"72","Con","Medved","72"
"73","Con","Medved","73"
"74","Con","Medved","74"
"75","Con","Medved","75"
"76","Con","Medved","76"
"77","Pro","Medved","77"
"78","Con","Medved","78"
"79","Con","Medved","79"
"80","Con","Medved","80"
"81","Con","Medved","81"
"82","Pro","Medved","82"
"83","Mixed","Medved","83"
"84","Mixed","Medved","84"
"85","Mixed","Medved","85"
"86","Con","Medved","86"
"87","Con","Medved","87"
"88","Con","Medved","88"
"89","Con","Medved","89"
"90","Con","Medved","90"
"91","Con","Medved","91"
"92","Con","Medved","92"
"93","Con","Medved","93"
"94","Pro","Ebert","1"
"95","Pro","Ebert","2"
"96","Pro","Ebert","3"
"97","Pro","Ebert","4"
"98","Pro","Ebert","5"
"99","Pro","Ebert","6"
"100","Pro","Ebert","7"
"101","Pro","Ebert","8"
"102","Pro","Ebert","9"
"103","Pro","Ebert","10"
"104","Pro","Ebert","11"
"105","Pro","Ebert","12"
"106","Pro","Ebert","13"
"107","Pro","Ebert","14"
"108","Pro","Ebert","15"
"109","Mixed","Ebert","16"
"110","Mixed","Ebert","17"
"111","Pro","Ebert","18"
"112","Pro","Ebert","19"
"113","Pro","Ebert","20"
"114","Pro","Ebert","21"
"115","Pro","Ebert","22"
"116","Pro","Ebert","23"
"117","Pro","Ebert","24"
"118","Pro","Ebert","25"
"119","Pro","Ebert","26"
"120","Pro","Ebert","27"
"121","Con","Ebert","28"
"122","Con","Ebert","29"
"123","Mixed","Ebert","30"
"124","Mixed","Ebert","31"
"125","Mixed","Ebert","32"
"126","Pro","Ebert","33"
"127","Pro","Ebert","34"
"128","Mixed","Ebert","35"
"129","Mixed","Ebert","36"
"130","Mixed","Ebert","37"
"131","Pro","Ebert","38"
"132","Pro","Ebert","39"
"133","Pro","Ebert","40"
"134","Mixed","Ebert","41"
"135","Mixed","Ebert","42"
"136","Con","Ebert","43"
"137","Pro","Ebert","44"
"138","Con","Ebert","45"
"139","Pro","Ebert","46"
"140","Mixed","Ebert","47"
"141","Mixed","Ebert","48"
"142","Con","Ebert","49"
"143","Pro","Ebert","50"
"144","Mixed","Ebert","51"
"145","Con","Ebert","52"
"146","Con","Ebert","53"
"147","Pro","Ebert","54"
"148","Pro","Ebert","55"
"149","Pro","Ebert","56"
"150","Pro","Ebert","57"
"151","Mixed","Ebert","58"
"152","Mixed","Ebert","59"
"153","Pro","Ebert","60"
"154","Mixed","Ebert","61"
"155","Mixed","Ebert","62"
"156","Mixed","Ebert","63"
"157","Pro","Ebert","64"
"158","Mixed","Ebert","65"
"159","Con","Ebert","66"
"160","Pro","Ebert","67"
"161","Pro","Ebert","68"
"162","Pro","Ebert","69"
"163","Mixed","Ebert","70"
"164","Con","Ebert","71"
