"","time","bonds"
"1",1994,5.83
"2",1994.08333333333,6.06
"3",1994.16666666667,6.58
"4",1994.25,7.09
"5",1994.33333333333,7.31
"6",1994.41666666667,7.23
"7",1994.5,7.43
"8",1994.58333333333,7.37
"9",1994.66666666667,7.6
"10",1994.75,7.89
"11",1994.83333333333,8.12
"12",1994.91666666667,7.96
"13",1995,7.93
"14",1995.08333333333,7.61
"15",1995.16666666667,7.33
"16",1995.25,7.18
"17",1995.33333333333,6.74
"18",1995.41666666667,6.27
"19",1995.5,6.38
"20",1995.58333333333,6.6
"21",1995.66666666667,6.3
"22",1995.75,6.13
"23",1995.83333333333,6.02
"24",1995.91666666667,5.79
"25",1996,5.73
"26",1996.08333333333,5.89
"27",1996.16666666667,6.37
"28",1996.25,6.62
"29",1996.33333333333,6.85
"30",1996.41666666667,7.03
"31",1996.5,6.99
"32",1996.58333333333,6.75
"33",1996.66666666667,6.95
"34",1996.75,6.64
"35",1996.83333333333,6.3
"36",1996.91666666667,6.4
"37",1997,6.69
"38",1997.08333333333,6.52
"39",1997.16666666667,6.8
"40",1997.25,7.01
"41",1997.33333333333,6.82
"42",1997.41666666667,6.6
"43",1997.5,6.32
"44",1997.58333333333,6.4
"45",1997.66666666667,6.11
"46",1997.75,5.82
"47",1997.83333333333,5.87
"48",1997.91666666667,5.89
"49",1998,5.63
"50",1998.08333333333,5.65
"51",1998.16666666667,5.73
"52",1998.25,5.72
"53",1998.33333333333,5.73
"54",1998.41666666667,5.58
"55",1998.5,5.53
"56",1998.58333333333,5.41
"57",1998.66666666667,4.87
"58",1998.75,4.58
"59",1998.83333333333,4.89
"60",1998.91666666667,4.69
"61",1999,4.78
"62",1999.08333333333,4.99
"63",1999.16666666667,5.23
"64",1999.25,5.18
"65",1999.33333333333,5.54
"66",1999.41666666667,5.9
"67",1999.5,5.8
"68",1999.58333333333,5.94
"69",1999.66666666667,5.91
"70",1999.75,6.1
"71",1999.83333333333,6.03
"72",1999.91666666667,6.26
"73",2000,6.66
"74",2000.08333333333,6.52
"75",2000.16666666667,6.26
"76",2000.25,6
"77",2000.33333333333,6.42
"78",2000.41666666667,6.1
"79",2000.5,6.04
"80",2000.58333333333,5.83
"81",2000.66666666667,5.8
"82",2000.75,5.74
"83",2000.83333333333,5.72
"84",2000.91666666667,5.23
"85",2001,5.14
"86",2001.08333333333,5.1
"87",2001.16666666667,4.89
"88",2001.25,5.13
"89",2001.33333333333,5.37
"90",2001.41666666667,5.26
"91",2001.5,5.23
"92",2001.58333333333,4.97
"93",2001.66666666667,4.76
"94",2001.75,4.55
"95",2001.83333333333,4.61
"96",2001.91666666667,5.07
"97",2002,5
"98",2002.08333333333,4.9
"99",2002.16666666667,5.28
"100",2002.25,5.21
"101",2002.33333333333,5.15
"102",2002.41666666667,4.9
"103",2002.5,4.62
"104",2002.58333333333,4.24
"105",2002.66666666667,3.88
"106",2002.75,3.91
"107",2002.83333333333,4.04
"108",2002.91666666667,4.03
"109",2003,4.02
"110",2003.08333333333,3.9
"111",2003.16666666667,3.79
"112",2003.25,3.94
"113",2003.33333333333,3.56
"114",2003.41666666667,3.32
"115",2003.5,3.93
"116",2003.58333333333,4.44
"117",2003.66666666667,4.29
"118",2003.75,4.27
"119",2003.83333333333,4.29
"120",2003.91666666667,4.26
"121",2004,4.13
"122",2004.08333333333,4.06
"123",2004.16666666667,3.81
"124",2004.25,4.32
"125",2004.33333333333,4.7
