"","time","usgdp"
"1",1947,1570.5
"2",1947.25,1568.7
"3",1947.5,1568
"4",1947.75,1590.9
"5",1948,1616.1
"6",1948.25,1644.6
"7",1948.5,1654.1
"8",1948.75,1658
"9",1949,1633.2
"10",1949.25,1628.4
"11",1949.5,1646.7
"12",1949.75,1629.9
"13",1950,1696.8
"14",1950.25,1747.3
"15",1950.5,1815.8
"16",1950.75,1848.9
"17",1951,1871.3
"18",1951.25,1903.1
"19",1951.5,1941.1
"20",1951.75,1944.4
"21",1952,1964.7
"22",1952.25,1966
"23",1952.5,1978.8
"24",1952.75,2043.8
"25",1953,2082.3
"26",1953.25,2098.1
"27",1953.5,2085.4
"28",1953.75,2052.5
"29",1954,2042.4
"30",1954.25,2044.3
"31",1954.5,2066.9
"32",1954.75,2107.8
"33",1955,2168.5
"34",1955.25,2204
"35",1955.5,2233.4
"36",1955.75,2245.3
"37",1956,2234.8
"38",1956.25,2252.5
"39",1956.5,2249.8
"40",1956.75,2286.5
"41",1957,2300.3
"42",1957.25,2294.6
"43",1957.5,2317
"44",1957.75,2292.5
"45",1958,2230.2
"46",1958.25,2243.4
"47",1958.5,2295.2
"48",1958.75,2348
"49",1959,2392.9
"50",1959.25,2455.8
"51",1959.5,2453.9
"52",1959.75,2462.6
"53",1960,2517.4
"54",1960.25,2504.8
"55",1960.5,2508.7
"56",1960.75,2476.2
"57",1961,2491.2
"58",1961.25,2538
"59",1961.5,2579.1
"60",1961.75,2631.8
"61",1962,2679.1
"62",1962.25,2708.4
"63",1962.5,2733.3
"64",1962.75,2740
"65",1963,2775.9
"66",1963.25,2810.6
"67",1963.5,2863.5
"68",1963.75,2885.8
"69",1964,2950.5
"70",1964.25,2984.8
"71",1964.5,3025.5
"72",1964.75,3033.6
"73",1965,3108.2
"74",1965.25,3150.2
"75",1965.5,3214.1
"76",1965.75,3291.8
"77",1966,3372.3
"78",1966.25,3384
"79",1966.5,3406.3
"80",1966.75,3433.7
"81",1967,3464.1
"82",1967.25,3464.3
"83",1967.5,3491.8
"84",1967.75,3518.2
"85",1968,3590.7
"86",1968.25,3651.6
"87",1968.5,3676.5
"88",1968.75,3692
"89",1969,3750.2
"90",1969.25,3760.9
"91",1969.5,3784.2
"92",1969.75,3766.3
"93",1970,3760
"94",1970.25,3767.1
"95",1970.5,3800.5
"96",1970.75,3759.8
"97",1971,3864.1
"98",1971.25,3885.9
"99",1971.5,3916.7
"100",1971.75,3927.9
"101",1972,3997.7
"102",1972.25,4092.1
"103",1972.5,4131.1
"104",1972.75,4198.7
"105",1973,4305.3
"106",1973.25,4355.1
"107",1973.5,4331.9
"108",1973.75,4373.3
"109",1974,4335.4
"110",1974.25,4347.9
"111",1974.5,4305.8
"112",1974.75,4288.9
"113",1975,4237.6
"114",1975.25,4268.6
"115",1975.5,4340.9
"116",1975.75,4397.8
"117",1976,4496.8
"118",1976.25,4530.3
"119",1976.5,4552
"120",1976.75,4584.6
"121",1977,4640
"122",1977.25,4731.1
"123",1977.5,4815.8
"124",1977.75,4815.3
"125",1978,4830.8
"126",1978.25,5021.2
"127",1978.5,5070.7
"128",1978.75,5137.4
"129",1979,5147.4
"130",1979.25,5152.3
"131",1979.5,5189.4
"132",1979.75,5204.7
"133",1980,5221.3
"134",1980.25,5115.9
"135",1980.5,5107.4
"136",1980.75,5202.1
"137",1981,5307.5
"138",1981.25,5266.1
"139",1981.5,5329.8
"140",1981.75,5263.4
"141",1982,5177.1
"142",1982.25,5204.9
"143",1982.5,5185.2
"144",1982.75,5189.8
"145",1983,5253.8
"146",1983.25,5372.3
"147",1983.5,5478.4
"148",1983.75,5590.5
"149",1984,5699.8
"150",1984.25,5797.9
"151",1984.5,5854.3
"152",1984.75,5902.4
"153",1985,5956.9
"154",1985.25,6007.8
"155",1985.5,6101.7
