"","time","enplanements"
"1",1979,21.12
"2",1979.08333333333,22.92
"3",1979.16666666667,25.9
"4",1979.25,24.38
"5",1979.33333333333,23.41
"6",1979.41666666667,26.82
"7",1979.5,26.9
"8",1979.58333333333,28.72
"9",1979.66666666667,22.87
"10",1979.75,23.1
"11",1979.83333333333,23.11
"12",1979.91666666667,22.14
"13",1980,21.35
"14",1980.08333333333,22.23
"15",1980.16666666667,24.4
"16",1980.25,23.41
"17",1980.33333333333,22.06
"18",1980.41666666667,24.53
"19",1980.5,24
"20",1980.58333333333,24.97
"21",1980.66666666667,20.57
"22",1980.75,21.55
"23",1980.83333333333,20.14
"24",1980.91666666667,21.39
"25",1981,20.24
"26",1981.08333333333,20.63
"27",1981.16666666667,22.03
"28",1981.25,22.68
"29",1981.33333333333,22.8
"30",1981.41666666667,23.78
"31",1981.5,24.16
"32",1981.58333333333,22.64
"33",1981.66666666667,20.5
"34",1981.75,21.44
"35",1981.83333333333,20.91
"36",1981.91666666667,21.7
"37",1982,20.52
"38",1982.08333333333,21.66
"39",1982.16666666667,23.82
"40",1982.25,24.01
"41",1982.33333333333,22.52
"42",1982.41666666667,24.68
"43",1982.5,24.19
"44",1982.58333333333,24.73
"45",1982.66666666667,20.85
"46",1982.75,21.84
"47",1982.83333333333,21.7
"48",1982.91666666667,22.38
"49",1983,21.83
"50",1983.08333333333,23.44
"51",1983.16666666667,26.98
"52",1983.25,24.61
"53",1983.33333333333,24.1
"54",1983.41666666667,26.67
"55",1983.5,25.63
"56",1983.58333333333,26.4
"57",1983.66666666667,23.17
"58",1983.75,24.24
"59",1983.83333333333,23.88
"60",1983.91666666667,23.96
"61",1984,22.6
"62",1984.08333333333,23.67
"63",1984.16666666667,27
"64",1984.25,26.91
"65",1984.33333333333,26.63
"66",1984.41666666667,28.93
"67",1984.5,27.72
"68",1984.58333333333,29.79
"69",1984.66666666667,25.61
"70",1984.75,26.81
"71",1984.83333333333,26.97
"72",1984.91666666667,26.3
"73",1985,25.35
"74",1985.08333333333,26.91
"75",1985.16666666667,31.6
"76",1985.25,31.09
"77",1985.33333333333,30.7
"78",1985.41666666667,32.09
"79",1985.5,32.02
"80",1985.58333333333,33.16
"81",1985.66666666667,26.82
"82",1985.75,28.68
"83",1985.83333333333,27.8
"84",1985.91666666667,30.46
"85",1986,28.07
"86",1986.08333333333,30.01
"87",1986.16666666667,34.12
"88",1986.25,32.9
"89",1986.33333333333,32.92
"90",1986.41666666667,34.86
"91",1986.5,35.67
"92",1986.58333333333,37.81
"93",1986.66666666667,30.65
"94",1986.75,31.96
"95",1986.83333333333,31.01
"96",1986.91666666667,32.3
"97",1987,28.72
"98",1987.08333333333,33.39
"99",1987.16666666667,37.76
"100",1987.25,37.51
"101",1987.33333333333,35.87
"102",1987.41666666667,36.86
"103",1987.5,37.71
"104",1987.58333333333,38.41
"105",1987.66666666667,31.65
"106",1987.75,32.87
"107",1987.83333333333,32.23
"108",1987.91666666667,31.88
"109",1988,29.64
"110",1988.08333333333,32.87
"111",1988.16666666667,37.12
"112",1988.25,35.32
"113",1988.33333333333,34.82
"114",1988.41666666667,36.97
"115",1988.5,36.89
"116",1988.58333333333,38.76
"117",1988.66666666667,32.99
"118",1988.75,34.59
"119",1988.83333333333,34.28
"120",1988.91666666667,32.56
"121",1989,30.52
"122",1989.08333333333,32.37
"123",1989.16666666667,35.62
"124",1989.25,33.81
"125",1989.33333333333,33.86
"126",1989.41666666667,37.91
"127",1989.5,37.03
"128",1989.58333333333,39.38
"129",1989.66666666667,32.68
"130",1989.75,34.72
"131",1989.83333333333,34.52
"132",1989.91666666667,32.91
"133",1990,31.06
"134",1990.08333333333,33.95
"135",1990.16666666667,37.11
"136",1990.25,36
"137",1990.33333333333,34.66
"138",1990.41666666667,37.88
"139",1990.5,37.5
"140",1990.58333333333,39.98
"141",1990.66666666667,33.08
"142",1990.75,34.73
"143",1990.83333333333,34.11
"144",1990.91666666667,32.73
"145",1991,30.57
"146",1991.08333333333,32.06
"147",1991.16666666667,33.58
"148",1991.25,34.89
"149",1991.33333333333,34.21
"150",1991.41666666667,36.77
"151",1991.5,37.25
"152",1991.58333333333,38.73
"153",1991.66666666667,32.54
"154",1991.75,34.29
"155",1991.83333333333,32.28
"156",1991.91666666667,34.29
"157",1992,29.81
"158",1992.08333333333,31.59
"159",1992.16666666667,34.74
"160",1992.25,33.74
"161",1992.33333333333,34.42
"162",1992.41666666667,40.61
"163",1992.5,42.74
"164",1992.58333333333,43.74
"165",1992.66666666667,36.24
"166",1992.75,35.02
"167",1992.83333333333,34.12
"168",1992.91666666667,33.79
"169",1993,31.31
"170",1993.08333333333,33.82
"171",1993.16666666667,36.59
"172",1993.25,37.32
"173",1993.33333333333,36.62
"174",1993.41666666667,39.34
"175",1993.5,39.92
"176",1993.58333333333,40.97
"177",1993.66666666667,36.62
"178",1993.75,38.19
"179",1993.83333333333,37.15
"180",1993.91666666667,36.3
"181",1994,32.98
"182",1994.08333333333,36.23
"183",1994.16666666667,40.84
"184",1994.25,39.87
"185",1994.33333333333,39.97
"186",1994.41666666667,43.15
"187",1994.5,44.07
"188",1994.58333333333,44.43
"189",1994.66666666667,39.66
"190",1994.75,41.05
"191",1994.83333333333,40.6
"192",1994.91666666667,39.48
"193",1995,36.43
"194",1995.08333333333,38.77
"195",1995.16666666667,42.64
"196",1995.25,42.19
"197",1995.33333333333,41.16
"198",1995.41666666667,44.83
"199",1995.5,44.28
"200",1995.58333333333,45.61
"201",1995.66666666667,39.87
"202",1995.75,41.86
"203",1995.83333333333,41.57
"204",1995.91666666667,40.4
"205",1996,37.17
"206",1996.08333333333,41.92
"207",1996.16666666667,46.55
"208",1996.25,45.1
"209",1996.33333333333,44.46
"210",1996.41666666667,47.47
"211",1996.5,47
"212",1996.58333333333,48.37
"213",1996.66666666667,41.76
"214",1996.75,44.38
"215",1996.83333333333,41.25
"216",1996.91666666667,43.97
"217",1997,39.95
"218",1997.08333333333,43
"219",1997.16666666667,48.02
"220",1997.25,45.89
"221",1997.33333333333,45.47
"222",1997.41666666667,48.83
"223",1997.5,49.24
"224",1997.58333333333,49.53
"225",1997.66666666667,42.79
"226",1997.75,44.97
"227",1997.83333333333,43.6
"228",1997.91666666667,44.05
"229",1998,39.21
"230",1998.08333333333,43.46
"231",1998.16666666667,47.77
"232",1998.25,48.41
"233",1998.33333333333,47.05
"234",1998.41666666667,50.52
"235",1998.5,49.88
"236",1998.58333333333,50.26
"237",1998.66666666667,43.8
"238",1998.75,46.72
"239",1998.83333333333,45.95
"240",1998.91666666667,45.37
"241",1999,40.88
"242",1999.08333333333,44.99
"243",1999.16666666667,49.85
"244",1999.25,49.69
"245",1999.33333333333,47.9
"246",1999.41666666667,52.24
"247",1999.5,53.45
"248",1999.58333333333,52.02
"249",1999.66666666667,45.89
"250",1999.75,49.14
"251",1999.83333333333,49
"252",1999.91666666667,45.81
"253",2000,41.37
"254",2000.08333333333,46.47
"255",2000.16666666667,52.86
"256",2000.25,51.68
"257",2000.33333333333,51.98
"258",2000.41666666667,56.12
"259",2000.5,55.41
"260",2000.58333333333,54.38
"261",2000.66666666667,47.74
"262",2000.75,50.53
"263",2000.83333333333,50.93
"264",2000.91666666667,46.69
"265",2001,43.83
"266",2001.08333333333,47.56
"267",2001.16666666667,52.82
"268",2001.25,52.1
"269",2001.33333333333,50.72
"270",2001.41666666667,54.89
"271",2001.5,55.5
"272",2001.58333333333,56.14
