"","time","ausgdp"
"1",1971.5,4612
"2",1971.75,4651
"3",1972,4645
"4",1972.25,4615
"5",1972.5,4645
"6",1972.75,4722
"7",1973,4780
"8",1973.25,4830
"9",1973.5,4887
"10",1973.75,4933
"11",1974,4921
"12",1974.25,4875
"13",1974.5,4867
"14",1974.75,4905
"15",1975,4938
"16",1975.25,4934
"17",1975.5,4942
"18",1975.75,4979
"19",1976,5028
"20",1976.25,5079
"21",1976.5,5112
"22",1976.75,5127
"23",1977,5130
"24",1977.25,5101
"25",1977.5,5072
"26",1977.75,5069
"27",1978,5100
"28",1978.25,5166
"29",1978.5,5244
"30",1978.75,5312
"31",1979,5349
"32",1979.25,5370
"33",1979.5,5388
"34",1979.75,5396
"35",1980,5388
"36",1980.25,5403
"37",1980.5,5442
"38",1980.75,5482
"39",1981,5506
"40",1981.25,5531
"41",1981.5,5560
"42",1981.75,5583
"43",1982,5568
"44",1982.25,5524
"45",1982.5,5452
"46",1982.75,5358
"47",1983,5303
"48",1983.25,5320
"49",1983.5,5408
"50",1983.75,5531
"51",1984,5624
"52",1984.25,5669
"53",1984.5,5697
"54",1984.75,5736
"55",1985,5811
"56",1985.25,5894
"57",1985.5,5952
"58",1985.75,5965
"59",1986,5943
"60",1986.25,5924
"61",1986.5,5935
"62",1986.75,5979
"63",1987,6035
"64",1987.25,6097
"65",1987.5,6167
"66",1987.75,6227
"67",1988,6256
"68",1988.25,6272
"69",1988.5,6295
"70",1988.75,6345
"71",1989,6413
"72",1989.25,6468
"73",1989.5,6497
"74",1989.75,6511
"75",1990,6514
"76",1990.25,6512
"77",1990.5,6490
"78",1990.75,6442
"79",1991,6390
"80",1991.25,6346
"81",1991.5,6328
"82",1991.75,6340
"83",1992,6362
"84",1992.25,6389
"85",1992.5,6433
"86",1992.75,6491
"87",1993,6541
"88",1993.25,6566
"89",1993.5,6602
"90",1993.75,6671
"91",1994,6765
"92",1994.25,6847
"93",1994.5,6890
"94",1994.75,6918
"95",1995,6962
"96",1995.25,7018
"97",1995.5,7083
"98",1995.75,7134
"99",1996,7173
"100",1996.25,7212
"101",1996.5,7242
"102",1996.75,7276
"103",1997,7332
"104",1997.25,7400
"105",1997.5,7478
"106",1997.75,7550
"107",1998,7618
