"","time","mcopper"
"1",1960,255.2
"2",1960.08333333333,259.7
"3",1960.16666666667,249.3
"4",1960.25,258
"5",1960.33333333333,244.3
"6",1960.41666666667,246.8
"7",1960.5,250.6
"8",1960.58333333333,241.3
"9",1960.66666666667,231
"10",1960.75,218.7
"11",1960.83333333333,222.8
"12",1960.91666666667,227.5
"13",1961,216.6
"14",1961.08333333333,220.1
"15",1961.16666666667,221.7
"16",1961.25,225.6
"17",1961.33333333333,238.6
"18",1961.41666666667,232.8
"19",1961.5,226.1
"20",1961.58333333333,227.2
"21",1961.66666666667,225.8
"22",1961.75,225
"23",1961.83333333333,225.7
"24",1961.91666666667,226.3
"25",1962,226.8
"26",1962.08333333333,231.3
"27",1962.16666666667,231.1
"28",1962.25,230.6
"29",1962.33333333333,230.5
"30",1962.41666666667,230.4
"31",1962.5,230.4
"32",1962.58333333333,230.4
"33",1962.66666666667,230.4
"34",1962.75,230.6
"35",1962.83333333333,230.4
"36",1962.91666666667,230.5
"37",1963,230.6
"38",1963.08333333333,230.6
"39",1963.16666666667,230.6
"40",1963.25,230.6
"41",1963.33333333333,230.6
"42",1963.41666666667,230.6
"43",1963.5,230.6
"44",1963.58333333333,230.6
"45",1963.66666666667,230.6
"46",1963.75,230.6
"47",1963.83333333333,230.6
"48",1963.91666666667,232.2
"49",1964,234.2
"50",1964.08333333333,247.8
"51",1964.16666666667,266.1
"52",1964.25,307.7
"53",1964.33333333333,295.8
"54",1964.41666666667,288.8
"55",1964.5,305.4
"56",1964.58333333333,356.9
"57",1964.66666666667,415
"58",1964.75,485.1
"59",1964.83333333333,500.1
"60",1964.91666666667,453.3
"61",1965,356.7
"62",1965.08333333333,419.2
"63",1965.16666666667,440.6
"64",1965.25,480.5
"65",1965.33333333333,490.8
"66",1965.41666666667,466.1
"67",1965.5,404
"68",1965.58333333333,431.6
"69",1965.66666666667,473.5
"70",1965.75,500.1
"71",1965.83333333333,523.8
"72",1965.91666666667,541.4
"73",1966,599
"74",1966.08333333333,668.7
"75",1966.16666666667,668.7
"76",1966.25,679.9
"77",1966.33333333333,592.8
"78",1966.41666666667,604.8
"79",1966.5,559.5
"80",1966.58333333333,426.4
"81",1966.66666666667,402.4
"82",1966.75,454.9
"83",1966.83333333333,464.4
"84",1966.91666666667,433.4
"85",1967,443.7
"86",1967.08333333333,435.4
"87",1967.16666666667,391.8
"88",1967.25,354.9
"89",1967.33333333333,369.5
"90",1967.41666666667,362.3
