"","time","partx"
"1",1,0
"2",1.08333333333333,0
"3",1.16666666666667,0
"4",1.25,0
"5",1.33333333333333,1
"6",1.41666666666667,0
"7",1.5,0
"8",1.58333333333333,1
"9",1.66666666666667,0
"10",1.75,0
"11",1.83333333333333,0
"12",1.91666666666667,0
"13",2,0
"14",2.08333333333333,0
"15",2.16666666666667,0
"16",2.25,0
"17",2.33333333333333,0
"18",2.41666666666667,0
"19",2.5,0
"20",2.58333333333333,0
"21",2.66666666666667,2
"22",2.75,1
"23",2.83333333333333,0
"24",2.91666666666667,0
"25",3,0
"26",3.08333333333333,2
"27",3.16666666666667,0
"28",3.25,3
"29",3.33333333333333,1
"30",3.41666666666667,0
"31",3.5,1
"32",3.58333333333333,0
"33",3.66666666666667,0
"34",3.75,0
"35",3.83333333333333,5
"36",3.91666666666667,3
"37",4,0
"38",4.08333333333333,4
"39",4.16666666666667,1
"40",4.25,1
"41",4.33333333333333,0
"42",4.41666666666667,2
"43",4.5,0
"44",4.58333333333333,1
"45",4.66666666666667,0
"46",4.75,0
"47",4.83333333333333,1
"48",4.91666666666667,2
"49",5,0
"50",5.08333333333333,0
"51",5.16666666666667,0
