"","time","freight"
"1",1947,4631.45
"2",1948,2885.05
"3",1949,2136.5
"4",1950,5478.8
"5",1951,2805.6
"6",1952,1133.6
"7",1953,1171.45
"8",1954,712
"9",1955,4167.2
"10",1956,1535.25
"11",1957,1109.35
"12",1958,621.5
"13",1959,1924.7
"14",1960,1120.95
"15",1961,950.6
"16",1962,1187.2
"17",1963,2189.25
"18",1964,2225.65
"19",1965,3269.95
"20",1966,3660.8
"21",1967,1924.45
"22",1968,2469.3
"23",1969,3265.05
"24",1970,2126.5
"25",1971,2345.65
"26",1972,2117.15
"27",1973,5106.8
"28",1974,4263.8
"29",1975,1601.6
"30",1976,1527.3
"31",1977,2977.85
"32",1978,6243.1
"33",1979,5653
"34",1980,2007
"35",1981,864.4
"36",1982,316.05
"37",1983,298.1
"38",1984,752.7
"39",1985,475.5
"40",1986,621.3
"41",1987,925.2
"42",1988,1443.55
"43",1989,1550.1
"44",1990,1359.85
"45",1991,1134.1
"46",1992,1559.05
"47",1993,2490
