"","time","usnetelec"
"1",1949,296.1
"2",1950,334.1
"3",1951,375.3
"4",1952,403.8
"5",1953,447
"6",1954,476.3
"7",1955,550.3
"8",1956,603.9
"9",1957,634.6
"10",1958,648.5
"11",1959,713.4
"12",1960,759.2
"13",1961,797.1
"14",1962,857.9
"15",1963,920
"16",1964,987.2
"17",1965,1058.4
"18",1966,1147.5
"19",1967,1217.8
"20",1968,1332.8
"21",1969,1445.5
"22",1970,1535.1
"23",1971,1615.9
"24",1972,1753
"25",1973,1864.1
"26",1974,1870.3
"27",1975,1920.8
"28",1976,2040.9
"29",1977,2127.4
"30",1978,2209.4
"31",1979,2250.7
"32",1980,2289.6
"33",1981,2298
"34",1982,2244.4
"35",1983,2313.4
"36",1984,2419.5
"37",1985,2473
"38",1986,2490.5
"39",1987,2575.3
"40",1988,2707.4
"41",1989,2967.3
"42",1990,3038
"43",1991,3073.8
"44",1992,3083.9
"45",1993,3197.2
"46",1994,3247.5
"47",1995,3353.5
"48",1996,3444.2
"49",1997,3492.2
"50",1998,3620.3
"51",1999,3694.8
"52",2000,3802.1
"53",2001,3736.6
"54",2002,3858.5
"55",2003,3848
