"","cmtm","e2mtm","e1mtm"
"1",1.45,1.79,3.02
"2",2.48,2.15,6.6
"3",0.2,5.15,4.32
"4",0.35,7.46,10.7
"5",2.64,3.86,6.97
"6",0.72,4.85,8.45
"7",2.43,4.53,4.13
"8",2.28,1.25,8.01
"9",3.12,2.67,9.27
"10",2.76,3.78,8.33
"11",2.96,2.65,3.06
"12",3.79,3.59,8.37
"13",2.52,3.01,6.24
"14",0.13,4.51,5.34
"15",0.19,9.01,4.18
"16",0.57,11.07,2.14
"17",0.22,9.03,3.55
"18",0.22,4.39,6.15
"19",0.14,2.49,2.33
"20",0.37,3.32,3.57
"21",0.17,2.97,5.69
"22",0.13,2.01,9.1
"23",0.15,1.99,7.33
"24",0.27,4.63,6.32
"25",2.76,3.49,3.18
"26",2.84,4.74,7.75
"27",0.49,1.61,11.78
"28",0.78,3.18,8.64
"29",0.18,1.84,11.81
"30",0.29,2.59,5.57
