"","State","Area","Popdents","Region"
"1","'Alabama'",131426,33.837,"South"
"2","'Arizona'",294312,17.433,"West"
"3","'Arkansas'",134856,19.824,"South"
"4","'California'",403933,83.855,"West"
"5","'Colorado'",268627,16.012,"West"
"6","'Connecticut'",12548,271.403,"Northeast"
"7","'Delaware'",6030,129.95,"South"
"8","'Florida'",139670,114.43,"South"
"9","'Georgia'",149976,54.585,"South"
"10","'Idaho'",214314,6.038,"West"
"11","'Illinois'",143961,86.268,"Midwest"
"12","'Indiana'",92895,65.455,"Midwest"
"13","'Iowa'",144701,20.223,"Midwest"
"14","'Kansas'",211900,12.687,"Midwest"
"15","'Kentucky'",102896,39.28,"South"
"16","'Louisiana'",112825,39.61,"South"
"17","'Maine'",79931,15.95,"Northeast"
"18","'Maryland'",25314,209.231,"South"
"19","'Massachusetts'",20306,312.671,"Northeast"
"20","'Michigan'",150504,66.034,"Midwest"
"21","'Minnesota'",206189,23.859,"Midwest"
"22","'Mississippi'",121488,23.415,"South"
"23","'Missouri'",178414,31.361,"Midwest"
"24","'Montana'",376979,2.393,"West"
"25","'Nebraska'",199099,8.595,"Midwest"
"26","'Nevada'",284448,7.025,"West"
"27","'New Hampshire'",23227,53.205,"Northeast"
"28","'New Jersey'",19211,437.996,"Northeast"
"29","'New Mexico'",314309,5.787,"West"
"30","'New York'",122283,155.185,"Northeast"
"31","North Carolina'",126161,63.802,"South"
"32","'North Dakota'",178647,3.595,"Midwest"
"33","'Ohio'",106056,107.049,"Midwest"
"34","'Oklahoma'",177847,19.402,"South"
"35","'Oregon'",248631,13.761,"West"
"36","'Pennsylvania'",116074,105.804,"Northeast"
"37","'Rhode Island'",2706,387.405,"Northeast"
"38","South Carolina'",77983,51.447,"South"
"39","'South Dakota'",196540,3.841,"Midwest"
"40","'Tennessee'",106752,53.294,"South"
"41","'Texas'",678051,30.753,"South"
"42","'Utah'",212751,10.497,"West"
"43","'Vermont'",23956,25.414,"Northeast"
"44","'Virginia'",102548,69.026,"South"
"45","'Washington'",172348,34.199,"West"
"46","'West Virginia'",62361,28.998,"South"
"47","'Wisconsin'",140663,38.131,"Midwest"
"48","'Wyoming'",251489,1.963,"West"
