"","y","x1","x2","x3","x4"
"1",0,-0.162,-0.348,-0.524,-0.312
"2",1,0.187,-0.41,0.362,-0.366
"3",1,0.16,1.649,-0.664,0.051
"4",1,1.536,0.084,0.403,1.732
"5",1,-0.162,-0.061,0.192,0.256
"6",0,-2.855,-3.341,-2.549,-1.461
"7",0,-0.253,-1.081,0.751,-0.668
"8",1,0.025,1.339,0.904,0.394
"9",0,0.266,0.099,-0.602,-0.122
"10",0,-1.853,-0.756,0.123,-0.314
"11",1,-1.129,-0.568,-0.597,0.243
"12",1,0.436,-0.863,0.101,0.137
"13",0,-2.2,-1.129,-0.034,0.01
"14",1,0.432,0.709,3.833,1.971
"15",1,1.007,0.851,1.954,1.071
"16",0,-1.155,-0.484,-0.358,-0.345
"17",1,0.53,-0.313,-0.252,-0.475
"18",1,-0.748,0.216,0.516,-0.723
"19",1,1.555,0.51,1.005,1.616
"20",1,0.625,-0.772,1.31,0.87
"21",0,-0.382,-0.002,-0.539,-1.063
"22",1,0.274,0.998,-0.798,2.065
"23",0,-0.809,-1.255,-0.985,0.001
"24",0,-0.778,-0.131,-1.114,-0.236
"25",0,0.749,-0.14,0.826,-0.211
"26",0,-1.869,-1.658,-0.007,1.549
"27",0,0.083,-0.952,-0.075,-1.352
"28",0,-1.307,-1.026,0.284,-0.857
"29",0,-1.325,-0.45,-1.033,-0.408
"30",0,0.176,0.084,0.133,0.354
"31",1,0.474,1.164,1.835,0.876
"32",1,-0.112,-0.454,-0.408,0.048
"33",1,0.497,1.291,1.312,1.1
"34",0,-0.384,-1.301,0.675,-0.987
"35",1,2.278,2.925,2.147,2.282
"36",0,-0.233,-1.056,-1.118,-0.708
"37",1,-0.144,-1.215,0.311,-0.156
"38",1,1.583,-0.291,-0.309,-0.357
"39",0,-0.311,-1.871,-0.877,-0.48
"40",0,0.838,-0.338,-2.091,1.049
"41",0,-0.889,-0.103,-0.406,0.67
"42",1,0.402,0.553,-0.476,1.158
"43",0,-1.106,-0.689,-2.559,-2.191
"44",0,0.036,-1.466,-0.968,-0.706
"45",1,1.51,0.683,-0.064,0.478
"46",1,-2.227,0.292,-1.24,-1.487
"47",0,-0.433,-1.573,1.391,-0.943
"48",1,-1.209,0.012,-1.168,-0.225
"49",1,-0.809,-0.695,-1.401,-0.016
"50",1,0.464,0.542,0.406,1.363
"51",1,-0.063,-0.271,1.046,-0.534
"52",1,0.56,-1.069,0.373,1.177
"53",1,-0.772,0.542,-0.408,0.113
"54",0,-1.006,0.812,1.07,-1.295
"55",0,-0.541,-1.265,0.729,0.216
"56",0,-1.045,-2.251,-1.991,-1.817
"57",0,-0.807,-0.509,-1.435,-0.611
"58",1,1.06,0.803,-0.165,-1.383
"59",0,0.561,-1.218,0.866,-0.437
"60",1,0.413,1.565,0.143,1.727
"61",0,1.15,-0.338,-0.102,-0.443
"62",1,-0.692,-1.228,0.644,0.629
"63",1,2.049,3.43,2.381,2.333
"64",1,2.123,0.215,0.153,2.12
"65",1,0.131,0.852,-0.023,-0.853
"66",1,-0.292,-0.133,-0.681,-1.113
"67",1,0.119,0.245,0.322,0.741
"68",1,-0.273,-1.63,1.014,-0.329
"69",1,0.975,1.818,1.711,1.455
"70",0,-0.619,-0.272,-0.946,0.095
"71",0,-0.554,-0.787,-0.234,-0.637
"72",1,0.178,-0.673,-0.244,0.039
"73",0,-0.739,0.9,-0.727,-0.174
"74",0,-0.085,-0.623,-0.417,0.131
"75",0,0.071,-1.58,-0.019,-0.288
"76",0,-0.474,-1.331,-0.154,-1.223
"77",1,0.176,0.954,1.423,-0.213
"78",0,-1.449,-0.061,0.346,-0.2
"79",1,0.739,-0.501,0.044,-0.143
"80",0,-0.888,-0.035,0.242,-0.541
"81",1,0.76,1.094,0.906,0.115
"82",0,0,-0.928,-0.109,0.612
"83",1,0.001,1.567,-0.423,-0.616
"84",1,0.415,1.657,1.2,0.49
"85",1,0.349,-0.171,0.047,-0.174
"86",0,-0.409,0.985,-0.784,-0.056
"87",0,-0.934,-1.439,-1.785,-1.669
"88",0,-1.272,-0.517,0.953,-1.287
"89",0,0.299,-0.09,0.549,-1.08
"90",1,1.463,0.783,-0.105,0.779
"91",1,1.062,0.298,0.38,1.331
"92",1,1.091,1.143,0.476,0.619
"93",1,-0.852,-1.011,0.51,-0.423
"94",0,-0.8,-1.377,-1.45,-0.377
"95",0,0.065,-0.726,0.502,1.07
"96",1,1.335,-0.34,1.236,-0.014
"97",1,1.08,1.991,-0.222,0.911
"98",1,0.35,0.628,-0.769,0.052
"99",1,0.703,-0.409,-1.256,-0.098
"100",1,0.416,3.682,-0.328,-0.239
