"","thresholdBindProbability.chemoThreshold.chemoUpperLinearAdjust.chemoLowerLinearAdjust.maxVCAMeffectProbabilityCutoff.vcamSlope.Dummy"
"1","43.2659314959668,0.715537043276888,0.459160265332231,0.0734010895513929,0.270406426688513,1.35512337806599,1.42775855552262"
"2","40.1890084190437,0.740152427892272,0.446852573024539,0.071401089551393,0.242714118996205,0.314107391164781,1.15083547859954"
"3","37.1120853421207,0.764767812507657,0.434544880716846,0.0694010895513929,0.215021811303897,1.48333816039555,1.12608759832354"
"4","34.0351622651976,0.789383197123042,0.422237188409154,0.067401089551393,0.18732950361159,2.65256892962632,1.40301067524661"
"5","30.9582391882745,0.813998581738426,0.409929496101462,0.065401089551393,0.159637195919282,3.82179969885709,1.67993375216969"
"6","27.8813161113514,0.838613966353811,0.39762180379377,0.063401089551393,0.131944888226974,4.99103046808786,1.95685682909277"
"7","24.8043930344284,0.863229350969195,0.385314111486077,0.0614010895513929,0.104252580534667,3.83973876268137,2.23377990601584"
"8","21.7274699575053,0.88784473558458,0.373006419178385,0.059401089551393,0.123439727157641,2.6705079934506,2.51070298293892"
"9","18.6505468805822,0.887539879800035,0.360698726870693,0.0574010895513929,0.151132034849949,1.50127722421983,2.787626059862"
"10","15.5736238036591,0.862924495184651,0.348391034563,0.055401089551393,0.178824342542256,0.332046454989063,3.06454913678507"
"11","12.496700726736,0.838309110569266,0.336083342255308,0.0534010895513929,0.206516650234564,1.33718431424171,3.34147221370815"
"12","9.41977764981297,0.813693725953882,0.323775649947616,0.051401089551393,0.234208957926872,2.50641508347248,3.61839529063123"
"13","6.34285457288988,0.789078341338497,0.311467957639924,0.049401089551393,0.261901265619179,3.67564585270325,3.8953183675543"
"14","3.26593149596681,0.764462956723112,0.299160265332231,0.0474010895513929,0.289593573311487,4.84487662193401,4.17224144447738"
"15","0.189008419043496,0.739847572107728,0.286852573024539,0.045401089551393,0.317285881003795,3.98589260883522,4.44916452140046"
"16","2.88791465787932,0.715232187492343,0.274544880716847,0.043401089551393,0.344978188696102,2.81666183960445,4.72608759832353"
"17","5.96483773480241,0.690616802876958,0.262237188409154,0.0414010895513929,0.37267049638841,1.64743107037368,5.00301067524661"
"18","9.04176081172549,0.666001418261574,0.249929496101462,0.0394010895513929,0.400362804080718,0.478200301142908,5.27993375216969"
"19","12.1186838886486,0.641386033646189,0.23762180379377,0.037401089551393,0.428055111773026,1.19103046808786,5.55685682909277"
"20","15.1956069655716,0.616770649030805,0.225314111486077,0.035401089551393,0.455747419465333,2.36026123731863,5.83377990601584"
"21","18.2725300424947,0.59215526441542,0.213006419178385,0.0334010895513929,0.483439727157641,3.5294920065494,6.11070298293892"
"22","21.3494531194178,0.567539879800035,0.200698726870693,0.031401089551393,0.511132034849949,4.69872277578017,6.387626059862"
"23","24.4263761963409,0.542924495184651,0.188391034563,0.0294010895513929,0.538824342542256,4.13204645498906,6.66454913678507"
"24","27.503299273264,0.518309110569266,0.176083342255308,0.0274010895513929,0.566516650234564,2.9628156857583,6.94147221370815"
"25","30.580222350187,0.493693725953882,0.163775649947616,0.025401089551393,0.594208957926872,1.79358491652753,7.21839529063123"
