"","thresholdBindProbability.chemoThreshold.chemoUpperLinearAdjust.chemoLowerLinearAdjust.maxVCAMeffectProbabilityCutoff.vcamSlope"
"1","40.2266506148646,0.187921562372492,0.118001414985897,0.0475070356025826,0.379067167928442,2.17545284227056"
"2","71.7843400396836,0.4238371984546,0.323701990210953,0.0751478457069024,0.44143061304859,3.25967818971347"
"3","15.314427902922,0.147973519901817,0.271961212642491,0.0317236907512415,0.631281867066685,0.964766666403291"
"4","83.0940761671473,0.751573030303877,0.11226922600745,0.0593574057451915,0.248813408571295,2.64640489020206"
"5","85.7013215482808,0.376625538938321,0.484582489390786,0.0273080524487887,0.511161708025119,2.86781951079521"
"6","57.591873293456,0.610950555726886,0.214849298262539,0.0511431665865239,0.769385210067177,4.88349810793924"
"7","35.515863085882,0.406862423732304,0.203620825025898,0.0678794332961552,0.888340634167409,1.13221827706125"
"8","17.5057837546158,0.709696799049584,0.254492616237929,0.0638016877055634,0.262548885711182,1.86150319713186"
"9","51.5110301126081,0.825175604192683,0.438717098024029,0.0412939917990006,0.605396391362167,1.46378934525688"
"10","6.56038315321964,0.351361213655999,0.416101929946588,0.0249425053223968,0.669405403209564,4.12819469579084"
"11","16.8681800583951,0.868523201332069,0.280740137724922,0.0651702435801271,0.61305802133006,3.87884128198672"
"12","33.1971721795316,0.6044566370948,0.177561799393824,0.0210649499187712,0.531475356518148,3.79243292495734"
"13","81.5414351303704,0.253125650991614,0.181605721459939,0.0769384137454908,0.497603845467003,4.57345624649539"
"14","0.732596951465194,0.416187775051938,0.275143970335619,0.028955146738328,0.456019786310812,4.66363773358395"
"15","37.1041855570645,0.386032200283729,0.499160803486235,0.0464359764016699,0.799201249950565,0.51979471450188"
"16","95.0158665873683,0.1019126304325,0.289842812880301,0.0409468178190291,0.481993496482117,1.74824140573171"
"17","86.4458152580147,0.555407222870451,0.413092788075312,0.0201341113378294,0.169545647719015,3.09555229775052"
"18","97.3737672659067,0.323560942454407,0.237840631112743,0.0234595754120965,0.286009657903073,2.48008917961986"
"19","45.9173011579193,0.199140483524937,0.331102628068855,0.0606882752375677,0.233726950743451,0.736936583768469"
"20","2.26497569622902,0.173471115890604,0.342475058847608,0.0358495521037839,0.747399698717949,2.91969008910774"
"21","29.0371533243272,0.72113372449978,0.370819252033073,0.0187277670046315,0.345306623552281,3.99061961942173"
"22","42.5324111951229,0.549747437290274,0.4774481277526,0.0426379087232053,0.319173553191627,1.0325789568095"
"23","95.9208466936476,0.680040958460707,0.36700355993154,0.0399281775483396,0.817291564525893,1.98621245897912"
"24","39.9342305983345,0.887617401583837,0.319116559967112,0.0500293771654833,0.187735397263,1.58567501403069"
"25","90.949534692515,0.30976268626463,0.299201906373581,0.0783368783087935,0.517789035355672,0.806975739656124"
"26","60.6120671192184,0.505608317152812,0.196328304265268,0.0523287437167019,0.324268185263858,0.258428862199295"
"27","81.5322545826292,0.69543725200284,0.244996849801391,0.0547327180176508,0.859749615348231,3.94565859589851"
"28","20.0169785707616,0.295770033984803,0.252434791578696,0.0643825046233833,0.128994481538136,4.27285930036227"
"29","73.571018950942,0.762514760669034,0.430182971543131,0.0481328278130386,0.298578906323976,3.59190792308028"
"30","78.3189098708905,0.847030116915703,0.310717410598523,0.0666441072286107,0.948502695266014,1.12382728420735"
"31","46.3975322411324,0.486687249128635,0.144627752599235,0.0580943902677391,0.125306861426037,3.50377232527378"
"32","50.2580732730432,0.215794187812851,0.265185168636246,0.0167373054679483,0.464821568629346,1.8539608668124"
"33","24.0718141384423,0.617357264823065,0.466747375112027,0.0684153180015273,0.557987805143572,2.77320357194403"
"34","89.1728204746659,0.121030646783228,0.232636773560483,0.0722429566089995,0.900003665786308,2.12456491509757"
"35","68.9696087752684,0.809520627045288,0.139875912580353,0.0744950641056057,0.423721312804936,4.22907393579371"
"36","67.4065411545766,0.800661873548077,0.100907575662893,0.0777498216649983,0.722739870995641,1.56354252617681"
"37","3.61634703102307,0.855617834547391,0.136621236978815,0.0431066483196337,0.279096678536242,3.63683492268185"
"38","48.5124009321085,0.894323622145905,0.172090571998404,0.04540579050011,0.780577066571523,4.36717085563667"
"39","13.2717766885001,0.642244586809896,0.40062564701415,0.0222126453458332,0.965931012693148,1.20997409283703"
"40","63.5767156007485,0.526105554384681,0.489267583068174,0.0256348757988308,0.702109306096457,3.16855908237272"
"41","99.7807715954975,0.584564720463867,0.348087395876646,0.0578285343598109,0.35548703633607,4.43846803781612"
"42","33.9966285192909,0.765414160449918,0.122704353024467,0.0266680506039411,0.694062953584899,1.66050835437894"
"43","12.2043210841142,0.434793637137,0.38795310003683,0.0612246305088047,0.861964321753655,3.45530248762628"
"44","90.2847807772028,0.542363998887058,0.165697561602753,0.0158431201484054,0.575780073330165,3.34790366084154"
"45","54.7195190732152,0.359632641644432,0.470423286594451,0.0735880663930439,0.110405442328192,2.0672212959903"
"46","19.0335319033609,0.306754640610172,0.334205011646622,0.0536234357093927,0.395707342553741,0.585271656597391"
"47","76.7904379107774,0.73014698071262,0.453040514608415,0.036671408327762,0.221405078394768,0.434318143249346"
"48","25.8893461815583,0.672641183934533,0.189241568153867,0.056419973319862,0.921939514691297,2.23209672805835"
"49","58.9202485068773,0.829559095258323,0.393970617573135,0.0557781813021284,0.932760131578319,4.74536537254283"
"50","74.7649853622827,0.340071914141568,0.206991382357306,0.029426098100841,0.654008980942174,0.901797321682366"
"51","21.6606764509701,0.130859990827739,0.449662594565978,0.0705983954181429,0.590488279591888,2.4101034428593"
"52","30.4447607262633,0.262064187790339,0.309048933723512,0.0324735030983575,0.168257982850863,4.84660710052838"
"53","65.7705879813203,0.465250077198904,0.356295467358656,0.0190732468697242,0.839710808870239,3.21186793430422"
"54","6.06569963435714,0.477996609961757,0.36291994200303,0.0344701286177151,0.198588523542007,3.01107252210271"
"55","56.05870368783,0.511464073597812,0.217092294639979,0.0171465618428774,0.368928240649044,2.57144463965759"
"56","61.5457945313448,0.181275023895387,0.437880475449448,0.0497066615319345,0.145173591435887,4.11219403142235"
"57","52.8209315616494,0.242501960216233,0.158047834647676,0.0620515953230206,0.760874199370782,2.7015970687364"
"58","79.6172645931634,0.149855645104096,0.424399792076303,0.0442976944567636,0.823925069057956,3.74526025161971"
"59","43.2098390387658,0.445140395310636,0.292915328054761,0.0715423360101413,0.994592535033321,2.31598488411938"
"60","8.00804758766809,0.227773934132778,0.379831126863853,0.0798355179498903,0.406297297641062,4.97630905528427"
"61","69.9949003383517,0.640335233819026,0.404930855180495,0.0691285646765027,0.646120135494006,1.28712944704233"
"62","92.9767701878714,0.27507856495965,0.228991361736105,0.0334484274650458,0.913837392103787,4.50002375275094"
"63","32.1027824347122,0.656383330532565,0.125710459587952,0.0371648911463562,0.550903724301248,0.376217074620609"
"64","10.5783369062612,0.785642146261839,0.45986131206728,0.0388202799935825,0.723306938303061,0.688177349705858"
"65","27.1306074396349,0.572965850841541,0.149405494971344,0.0307533327005804,0.975196470428043,1.419190971916"
