"","thresholdBindProbability.chemoThreshold.chemoUpperLinearAdjust.chemoLowerLinearAdjust.maxVCAMeffectProbabilityCutoff.vcamSlope.Dummy"
"1","57.0437665577405,0.392690476041574,0.100471095227851,0.0358183313705958,0.243643029114375,3.49480805005699,6.78219892257968"
"2","53.9668434808174,0.368075091426189,0.197990443233687,0.0338183313705958,0.271335336806683,3.34865420390315,7.05912199950275"
"3","50.8899204038943,0.343459706810804,0.296451981695226,0.0318183313705958,0.29902764449899,3.2025003577493,7.33604507642583"
"4","47.8129973269712,0.31884432219542,0.394913520156764,0.0298183313705958,0.326719952191298,3.05634651159545,7.61296815334891"
"5","44.7360742500482,0.294228937580035,0.493375058618303,0.0278183313705958,0.354412259883606,2.91019266544161,7.88989123027199"
"6","41.6591511731251,0.269613552964651,0.408163402920159,0.0258183313705958,0.382104567575913,2.76403881928776,8.16681430719506"
"7","38.582228096202,0.244998168349266,0.309701864458621,0.0238183313705958,0.409796875268221,2.61788497313391,8.44373738411814"
"8","35.5053050192789,0.220382783733881,0.211240325997082,0.0218183313705958,0.437489182960529,2.47173112698007,8.72066046104122"
"9","32.4283819423559,0.195767399118497,0.112778787535543,0.0198183313705958,0.465181490652836,2.32557728082622,8.99758353796429"
"10","29.3514588654328,0.171152014503112,0.185682750925995,0.0178183313705958,0.492873798345144,2.17942343467238,9.27450661488737"
"11","26.2745357885097,0.146536629887728,0.284144289387534,0.0158183313705959,0.520566106037452,2.03326958851853,9.55142969181045"
"12","23.1976127115866,0.121921245272343,0.382605827849072,0.0161816686294041,0.548258413729759,1.88711574236468,9.82835276873352"
"13","20.1206896346636,0.102694139343041,0.48106736631061,0.0181816686294042,0.575950721422067,1.74096189621084,9.8947241543434"
"14","17.0437665577405,0.127309523958426,0.420471095227851,0.0201816686294042,0.603643029114375,1.59480805005699,9.61780107742032"
"15","13.9668434808174,0.151924908573811,0.322009556766313,0.0221816686294042,0.631335336806682,1.44865420390315,9.34087800049725"
"16","10.8899204038943,0.176540293189195,0.223548018304775,0.0241816686294042,0.65902764449899,1.3025003577493,9.06395492357417"
"17","7.81299732697124,0.20115567780458,0.125086479843236,0.0261816686294042,0.686719952191298,1.15634651159545,8.78703184665109"
"18","4.73607425004816,0.225771062419965,0.173375058618303,0.0281816686294042,0.714412259883606,1.01019266544161,8.51010876972801"
"19","1.65915117312511,0.250386447035349,0.271836597079841,0.0301816686294042,0.742104567575913,0.86403881928776,8.23318569280494"
"20","1.41777190379801,0.275001831650734,0.370298135541379,0.0321816686294042,0.769796875268221,0.717884973133914,7.95626261588186"
"21","4.49469498072106,0.299617216266119,0.468759674002918,0.0341816686294042,0.797489182960529,0.571731126980067,7.67933953895878"
"22","7.57161805764413,0.324232600881503,0.432778787535544,0.0361816686294042,0.825181490652836,0.425577280826222,7.40241646203571"
"23","10.6485411345672,0.348847985496888,0.334317249074005,0.0381816686294042,0.852873798345144,0.279423434672372,7.12549338511263"
"24","13.7254642114903,0.373463370112272,0.235855710612467,0.0401816686294042,0.880566106037452,0.366730411481471,6.84857030818955"
"25","16.8023872884134,0.398078754727657,0.137394172150928,0.0421816686294042,0.908258413729759,0.512884257635317,6.57164723126648"
"26","19.8793103653364,0.422694139343042,0.16106736631061,0.0441816686294042,0.935950721422067,0.659038103789162,6.2947241543434"
"27","22.9562334422595,0.447309523958426,0.259528904772149,0.0461816686294042,0.963643029114375,0.805191949943009,6.01780107742032"
"28","26.0331565191826,0.471924908573811,0.357990443233687,0.0481816686294042,0.991335336806683,0.951345796096856,5.74087800049725"
"29","29.1100795961057,0.496540293189195,0.456451981695226,0.0501816686294042,0.98097235550101,1.0974996422507,5.46395492357417"
"30","32.1870026730288,0.52115567780458,0.445086479843236,0.0521816686294042,0.953280047808702,1.24365348840455,5.18703184665109"
"31","35.2639257499518,0.545771062419965,0.346624941381698,0.0541816686294042,0.925587740116394,1.38980733455839,4.91010876972802"
"32","38.3408488268749,0.570386447035349,0.248163402920159,0.0561816686294042,0.897895432424087,1.53596118071224,4.63318569280494"
"33","41.417771903798,0.595001831650734,0.149701864458621,0.0581816686294042,0.870203124731779,1.68211502686609,4.35626261588186"
"34","44.4946949807211,0.619617216266119,0.148759674002918,0.0601816686294042,0.842510817039472,1.82826887301993,4.07933953895878"
"35","47.5716180576441,0.644232600881503,0.247221212464456,0.0621816686294042,0.814818509347164,1.97442271917378,3.80241646203571"
"36","50.6485411345672,0.668847985496888,0.345682750925995,0.0641816686294042,0.787126201654856,2.12057656532762,3.52549338511263"
"37","53.7254642114903,0.693463370112272,0.444144289387533,0.0661816686294042,0.759433893962548,2.26673041148147,3.24857030818955"
"38","56.8023872884134,0.718078754727657,0.457394172150928,0.0681816686294042,0.731741586270241,2.41288425763532,2.97164723126648"
"39","59.8793103653364,0.742694139343042,0.35893263368939,0.0701816686294042,0.704049278577933,2.55903810378916,2.6947241543434"
"40","62.9562334422595,0.767309523958426,0.260471095227851,0.0721816686294042,0.676356970885625,2.70519194994301,2.41780107742032"
"41","66.0331565191826,0.791924908573811,0.162009556766313,0.0741816686294041,0.648664663193318,2.85134579609685,2.14087800049725"
"42","69.1100795961057,0.816540293189196,0.136451981695225,0.0761816686294041,0.62097235550101,2.9974996422507,1.86395492357417"
"43","72.1870026730288,0.84115567780458,0.234913520156764,0.0781816686294041,0.593280047808702,3.14365348840455,1.58703184665109"
"44","75.2639257499518,0.865771062419965,0.333375058618302,0.0798183313705959,0.565587740116394,3.28980733455839,1.31010876972801"
"45","78.3408488268749,0.89038644703535,0.431836597079841,0.0778183313705959,0.537895432424087,3.43596118071224,1.03318569280494"
"46","81.417771903798,0.884998168349266,0.469701864458621,0.0758183313705958,0.510203124731779,3.58211502686609,1.24373738411814"
"47","84.4946949807211,0.860382783733882,0.371240325997082,0.0738183313705958,0.482510817039471,3.72826887301993,1.52066046104122"
"48","87.5716180576441,0.835767399118497,0.272778787535544,0.0718183313705958,0.454818509347164,3.87442271917378,1.79758353796429"
"49","90.6485411345672,0.811152014503112,0.174317249074005,0.0698183313705958,0.427126201654856,4.02057656532762,2.07450661488737"
"50","93.7254642114903,0.786536629887728,0.124144289387533,0.0678183313705958,0.399433893962548,4.16673041148147,2.35142969181045"
"51","96.8023872884134,0.761921245272343,0.222605827849072,0.0658183313705958,0.371741586270241,4.31288425763532,2.62835276873352"
"52","99.8793103653362,0.737305860656958,0.32106736631061,0.0638183313705959,0.344049278577933,4.45903810378916,2.9052758456566"
"53","97.0437665577405,0.712690476041574,0.419528904772149,0.0618183313705958,0.316356970885625,4.60519194994301,3.18219892257968"
"54","93.9668434808174,0.688075091426189,0.482009556766313,0.0598183313705958,0.288664663193318,4.75134579609685,3.45912199950275"
"55","90.8899204038943,0.663459706810805,0.383548018304775,0.0578183313705959,0.26097235550101,4.8974996422507,3.73604507642583"
"56","87.8129973269713,0.63884432219542,0.285086479843236,0.0558183313705959,0.233280047808702,4.95634651159545,4.01296815334891"
"57","84.7360742500481,0.614228937580035,0.186624941381698,0.0538183313705959,0.205587740116395,4.81019266544161,4.28989123027199"
"58","81.6591511731251,0.589613552964651,0.111836597079841,0.0518183313705958,0.177895432424087,4.66403881928776,4.56681430719506"
"59","78.582228096202,0.564998168349266,0.210298135541379,0.0498183313705958,0.150203124731779,4.51788497313391,4.84373738411814"
"60","75.505305019279,0.540382783733881,0.308759674002918,0.0478183313705959,0.122510817039472,4.37173112698007,5.12066046104121"
