"","thresholdBindProbability.chemoThreshold.chemoUpperLinearAdjust.chemoLowerLinearAdjust.maxVCAMeffectProbabilityCutoff.vcamSlope.Dummy"
"1","78.3550801235609,0.838298189731744,0.495676293974886,0.0768034200058319,0.364857077797731,2.5007118187397,3.07298156026607"
"2","75.2781570466379,0.641375112808668,0.483368601667193,0.0788034200058319,0.337164770105424,2.64686566489355,2.796058483343"
"3","72.2012339697148,0.44445203588559,0.471060909359501,0.0791965799941681,0.309472462413116,2.79301951104739,2.51913540641992"
"4","69.1243108927917,0.247528958962514,0.458753217051809,0.0771965799941682,0.281780154720808,2.93917335720124,2.24221232949684"
"5","66.0473878158686,0.149394117960563,0.446445524744116,0.0751965799941681,0.254087847028501,3.08532720335509,1.96528925257377"
"6","62.9704647389456,0.34631719488364,0.434137832436424,0.0731965799941681,0.226395539336193,3.23148104950893,1.68836617565069"
"7","59.8935416620225,0.543240271806717,0.421830140128732,0.0711965799941681,0.198703231643885,3.37763489566278,1.41144309872761"
"8","56.8166185850994,0.740163348729794,0.409522447821039,0.0691965799941681,0.171010923951578,3.52378874181662,1.13452002180454"
"9","53.7396955081763,0.862913574347129,0.397214755513347,0.0671965799941681,0.14331861625927,3.66994258797047,1.14240305511854"
"10","50.6627724312533,0.665990497424053,0.384907063205655,0.0651965799941681,0.115626308566963,3.81609643412432,1.41932613204162"
"11","47.5858493543302,0.469067420500975,0.372599370897962,0.0631965799941681,0.112065999125345,3.96225028027816,1.69624920896469"
"12","44.5089262774071,0.272144343577899,0.36029167859027,0.0611965799941681,0.139758306817653,4.10840412643201,1.97317228588777"
"13","41.432003200484,0.124778733345179,0.347983986282578,0.0591965799941681,0.167450614509961,4.25455797258585,2.25009536281085"
"14","38.3550801235609,0.321701810268256,0.335676293974886,0.0571965799941681,0.195142922202269,4.4007118187397,2.52701843973392"
"15","35.2781570466379,0.518624887191332,0.323368601667193,0.0551965799941681,0.222835229894576,4.54686566489355,2.803941516657"
"16","32.2012339697148,0.715547964114409,0.311060909359501,0.0531965799941681,0.250527537586884,4.69301951104739,3.08086459358008"
"17","29.1243108927917,0.887528958962514,0.298753217051809,0.0511965799941681,0.278219845279192,4.83917335720124,3.35778767050316"
"18","26.0473878158686,0.690605882039436,0.286445524744116,0.0491965799941681,0.305912152971499,4.98532720335509,3.63471074742623"
"19","22.9704647389456,0.49368280511636,0.274137832436424,0.0471965799941681,0.333604460663807,4.86851895049107,3.91163382434931"
"20","19.8935416620225,0.296759728193283,0.261830140128732,0.0451965799941681,0.361296768356115,4.72236510433722,4.18855690127239"
"21","16.8166185850994,0.100163348729814,0.249522447821039,0.0431965799941681,0.388989076048422,4.57621125818338,4.46547997819546"
"22","13.7396955081763,0.297086425652871,0.237214755513347,0.0411965799941681,0.41668138374073,4.43005741202953,4.74240305511854"
"23","10.6627724312533,0.494009502575948,0.224907063205655,0.0391965799941681,0.444373691433038,4.28390356587568,5.01932613204162"
"24","7.58584935433016,0.690932579499025,0.212599370897962,0.0371965799941681,0.472065999125345,4.13774971972184,5.29624920896469"
"25","4.50892627740711,0.887855656422102,0.20029167859027,0.0351965799941681,0.499758306817653,3.99159587356799,5.57317228588777"
"26","1.43200320048406,0.715221266654822,0.187983986282578,0.0331965799941681,0.527450614509961,3.84544202741415,5.85009536281085"
"27","1.64491987643909,0.518298189731745,0.175676293974886,0.0311965799941681,0.555142922202268,3.6992881812603,6.12701843973392"
"28","4.72184295336214,0.321375112808668,0.163368601667193,0.0291965799941681,0.582835229894576,3.55313433510645,6.403941516657"
"29","7.7987660302852,0.124452035885591,0.151060909359501,0.0271965799941681,0.610527537586884,3.40698048895261,6.68086459358008"
"30","10.8756891072083,0.272471041037486,0.138753217051809,0.0251965799941681,0.638219845279192,3.26082664279876,6.95778767050316"
"31","13.9526121841314,0.469394117960563,0.126445524744116,0.0231965799941681,0.665912152971499,3.11467279664492,7.23471074742623"
"32","17.0295352610544,0.66631719488364,0.114137832436424,0.0211965799941681,0.693604460663807,2.96851895049107,7.51163382434931"
"33","20.1064583379775,0.863240271806717,0.101830140128731,0.0191965799941681,0.721296768356115,2.82236510433722,7.78855690127239"
"34","23.1833814149006,0.739836651270206,0.110477552178961,0.0171965799941681,0.748989076048422,2.67621125818338,8.06547997819546"
"35","26.2603044918237,0.542913574347129,0.122785244486653,0.0151965799941681,0.77668138374073,2.53005741202953,8.34240305511854"
"36","29.3372275687467,0.345990497424052,0.135092936794345,0.0168034200058319,0.804373691433038,2.38390356587568,8.61932613204162"
"37","32.4141506456698,0.149067420500975,0.147400629102038,0.0188034200058319,0.832065999125345,2.23774971972184,8.89624920896469"
"38","35.4910737225929,0.247855656422101,0.15970832140973,0.0208034200058319,0.859758306817653,2.09159587356799,9.17317228588777"
"39","38.567996799516,0.444778733345178,0.172016013717422,0.0228034200058319,0.887450614509961,1.94544202741415,9.45009536281085"
"40","41.6449198764391,0.641701810268255,0.184323706025114,0.0248034200058319,0.915142922202268,1.7992881812603,9.72701843973392"
"41","44.7218429533621,0.838624887191332,0.196631398332807,0.0268034200058319,0.942835229894576,1.65313433510645,9.99605848334311"
"42","47.7987660302852,0.764452035885591,0.208939090640499,0.0288034200058319,0.970527537586884,1.50698048895261,9.71913540641992"
"43","50.8756891072083,0.567528958962514,0.221246782948191,0.0308034200058319,0.998219845279192,1.36082664279876,9.44221232949685"
"44","53.9526121841313,0.370605882039437,0.233554475255884,0.0328034200058318,0.974087847028501,1.21467279664492,9.16528925257377"
