"","thresholdBindProbability.chemoThreshold.chemoUpperLinearAdjust.chemoLowerLinearAdjust.maxVCAMeffectProbabilityCutoff.vcamSlope.Dummy"
"1","69.1290033529871,0.812742405745846,0.350044900929699,0.0703705006097443,0.258230359885985,3.1877404323994,1.72032176529845"
"2","66.052080276064,0.83735779036123,0.337737208622006,0.0543705006097443,0.285922667578293,3.04158658624555,1.44339868837538"
"3","62.9751571991409,0.861973174976615,0.325429516314314,0.0383705006097443,0.3136149752706,2.8954327400917,1.1664756114523"
"4","59.8982341222179,0.886588559591999,0.313121824006622,0.0223705006097443,0.341307282962908,2.74927889393786,1.11044746547078"
"5","56.8213110452948,0.888796055792616,0.300814131698929,0.0236294993902556,0.368999590655216,2.60312504778401,1.38737054239385"
"6","53.7443879683717,0.864180671177231,0.288506439391237,0.0396294993902557,0.396691898347523,2.45697120163017,1.66429361931693"
"7","50.6674648914486,0.839565286561847,0.276198747083545,0.0556294993902557,0.424384206039831,2.31081735547632,1.94121669624001"
"8","47.5905418145256,0.814949901946462,0.263891054775853,0.0716294993902556,0.452076513732139,2.16466350932247,2.21813977316308"
"9","44.5136187376025,0.790334517331078,0.25158336246816,0.0723705006097443,0.479768821424446,2.01850966316863,2.49506285008616"
"10","41.4366956606794,0.765719132715693,0.239275670160468,0.0563705006097444,0.507461129116754,1.87235581701478,2.77198592700924"
"11","38.3597725837563,0.741103748100308,0.226967977852776,0.0403705006097443,0.535153436809062,1.72620197086094,3.04890900393232"
"12","35.2828495068332,0.716488363484924,0.214660285545083,0.0243705006097443,0.562845744501369,1.58004812470709,3.32583208085539"
"13","32.2059264299102,0.691872978869539,0.202352593237391,0.0216294993902557,0.590538052193677,1.43389427855324,3.60275515777847"
"14","29.1290033529871,0.667257594254154,0.190044900929699,0.0376294993902557,0.618230359885985,1.2877404323994,3.87967823470155"
"15","26.052080276064,0.64264220963877,0.177737208622006,0.0536294993902557,0.645922667578293,1.14158658624555,4.15660131162462"
