"","thresholdBindProbability.chemoThreshold.chemoUpperLinearAdjust.chemoLowerLinearAdjust.maxVCAMeffectProbabilityCutoff.vcamSlope.Dummy"
"1","79.218361341896,0.132163301098805,0.216878647176692,0.0238641994618811,0.632406383041436,2.8694378388365,4.37132140378683"
"2","76.1414382649729,0.15677868571419,0.204570954869,0.0218641994618811,0.660098690733743,3.01559168499035,6.58670601917145"
"3","73.0645151880498,0.181394070329575,0.192263262561307,0.0198641994618811,0.687790998426051,3.16174553114419,8.80209063455607"
"4","69.9875921111267,0.206009454944959,0.179955570253615,0.0178641994618811,0.715483306118359,3.30789937729804,8.98252475005932"
"5","66.9106690342037,0.230624839560344,0.167647877945923,0.0158641994618811,0.743175613810666,3.45405322345189,6.76714013467471"
"6","63.8337459572806,0.255240224175728,0.155340185638231,0.0161358005381189,0.770867921502974,3.60020706960573,4.55175551929009"
"7","60.7568228803575,0.279855608791113,0.143032493330538,0.0181358005381189,0.798560229195282,3.74636091575958,2.33637090390548"
"8","57.6798998034344,0.304470993406498,0.130724801022846,0.0201358005381189,0.826252536887589,3.89251476191342,1.87901371147913"
"9","54.6029767265114,0.329086378021882,0.118417108715154,0.0221358005381189,0.853944844579897,4.03866860806727,4.09439832686376"
"10","51.5260536495883,0.353701762637267,0.106109416407461,0.0241358005381189,0.881637152272205,4.18482245422112,6.30978294224837"
"11","48.4491305726652,0.378317147252651,0.106198275900231,0.0261358005381189,0.909329459964513,4.33097630037496,8.52516755763299"
"12","45.3722074957421,0.402932531868036,0.118505968207923,0.0281358005381189,0.93702176765682,4.47713014652881,9.2594478269824"
"13","42.2952844188191,0.427547916483421,0.130813660515616,0.0301358005381189,0.964714075349128,4.62328399268266,7.04406321159779"
"14","39.218361341896,0.452163301098805,0.143121352823308,0.0321358005381189,0.992406383041436,4.7694378388365,4.82867859621317"
"15","36.1414382649729,0.47677868571419,0.155429045131,0.0341358005381189,0.979901309266257,4.91559168499035,2.61329398082856"
"16","33.0645151880498,0.501394070329574,0.167736737438692,0.0361358005381189,0.952209001573949,4.9382544688558,1.60209063455605"
"17","29.9875921111267,0.526009454944959,0.180044429746385,0.0381358005381189,0.924516693881641,4.79210062270196,3.81747524994067"
"18","26.9106690342037,0.550624839560344,0.192352122054077,0.0401358005381189,0.896824386189334,4.64594677654811,6.03285986532529"
"19","23.8337459572806,0.575240224175728,0.204659814361769,0.0421358005381189,0.869132078497026,4.49979293039427,8.2482444807099"
"20","20.7568228803575,0.599855608791113,0.216967506669462,0.0441358005381189,0.841439770804718,4.35363908424042,9.53637090390548"
"21","17.6798998034344,0.624470993406497,0.229275198977154,0.0461358005381189,0.81374746311241,4.20748523808658,7.32098628852086"
"22","14.6029767265113,0.649086378021882,0.241582891284846,0.0481358005381189,0.786055155420103,4.06133139193273,5.10560167313625"
"23","11.5260536495883,0.673701762637267,0.253890583592539,0.0501358005381189,0.758362847727795,3.91517754577888,2.89021705775163"
"24","8.4491305726652,0.698317147252651,0.266198275900231,0.0521358005381189,0.730670540035487,3.76902369962504,1.32516755763298"
"25","5.37220749574214,0.722932531868036,0.278505968207923,0.0541358005381189,0.70297823234318,3.62286985347119,3.5405521730176"
"26","2.29528441881903,0.747547916483421,0.290813660515616,0.0561358005381189,0.675285924650872,3.47671600731735,5.75593678840221"
"27","0.781638658103984,0.772163301098805,0.303121352823308,0.0581358005381189,0.647593616958564,3.3305621611635,7.97132140378683"
"28","3.8585617350271,0.79677868571419,0.315429045131,0.0601358005381189,0.619901309266257,3.18440831500965,9.81329398082856"
"29","6.93548481195017,0.821394070329574,0.327736737438692,0.0621358005381189,0.592209001573949,3.03825446885581,7.59790936544394"
"30","10.0124078888733,0.846009454944959,0.340044429746385,0.0641358005381189,0.564516693881641,2.89210062270196,5.38252475005933"
"31","13.0893309657963,0.870624839560344,0.352352122054077,0.0661358005381189,0.536824386189334,2.74594677654811,3.16714013467471"
"32","16.1662540427194,0.895240224175728,0.364659814361769,0.0681358005381189,0.509132078497026,2.59979293039427,1.04824448070991"
"33","19.2431771196425,0.880144391208887,0.376967506669462,0.0701358005381189,0.481439770804718,2.45363908424042,3.26362909609452"
"34","22.3201001965656,0.855529006593503,0.389275198977154,0.0721358005381189,0.453747463112411,2.30748523808658,5.47901371147913"
"35","25.3970232734886,0.830913621978118,0.401582891284846,0.0741358005381189,0.426055155420103,2.16133139193273,7.69439832686375"
"36","28.4739463504117,0.806298237362733,0.413890583592539,0.0761358005381189,0.398362847727795,2.01517754577888,9.90978294224837"
"37","31.5508694273348,0.781682852747349,0.426198275900231,0.0781358005381189,0.370670540035487,1.86902369962504,7.87483244236702"
"38","34.6277925042579,0.757067468131964,0.438505968207923,0.0798641994618812,0.34297823234318,1.72286985347119,5.65944782698241"
"39","37.7047155811809,0.732452083516579,0.450813660515616,0.0778641994618811,0.315285924650872,1.57671600731735,3.44406321159779"
"40","40.781638658104,0.707836698901195,0.463121352823308,0.0758641994618811,0.287593616958564,1.4305621611635,1.22867859621317"
"41","43.8585617350271,0.68322131428581,0.475429045131,0.0738641994618811,0.259901309266257,1.28440831500965,2.98670601917144"
"42","46.9354848119502,0.658605929670426,0.487736737438693,0.0718641994618811,0.232209001573949,1.13825446885581,5.20209063455605"
"43","50.0124078888733,0.633990545055041,0.499955570253597,0.0698641994618811,0.204516693881641,0.992100622701961,7.41747524994067"
"44","53.0893309657963,0.609375160439656,0.487647877945923,0.0678641994618811,0.176824386189334,0.845946776548114,9.63285986532529"
"45","56.1662540427194,0.584759775824272,0.475340185638231,0.0658641994618811,0.149132078497026,0.699792930394268,8.1517555192901"
"46","59.2431771196425,0.560144391208887,0.463032493330538,0.0638641994618811,0.121439770804718,0.553639084240423,5.93637090390548"
"47","62.3201001965656,0.535529006593502,0.450724801022846,0.0618641994618811,0.10625253688759,0.407485238086576,3.72098628852087"
"48","65.3970232734886,0.510913621978118,0.438417108715154,0.0598641994618811,0.133944844579897,0.26133139193273,1.50560167313626"
"49","68.4739463504117,0.486298237362733,0.426109416407461,0.0578641994618811,0.161637152272205,0.384822454221116,2.70978294224836"
"50","71.5508694273348,0.461682852747349,0.413801724099769,0.0558641994618811,0.189329459964513,0.530976300374964,4.92516755763299"
"51","74.6277925042579,0.437067468131964,0.401494031792077,0.0538641994618811,0.21702176765682,0.677130146528809,7.1405521730176"
"52","77.7047155811809,0.41245208351658,0.389186339484385,0.0518641994618811,0.244714075349128,0.823283992682654,9.35593678840221"
"53","80.781638658104,0.387836698901195,0.376878647176692,0.0498641994618811,0.272406383041436,0.969437838836501,8.42867859621318"
"54","83.8585617350271,0.36322131428581,0.364570954869,0.0478641994618811,0.300098690733743,1.11559168499035,6.21329398082856"
"55","86.9354848119502,0.338605929670426,0.352263262561308,0.0458641994618811,0.327790998426051,1.26174553114419,3.99790936544395"
"56","90.0124078888733,0.313990545055041,0.339955570253615,0.0438641994618811,0.355483306118359,1.40789937729804,1.78252475005933"
"57","93.0893309657963,0.289375160439656,0.327647877945923,0.0418641994618811,0.383175613810666,1.55405322345189,2.43285986532529"
"58","96.1662540427194,0.264759775824272,0.315340185638231,0.0398641994618811,0.410867921502974,1.70020706960573,4.64824448070991"
