"","thresholdBindProbability.chemoThreshold.chemoUpperLinearAdjust.chemoLowerLinearAdjust.maxVCAMeffectProbabilityCutoff.vcamSlope.Dummy"
"1","5.53274919493835,0.718890162545901,0.244417137472102,0.0197233052630909,0.218351691601655,4.47479396632586,3.55232846630881"
"2","19.0826354204462,0.743505547161286,0.23210944516441,0.0177233052630909,0.190659383909347,4.62094781247971,3.82925154323188"
"3","43.6980200358309,0.76812093177667,0.219801752856718,0.0157233052630909,0.162967076217039,4.76710165863355,4.10617462015496"
"4","68.3134046512155,0.792736316392055,0.207494060549025,0.0162766947369091,0.135274768524732,4.9132555047874,4.38309769707804"
"5","92.9287892666,0.817351701007439,0.195186368241333,0.0182766947369091,0.107582460832424,4.94059064905875,4.66002077400111"
"6","82.4558261180153,0.841967085622824,0.182878675933641,0.0202766947369091,0.120109846859884,4.79443680290491,4.93694385092419"
"7","57.8404415026307,0.866582470238209,0.170570983625948,0.0222766947369091,0.147802154552192,4.64828295675106,5.21386692784727"
"8","33.2250568872461,0.891197854853593,0.158263291318256,0.0242766947369091,0.175494462244499,4.50212911059722,5.49079000477034"
"9","8.60967227186144,0.884186760531022,0.145955599010564,0.0262766947369091,0.203186769936807,4.35597526444337,5.76771308169342"
"10","16.0057123435231,0.859571375915637,0.133647906702872,0.0282766947369091,0.230879077629115,4.20982141828953,6.0446361586165"
"11","40.6210969589078,0.834955991300253,0.121340214395179,0.0302766947369091,0.258571385321422,4.06366757213568,6.32155923553958"
"12","65.2364815742924,0.810340606684868,0.109032522087487,0.0322766947369091,0.28626369301373,3.91751372598183,6.59848231246265"
"13","89.851866189677,0.785725222069484,0.103275170220206,0.0342766947369091,0.313956000706038,3.77135987982799,6.87540538938573"
"14","85.5327491949384,0.761109837454099,0.115582862527898,0.0362766947369091,0.341648308398345,3.62520603367414,7.15232846630881"
"15","60.9173645795538,0.736494452838714,0.12789055483559,0.0382766947369091,0.369340616090653,3.47905218752029,7.42925154323188"
"16","36.3019799641692,0.71187906822333,0.140198247143282,0.0402766947369091,0.397032923782961,3.33289834136645,7.70617462015496"
"17","11.6865953487845,0.687263683607945,0.152505939450975,0.0422766947369091,0.424725231475268,3.1867444952126,7.98309769707804"
"18","12.9287892666001,0.662648298992561,0.164813631758667,0.0442766947369091,0.452417539167576,3.04059064905876,8.26002077400111"
"19","37.5441738819847,0.638032914377176,0.177121324066359,0.0462766947369091,0.480109846859884,2.89443680290491,8.53694385092419"
"20","62.1595584973693,0.613417529761791,0.189429016374052,0.0482766947369091,0.507802154552192,2.74828295675106,8.81386692784727"
"21","86.7749431127539,0.588802145146407,0.201736708681744,0.0502766947369091,0.535494462244499,2.60212911059722,9.09079000477034"
"22","88.6096722718615,0.564186760531022,0.214044400989436,0.0522766947369091,0.563186769936807,2.45597526444337,9.36771308169342"
"23","63.9942876564769,0.539571375915638,0.226352093297128,0.0542766947369091,0.590879077629115,2.30982141828953,9.6446361586165"
"24","39.3789030410923,0.514955991300253,0.238659785604821,0.0562766947369091,0.618571385321422,2.16366757213568,9.92155923553958"
"25","14.7635184257076,0.490340606684868,0.250967477912513,0.0582766947369091,0.64626369301373,2.01751372598183,9.80151768753735"
"26","9.85186618967696,0.465725222069484,0.263275170220205,0.0602766947369091,0.673956000706038,1.87135987982799,9.52459461061427"
"27","34.4672508050616,0.441109837454099,0.275582862527898,0.0622766947369091,0.701648308398345,1.72520603367414,9.24767153369119"
"28","59.0826354204462,0.416494452838714,0.28789055483559,0.0642766947369091,0.729340616090653,1.57905218752029,8.97074845676812"
"29","83.6980200358308,0.39187906822333,0.300198247143282,0.0662766947369091,0.757032923782961,1.43289834136645,8.69382537984504"
"30","91.6865953487846,0.367263683607945,0.312505939450975,0.0682766947369091,0.784725231475269,1.2867444952126,8.41690230292197"
"31","67.0712107333999,0.342648298992561,0.324813631758667,0.0702766947369091,0.812417539167576,1.14059064905876,8.13997922599889"
"32","42.4558261180153,0.318032914377176,0.337121324066359,0.0722766947369091,0.840109846859884,0.99443680290491,7.86305614907581"
"33","17.8404415026307,0.293417529761791,0.349429016374052,0.0742766947369091,0.867802154552192,0.848282956751064,7.58613307215273"
"34","6.7749431127539,0.268802145146407,0.361736708681744,0.0762766947369091,0.895494462244499,0.702129110597217,7.30920999522966"
