"","ParameterVal.ATestVelocity.ATestVelocityNorm.ATestDisplacement.ATestDisplacementNorm"
"1","0.015,0.214366666666667,0.785633333333333,0.0107888888888889,0.989211111111111"
"2","0.02,0.308061111111111,0.691938888888889,0.0258555555555555,0.974144444444444"
"3","0.025,0.347411111111111,0.652588888888889,0.101366666666667,0.898633333333333"
"4","0.03,0.418977777777778,0.581022222222222,0.233033333333333,0.766966666666667"
"5","0.035,0.481505555555556,0.518494444444444,0.374122222222222,0.625877777777778"
"6","0.04,0.5,0.5,0.5,0.5"
"7","0.045,0.557427777777778,0.557427777777778,0.628877777777778,0.628877777777778"
"8","0.05,0.619116666666667,0.619116666666667,0.742955555555555,0.742955555555555"
"9","0.055,0.652972222222222,0.652972222222222,0.815011111111111,0.815011111111111"
"10","0.06,0.673377777777778,0.673377777777778,0.859844444444444,0.859844444444444"
"11","0.065,0.681972222222222,0.681972222222222,0.898922222222222,0.898922222222222"
"12","0.07,0.69675,0.69675,0.9064,0.9064"
"13","0.075,0.709733333333333,0.709733333333333,0.926988888888889,0.926988888888889"
"14","0.08,0.714288888888889,0.714288888888889,0.936511111111111,0.936511111111111"
