"","longitude","latitude","name.canton","rurality.rate","Nb.students.per.class","Cost.per.student","Code"
"1",561074.794521947,1742048.07872385,"AX-LES-THERMES",1,25.94117647,3534.485533,901
"2",540800.171423164,1773699.54093993,"FOIX",0,23.875,3453.687696,905
"3",523950.173376821,1799248.21468077,"LE FOSSAT",0.846153846,23.06666667,3202.48526,906
"4",559101.371214364,1766446.83626135,"LAVELANET",1,25.04,3316.378403,907
"5",517680.176215235,1790005.61688168,"LE MAS-D'AZIL",0.785714286,23.43181818,3277.783928,908
"6",561197.500673124,1783332.6635047,"MIREPOIX",0.942857143,25.5625,3222.515428,910
"7",509700.983357493,1755998.16621562,"OUST",1,24,3690.386638,911
"8",509138.054321339,1774098.68951699,"SAINT-GIRONS",0.357142857,19.5,5609.481026,915
"9",541332.948830441,1801594.55371232,"SAVERDUN",0.714285714,22.77777778,4599.855366,917
"10",537654.281492872,1760445.05303642,"TARASCON-SUR-ARIEGE",1,25.57142857,3854.372933,918
"11",530267.856077431,1746786.51925159,"VICDESSOS",1,23.83333333,3699.345734,920
"12",541363.586669262,1791385.94489482,"PAMIERS",0,16.6,4833.699398,999
"13",595702.543104224,1948820.06358441,"AUBIN",0,24.41666667,3589.386962,1201
"14",579790.099211521,1947936.03070703,"CAPDENAC-GARE",1,25.6875,2728.41601,1206
"15",594630.215539295,1956607.17743781,"DECAZEVILLE",0.428571429,24.76,3891.666722,1210
"16",638177.835365329,1947528.15590183,"ESPALION",1,26.25423729,3285.260504,1212
"17",611515.259011581,1940740.22380551,"MARCILLAC-VALLON",0.3,22.75,3983.983407,1216
"18",626824.644019137,1981179.71637366,"MUR-DE-BARREZ",1,21.25,4357.156529,1219
"19",603149.242971017,1908220.10200656,"NAUCELLE",1,25.66346154,3103.419828,1222
"20",629345.035681688,1919784.25097886,"PONT-DE-SALARS",0.75,21.7,4029.263272,1224
"21",615325.519078727,1897262.51836857,"REQUISTA",1,23.88636364,3509.198658,1225
"22",587612.795635375,1923752.98554427,"RIEUPEYROUX",1,24.15151515,3655.082008,1226
"23",598524.11999799,1936973.1876001,"RIGNAC",0.875,24.625,3705.946091,1227
"24",644376.348039301,1883792.71464449,"SAINT-AFFRIQUE",1,24.76923077,4064.488913,1229
"25",627312.321959317,1965827.76943547,"SAINT-AMANS-DES-COTS",1,24.54545455,4229.667803,1230
"26",651852.955450426,1945049.06902883,"SAINT-GENIEZ-D'OLT",1,26.20689655,3019.074632,1234
"27",602933.392768556,1921130.34589195,"BARAQUEVILLE",0.7,27.55882353,3990.641238,1239
"28",655957.241202321,1924322.98578448,"SEVERAC-LE-CHATEAU",1,25.91666667,3130.378601,1240
"29",571161.517522982,1927038.12398782,"VILLEFRANCHE-DE-ROUERGUE",0.285714286,25,3064.023104,1242
"30",619774.73486236,1933027.61597795,"RODEZ NORD",0,25.75,3329.752816,1246
"31",662327.745906925,1899824.98861447,"MILLAU",0,26.4,2816.616723,1297
"32",618249.220373563,1928361.5385782,"RODEZ",0,26,3920.012462,1298
"33",475594.915478114,1778570.55136743,"ASPET",0.714285714,22,4099.827479,3101
"34",480294.889545014,1804428.37116963,"AURIGNAC",0.947368421,23.2,4238.137716,3102
"35",526313.100927724,1819859.18692885,"AUTERIVE",0,18.57142857,4538.214846,3103
"36",454774.899874982,1755049.69165018,"BAGNERES-DE-LUCHON",1,22.72727273,4207.87696,3104
"37",465342.364210885,1807590.10065785,"BOULOGNE-SUR-GESSE",0.958333333,23.92,3266.865572,3106
"38",498110.374281703,1860553.83652268,"CADOURS",0.125,21,4121.102585,3107
"39",554716.224957947,1836683.81785757,"CARAMAN",0,20.78947368,4009.465917,3108
"40",512563.845858716,1815021.26014774,"CARBONNE",0,25.76923077,3106.174403,3109
"41",530981.669005822,1834888.88044593,"CASTANET-TOLOSAN",0,21,3528.698874,3110
"42",495572.586716111,1800829.4708856,"CAZERES",1,25.66666667,3509.701494,3111
"43",495813.668577592,1812553.72150509,"LE FOUSSERET",0.533333333,22.6,4151.649071,3113
"44",525234.209991268,1865942.12232034,"FRONTON",0,26.30434783,3133.90605,3114
"45",511234.722498241,1859703.21289302,"GRENADE",0,26.71428571,3092.573025,3115
"46",478876.817384628,1817814.65240316,"L'ISLE-EN-DODON",1,24.8,3002.443441,3116
"47",544953.676444861,1840052.2245486,"LANTA",0,24.33333333,3236.836795,3117
"48",510915.940368011,1845865.85588339,"LEGUEVIN",0,23.86666667,3274.135196,3118
"49",539705.774665228,1860668.85106104,"MONTASTRUC-LA-CONSEILLERE",0,21.75,3706.77024,3119
"50",510918.653012627,1798332.57811781,"MONTESQUIEU-VOLVESTRE",0.5,23.08333333,3620.030614,3120
"51",538474.453299377,1830009.91117322,"MONTGISCARD",0,20.14285714,3545.036418,3121
"52",455070.756368321,1795055.17319963,"MONTREJEAU",0.823529412,24.63235294,3721.255672,3122
"53",516508.453642584,1828681.45972921,"MURET",0,22,4345.956688,3123
