"","longitude","latitude","name.city","index.rurality","Nb.students","Occupancy.rate","Cost.per.student","Nb.students.per.class","Freq.certifies","Freq.agreges","Freq.rep.stud","Nb.specialties","Teachers.age"
"1",557500.04939587,1742349.9971323,"AX-LES-THERMES","rural",194,1.205,2861.0133887,25.821428571,0.3553719008,0.0537190083,0.0773195876,6,43.85
"2",540800.03106261,1774550.0715885,"FOIX","urban",937,0.816470588235294,3055.0529251,26.692307692,0.5123287671,0.0557077626,0.0789754536,8,46.677625571
"3",560100.02480662,1770100.025538,"LAVELANET","rural",294,0.501587301587302,3450.6237658,24.307692308,0.8657142857,0,0.0340136054,7,49.028571429
"4",560100.02480662,1770100.025538,"LAVELANET","rural",307,0.745,4342.0622819,20.318181818,0.9701897019,0,0.0814332248,7,42.81300813
"5",519749.9921739,1808999.9749344,"LEZAT-SUR-LEZE","intermediate",365,0.961111111111111,2935.1481387,27.03125,0.6136986301,0.0657534247,0.0657534247,6,43.180821918
"6",519700.03671475,1786150.0500186,"LE MAS-D'AZIL","rural",305,0.894444444444444,3559.2041304,23,0.7590361446,0.093373494,0.0262295082,6,44.668674699
"7",546700.04577269,1803449.9921686,"MAZERES","rural",253,1.04333333333333,3316.3784026,25.04,0.7533783784,0,0.1067193676,6,41.040816327
"8",562050.00636468,1790199.9940889,"MIREPOIX","rural",566,0.815555555555556,3559.5876158,28.230769231,0.6671974522,0.0191082803,0.0636042403,14,44.02866242
"9",541349.99942025,1791800.0582794,"PAMIERS","urban",643,0.752519006350111,4009.4659171,20.789473684,0.7508143322,0,0.0699844479,8,48.729641694
"10",541349.99942025,1791800.0582794,"PAMIERS","urban",535,1.08484848484848,3854.372933,25.571428571,0.8169014085,0.0211267606,0.0747663551,8,45.14084507
"11",504000.04417847,1775149.9954053,"SAINT-GIRONS","urban",704,0.880909090909091,3436.855418,23.071428571,0.6754507628,0.0346740638,0.0553977273,13,45.416201117
"12",538299.96657017,1802799.9983159,"SAVERDUN","rural",408,0.683333333333333,4344.5831098,20.5,0.8165374677,0.0284237726,0.0318627451,7,42.896640827
"13",502800.08196814,1757950.0787503,"SEIX","rural",146,0.683333333333333,4599.8553659,22.777777778,0.7136150235,0,0.0068493151,6,42.391509434
"14",537537.00005068,1760099.9967217,"TARASCON-SUR-ARIEGE","rural",358,0.613698630136986,3278.1867187,24.888888889,0.8311688312,0,0.0837988827,6,45.4375
"15",532450.02189599,1752250.0004536,"VICDESSOS","rural",93,0.663829787234043,3486.4141346,22.285714286,0.7851851852,0,0.0860215054,6,42.925925926
"16",578600.04374374,1950900.0607312,"CAPDENAC-GARE","rural",197,0.932727272727273,3318.7233138,24.428571429,0.5914396887,0,0.0101522843,4,46.291828794
"17",609149.98397351,1920099.9994754,"BARAQUEVILLE","rural",326,0.73,3627.2917123,22.461538462,0.7737430168,0.0642458101,0.0429447853,8,42.958100559
"18",596399.99879227,1946349.9891856,"CRANSAC","urban",147,0.927495422520583,3671.1203085,22.322580645,0.7954545455,0,0.0612244898,4,45.577142857
