"","Nom","Code.INSEE","Code.region","longitude","latitude","prix.vente","variation.vente","prix.location","variation.location","rentabilite"
"1","AIX EN PROVENCE ",13001,93,851633,1841164,4180,5.9,15.33,2.4,4.4
"2","AIX LES BAINS ",73008,11,878675,2082820,2972,2.5,10.54,-4.6,4.3
"3","ALENCON   ",61001,25,433876,2383570,1380,-2.8,8.21,4.7,7.1
"4","ALFORTVILLE   ",94002,11,606444,2422122,4096,3.5,16.3,-3.9,4.8
"5","ANGERS   ",49007,52,382051,2278810,2281,5.1,10.39,1.8,5.5
"6","ANNECY   ",74010,72,894235,2106986,3375,-0.6,11.83,2.1,4.2
"7","ANNEMASSE   ",74012,72,900829,2140206,2783,-2.5,11.47,1.6,4.9
"8","ANTIBES   ",6004,93,986928,1853785,4626,14.9,14.39,0.4,3.7
"9","BAYONNE   ",64102,72,291247,1839769,3185,3.2,10.27,-2.8,3.9
"10","BESANCON   ",25056,43,878860,2255707,2024,5.7,10.13,1,6
"11","BEZIERS   ",34032,91,671408,1816077,1764,0.7,8.25,0.6,5.6
"12","BIARRITZ   ",64122,72,284628,1838752,4383,9.2,12.14,4.8,3.3
"13","BORDEAUX   ",33063,72,369377,1986171,2801,7.1,11.47,4,4.9
"14","BOULOGNE BILLANCOURT  ",92012,72,593004,2426342,5771,5.8,20.68,3.2,4.3
"15","BOULOGNE SUR MER ",62160,31,548864,2637084,1781,-6,9.32,3.1,6.3
"16","BREST   ",29019,53,95151,2398703,1684,3.3,8.7,1.7,6.2
"17","CAEN   ",14118,25,402527,2468322,2350,3.9,11.46,5.9,5.9
"18","CAGNES SUR MER ",6027,93,988379,1863200,4415,13.8,15.32,5.7,4.2
"19","CALUIRE ET CUIRE ",69034,82,795113,2091372,2970,4,10.46,0.4,4.2
"20","CANNES   ",6029,93,978902,1850233,4614,7.7,14.36,-6.9,3.7
"21","CHALON SUR SAONE ",71076,26,791644,2202369,1418,4,7.77,-1.2,6.6
"22","CHAMALIERES   ",63075,83,656818,2086190,2136,5.3,8.8,-3.3,4.9
"23","CHAMBERY   ",73065,11,879743,2069255,2347,-2.1,11.12,0.7,5.7
"24","CHATEAUROUX   ",5036,72,550681,2201277,1314,9,8.27,2.8,7.6
"25","CHELLES   ",60145,22,618530,2431183,3066,4.9,14.7,7.5,5.8
"26","CLERMONT FERRAND  ",63113,83,658351,2086876,1859,2.9,9.39,1.8,6.1
"27","CLICHY   ",92024,72,597721,2433929,4271,3.8,18.11,3.3,5.1
"28","COLMAR   ",68066,72,973709,2354371,2178,-2.5,8.71,-0.2,4.8
"29","CRETEIL   ",94028,11,609230,2421342,3304,7.8,15.86,1.2,5.8
"30","DIJON   ",21231,26,804467,2261659,2402,4.7,10.75,0.8,5.4
"31","ECHIROLLES   ",38151,82,865928,2021509,2716,9.7,11.32,-0.5,5
"32","EPERNAY   ",51230,21,718709,2450318,1844,11.2,8.55,1.9,5.6
"33","FREJUS",83061,0,956553,1835632,4381,6.5,14.28,5.4,3.9
"34","GRENOBLE   ",38185,82,866390,2026446,2878,2.4,12.66,1.2,5.3
"35","JUVISY SUR ORGE ",91326,82,603023,2409970,3433,1.9,14.93,2.9,5.2
"36","LA ROCHE SUR YON",85191,11,312091,2192415,1840,-0.4,9.18,-0.7,6
"37","LE CANNET  ",6030,93,978515,1852849,4034,8.5,14.04,-2.3,4.2
"38","LE CHESNAY  ",78158,11,584846,2424672,4548,5.3,17.69,6.5,4.7
"39","LE HAVRE  ",76351,23,439384,2502440,2220,14.7,9.59,-3.3,5.2
"40","LE MANS  ",72181,52,440338,2336043,1713,3.4,8.95,-3.2,6.3
"41","LILLE   ",59350,31,651121,2626641,2836,6.7,12.19,2.4,5.2
"42","LIMOGES   ",87085,72,516483,2093261,1632,8,8.29,-0.3,6.1
"43","LYON   ",69380,82,794845,2087390,3044,2.9,11.55,3.3,4.6
"44","MACON   ",71270,26,792178,2148227,1636,4.4,7.8,2.6,5.7
"45","MAISONS ALFORT  ",94046,11,607434,2423055,4208,7.2,16.36,1.2,4.7
"46","MANDELIEU LA NAPOULE ",6079,93,972156,1849075,4463,1.3,15.04,-1,4
"47","MARIGNANE   ",13054,93,833420,1828133,2487,-1.5,11.1,4.6,5.4
"48","MARSEILLE   ",13200,93,847033,1815246,3029,2.9,12.34,-0.6,4.9
"49","MEAUX   ",77284,11,640399,2440293,2733,10.3,13.72,4,6
"50","MELUN   ",77288,11,623831,2393503,2951,7.6,14.43,1.7,5.9
"51","METZ   ",57463,41,880435,2464831,2144,5.4,9.16,2.1,5.1
"52","MEUDON   ",92048,72,592928,2423229,4010,4.7,17.38,0.5,5.2
"53","MONTAUBAN   ",82121,11,521214,1891146,1673,1.8,8.15,1.9,5.8
"54","MONTPELLIER   ",34172,91,724484,1846683,2783,3.6,12.75,-1,5.5
"55","MULHOUSE   ",68224,72,974899,2317390,1688,4.5,8.53,2,6.1
"56","NANCY   ",54395,41,883241,2417388,2084,1.1,9.16,-2.3,5.3
"57","NANTES   ",44109,52,305458,2253682,2642,1.2,10.64,0.2,4.8
"58","NARBONNE   ",11262,91,654324,1798249,2094,3,10.03,3.4,5.7
"59","NEVERS   ",58194,26,662383,2221737,1252,4.2,7.65,-1.8,7.3
"60","NICE   ",6088,93,997794,1868044,3940,4.9,13.61,-4.1,4.1
"61","NIMES   ",30189,91,762921,1872681,2211,4.5,10.06,2,5.5
"62","NOISY LE GRAND ",93051,11,616266,2427305,3279,2,15.15,5.7,5.5
"63","ORLEANS   ",45234,24,567663,2322628,2282,5.1,10.35,0.7,5.4
"64","PARIS   ",75100,25,600572,2429079,6223,5.1,22.94,4,4.4
"65","PAU   ",64445,72,380064,1814724,2071,-0.4,10.01,4.1,5.8
"66","PERPIGNAN   ",66136,91,645851,1743956,2021,3.2,9.02,-3.3,5.4
"67","POITIERS   ",86194,11,446637,2177636,1943,8.5,9.89,-0.2,6.1
"68","QUIMPER   ",29232,53,120289,2352610,1803,1.4,8.82,-0.8,5.9
"69","REIMS   ",51454,21,723239,2475494,2316,2.7,9.68,2.3,5
"70","RENNES   ",35238,53,300960,2353769,2647,-3.6,11.69,0.6,5.3
"71","REZE   ",44143,52,304153,2250758,2201,6.2,9.45,-0.7,5.2
"72","ROANNE",42187,0,734031,2116582,1484,3.5,6.34,1.1,5.1
"73","RODEZ   ",12202,73,618969,1927679,1700,11.7,8.71,-3,6.1
"74","RUEIL MALMAISON  ",92063,72,589127,2431068,4985,14.7,17.25,1.3,4.2
"75","SALON DE PROVENCE ",13103,93,823017,1852654,2701,7.9,10.87,1,4.8
"76","SETE   ",34301,91,710341,1823430,2681,0,10.88,-3.1,4.9
"77","SAINT BRIEUC  ",22278,53,223582,2402735,1574,1.7,8.38,0.1,6.4
"78","SAINT HERBLAIN  ",44162,52,298082,2253409,2123,1.8,8.9,2.6,5
"79","SAINT LAURENT DU VAR",6123,93,991689,1864472,4416,9.6,13.73,-3.1,3.7
"80","SAINT MALO  ",35288,53,279834,2414250,3108,2.3,10.13,5.5,3.9
"81","SAINT MARTIN D HERES",38421,82,869502,2024312,2752,9,12.21,2.9,5.3
"82","SAINT MAUR DES FOSSES",94068,11,611925,2422268,4570,4.4,16.42,0.7,4.3
"83","STRASBOURG   ",67482,73,999092,2412075,2497,4.2,10.28,2.2,4.9
"84","TOULON   ",83137,11,892919,1798055,3144,8.5,11.35,-4,4.3
"85","TOULOUSE   ",31555,72,527674,1845128,2854,3.9,11.61,1.7,4.9
"86","TOURS   ",37261,24,475578,2267192,2234,-0.2,10.14,0.2,5.4
"87","TROYES   ",10387,21,729238,2368079,1754,6.3,8.89,-2,6.1
"88","VALENCE   ",16392,54,801690,1995709,1846,5.7,9.06,10.4,5.9
"89","VELIZY VILLACOUBLAY  ",78640,11,589099,2420565,3722,4.6,13.5,0.7,4.4
"90","VERSAILLES   ",78646,11,585132,2422934,5156,0.4,17.83,4.3,4.1
"91","VICHY   ",3310,83,684172,2125782,1718,-5.1,7.95,4.8,5.6
"92","VILLEFRANCHE SUR SAONE ",69264,82,784602,2112725,2335,6.9,8.47,0.4,4.4
"93","VILLEURBANNE   ",69266,82,797789,2088277,2640,1.2,11,5,5
"94","VIRY CHATILLON  ",91687,82,602899,2407882,2902,-5.7,13.03,-2.2,5.4
