"","model","HT","WH","DH","WT","PL","KS","PE","TA","TP","PR","HH","VH","PI","PG","PB","PS","EP","TC","MR","CL"
"1","Olympia 10",15.75,15,7.75,21,19.38,44,"1","1","1","1","1","1","1","1","1","1","1","0","0","1"
"2","Olympia 13",16,19,8,25.5,13.25,44,"1","1","1","1","1","1","1","1","1","1","1","1","0","1"
"3","Smith Corona 12",14.5,17.75,6,19.5,11.88,44,"1","1","1","1","1","0","1","1","1","1","1","1","0","0"
"4","Sears 12",14.5,17.75,6,19.5,11.88,44,"1","1","1","1","1","1","1","1","1","1","1","1","0","0"
"5","Hermes 3000",14.25,13.25,6,17,9.75,44,"1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"6","Wards 510",14.75,16.25,6.5,19.5,9.88,44,"1","1","1","1","1","1","0","1","0","0","1","1","1","1"
"7","Wards 513",15,19.25,6.5,21,12.88,44,"1","1","1","1","1","1","0","1","0","0","1","1","1","1"
"8","Smith Corona ST",14.5,15,6,17.5,9.13,44,"1","1","1","1","0","0","1","1","1","1","1","1","0","0"
"9","Royal Safari",15.25,16.75,6.75,17.5,10,44,"1","1","1","1","1","1","0","1","0","0","1","1","0","0"
"10","Facit",14.75,17,5.5,18,9.88,44,"1","1","1","1","1","1","0","1","1","1","1","1","0","1"
"11","Brother 900",14.75,16.25,6.5,19.5,12.88,44,"1","1","1","1","1","1","0","1","0","0","1","1","1","1"
"12","Brother 905",15,19.25,6.5,21,9.38,44,"1","1","1","1","1","1","0","1","0","0","1","1","1","1"
"13","Olympia",12.75,12.5,3.5,12,9.13,44,"1","0","1","0","1","1","0","0","1","1","1","0","1","1"
"14","Wards 440T",14,17.25,5.5,15,9.75,44,"1","1","1","1","1","1","0","1","1","1","1","0","1","1"
"15","Olivetti 44",17.25,14.75,7.5,21,9.75,43,"1","1","1","1","1","1","0","1","1","1","1","1","0","1"
"16","Olivetti 21",17.5,14.75,6.5,21.5,9.38,43,"1","1","1","1","1","1","0","1","1","1","1","1","0","1"
"17","Remington II",15.5,15,7.75,20.5,9.63,44,"1","1","0","1","1","1","1","1","1","1","1","1","0","1"
"18","Olivetti 32",14.25,12,4.25,11.5,9,43,"1","1","1","1","1","1","0","0","1","1","0","1","0","1"
"19","Remington 1040",14.75,13.75,6.25,14.5,9.25,43,"1","1","1","1","1","1","0","1","1","0","1","1","0","1"
"20","Brother 885",13,12.75,4,11,9.13,44,"1","0","1","0","1","1","0","0","1","1","1","0","1","1"
