"","city","year","m00","m25","m50","m75","f00","f25","f50","f75"
"1","Montreal",1966,67,44,22,7,73,51,28,9
"2","Toronto",1966,68,45,23,8,75,53,29,10
"3","Vancouver",1966,68,46,23,8,75,53,30,11
"4","Kaohsiung",1966,66,43,22,8,71,49,26,9
"5","Taipei",1966,69,46,24,8,72,50,27,9
"6","Djakarta",1961,44,36,18,6,46,37,19,6
"7","Copenhagen",1966,68,46,23,8,75,56,28,9
"8","Helsinki",1966,66,42,21,7,73,50,27,8
"9","East Berlin",1961,66,45,22,7,71,49,27,8
"10","West Berlin",1961,66,45,22,7,72,50,27,9
"11","West Berlin",1967,67,45,22,7,73,50,27,9
"12","Dusseldorf",1966,67,45,22,8,74,51,28,9
"13","Hamburg",1966,68,46,23,7,74,51,27,9
"14","Stockholm",1960,69,46,23,7,75,52,28,9
"15","London",1967,69,47,23,8,77,54,30,12
"16","Sydney",1967,67,44,22,7,73,50,27,9
