"","Cake","AE","BM","BP","BR","BS","CA","CC","CE","CI","CS","CT","DC","EG","EY","EW","FR","GN","HC","LJ","LR","MK","NG","NS","RM","SA","SC","SG","SR","SS","ST","VE","WR","YT","ZH"
"1","Angel                ",0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,NA,NA,NA,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,0.25,1,NA,NA,NA
"2","Babas au Rhum        ",NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,1.75,NA,NA,NA,0.5,0.25,NA,NA,2,NA,NA,NA,0.25,NA,NA,NA,0.25,0.6,NA
"3","Sweet Chocolate      ",NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,2.5,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2,NA,0.5,1,0.5,NA,NA
"4","Buche de Noel        ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,0.5,1,NA,NA,NA
"5","Cheesecake           ",NA,NA,NA,0.25,NA,NA,1.5,NA,NA,NA,NA,NA,6,NA,NA,0.25,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,0.25,NA,NA,NA,6
"6","Rum Cheesecake       ",NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,2,NA,NA,NA,2,1,1,1,1,NA,NA,1,NA,NA,NA,1,NA,0.25,NA,NA,NA,NA
"7","Blender Cheesecake   ",NA,NA,NA,NA,NA,NA,0.5,NA,1,0.3,NA,NA,NA,2,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.5,NA,NA
"8","One Bowl Chocolate   ",NA,NA,2,NA,NA,10,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,0.7,NA,NA,NA,0.5,NA,10,1.5,NA,0.25,1,0.5,NA,NA
"9","Red Devil's Food     ",NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,2,NA,NA,1.75,NA,NA,NA,NA,1,NA,NA,NA,1.25,NA,0.5,1.5,NA,1,1,NA,NA,NA
"10","Sour Cream Fudge     ",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.3,1.5,NA,1,1,0.25,NA,NA
"11","Hungarian Cream      ",1.5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1,2,NA,NA,NA
"12","Crumb and Nut        ",NA,NA,3,NA,NA,NA,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,2,NA,NA,NA
"13","Spiced Pound         ",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,1.7,NA,0.5,NA,NA,NA,NA
"14","Strawberry Roll      ",NA,NA,0.75,NA,NA,NA,0.5,NA,NA,NA,NA,NA,4,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,1,1,1,NA,NA,NA
"15","Savarin              ",NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1.5,NA,NA,NA,1,0.25,NA,NA,NA,NA,NA,NA,0.6,NA,0.5,NA,0.25,1,NA
"16","Banana Shortcake     ",NA,NA,4,0.6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,0.13,NA,0.5,NA,NA,NA,NA
"17","Strawberry Shortcake ",NA,NA,3,0.12,NA,NA,0.2,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,0.5,NA,NA,NA,NA,1,NA,0.6,1,0.75,NA,NA,NA,NA
"18","Sponge               ",0.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,0.25,NA,2,NA,NA
