"","name","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"1","Adonis Blue","L","L","L","L","PI","LI","P","PI","LI","L","L","L"
"2","Bath White","P","P","P","P","LI","L","P","PI","LP","P","P","P"
"3","Black Hairstreak","O","O","O","O","L","LPI","I","O","O","O","O","O"
"4","Black-veined White","L","L","L","L","LP","PI","LI","L","L","L","L","L"
"5","Brinstone","I","I","I","I","LI","LI","PI","PI","I","I","I","I"
"6","Brown Argus","L","L","L","L","L","P","PI","I","L","L","L","L"
"7","Brown Hairstreak","O","O","O","O","L","LP","PI","I","I","O","O","O"
"8","Camberwell Beauty","I","I","I","I","I","L","LP","I","I","I","I","I"
"9","Chalk Hill Blue","L","L","L","L","LPI","LP","PI","I","L","L","L","L"
"10","Chequered Skipper","L","L","L","P","P","I","O","O","L","L","L","L"
"11","Clouded Yellow",NA,NA,NA,NA,"I","LI","LP","I","LI","LPI","I",NA
"12","Comina","I","I","I","I","LI","LP","PI","LI","PI","I","I","I"
"13","Common Blue","L","L","L","LP","I","IL","LI","I","I","L","L","L"
"14","Dark Green Fritillary","L","L","L","L","L","LP","PI","LI","L","L","L","L"
"15","Dingy Skipper","L","L","L","LP","I","LI","LP","I","L","L","L","L"
"16","Duke of Burgundy Fritillary","P","P","P","P","PI","IOL","L","L","LP","P","P","P"
"17","Essex Skipper","O","O","O","OL","L","P","I","I","O","O","O","O"
"18","Gatekeeper","L","L","L","L","L","LP","I","I","L","L","L","L"
"19","Glanville Fritillary","L","L","L","LP","LPI","LPI","L","L","L","L","L","L"
"20","Grayling","L","L","L","L","L","LPI","PI","LI","LI","L","L","L"
"21","Green Hairstreak","P","P","P","P","PI","LI","LP","P","P","P","P","P"
"22","Green-veined White","P","P","P","PI","LI","LPI","LPI","LPI","LP","P","P","P"
"23","Grizzled Skipper","L","L","L","LP","I","LI","LP","I","L","L","L","L"
"24","Heath Fritillary","L","L","L","L","L","LPI","LI","L","L","L","L","L"
"25","High Brown Fritillary","L","L","L","L","L","LP","PI","LI","L","L","L","L"
"26","Holly Blue","P","P","P","PI","I","LP","PI","LI","LPI","LP","P","P"
"27","Large Blue","L","L","L","L","L","LI","I","L","L","L","L","L"
