"","language","all","bad","belly","black","bone","day","die","drink","ear","eat","egg","eye","father","fish","five","foot"
"1","Russian","vse","ploxoj","zivot","cernyj","kost","den","umirat","pit","uxo","est","jojco","glaz","otec","ryba","pjat","noga"
"2","French","tout","mauvais","ventre","noir","os","jour","mourir","boire","oreille","manger","oeuf","oeil","pere","poisson","cinq","pied"
"3","Spanish","todo","mal","vientre","negro","hueso","dia","morir","beber","oreja","comedere","heuvo","ojo","padre","pez","cinco","pie"
"4","Italian","tutto","mala","ventre","nero","osso","giorno","morire","bere","orecchio","mangiare","novo","occhio","padre","pesce","cinque","pie"
"5","German","alle","schlecht","bauch","schwarz","knochen","tag","sterben","trinken","ohr","essen","ei","auge","vater","fische","fuenf","fuss"
"6","Swedish","all","dalig","buk","svart","ben","dag","do","dricka","ora","ata","agg","oga","fader","fisk","fem","fot"
"7","English","all","bad","belly","black","bone","day","die","drink","ear","eat","egg","eye","father","fish","five","foot"
"8","Welsh","pawb","drwb","bola","du","asgwrn","dydd","marw","yfed","clust","bwyta","wy","llygad","tad","pisgodyn","pump","troed"
"9","Greek","olos","kakos","kilya","mavros","kokalo","mera","petheno","pino","afti","troo","avgho","mati","pateras","psari","pende","podhi"
"10","Irish","vile","olc","bolg","dubh","chaimh","la","doluidh","olaim","cluas","ithim","ubh","suil","athair","iasc","cuigear","cos"
"11","Persian","hame","bad","shekam","siah","ostokhan","ruz","mordan","nushidan","gush","khordan","tokhm","chashm","pedar","mahi","panz","pa"
"12","Bengali","sob","bad","pei","kalo","har","din","mora","khaoa","kan","khaoa","onda","cok","baba","mac","pac","pa"
"13","Hindi","sob","khorab","pei","kala","hoddi","din","morna","pina","kan","khana","onda","akh","bap","mocchi","pac","per"
