"","year","party","fairfield","hartford","litchfield","middlesex","new.haven","new.london","tolland","windham"
"1",1920,"republican",55251,54046,14405,8447,65938,17422,5135,8594
"2",1920,"democratic",24761,30287,6938,4170,37977,9209,2308,5071
"3",1920,"other",3101,4646,504,331,5559,889,322,207
"4",1924,"republican",58041,61381,15499,9383,69164,18205,5161,9488
"5",1924,"democratic",18815,28139,6645,4009,36247,8615,2239,5475
"6",1924,"other",10791,9622,3129,995,15108,2386,885,974
"7",1928,"republican",71410,75997,19157,11205,80952,21378,6502,10040
"8",1928,"democratic",55491,65789,10766,7380,82657,16299,4256,9447
"9",1928,"other",1047,1169,138,115,1439,292,126,66
"10",1932,"republican",72238,72611,18682,10770,79019,19721,5857,9522
"11",1932,"democratic",64367,72322,13469,9286,86826,19576,4985,10801
"12",1932,"other",8092,5220,660,344,8296,858,455,206
"13",1936,"republican",67846,65652,18850,10925,76614,21367,5965,11466
"14",1936,"democratic",87329,103450,17468,12294,117308,24999,6676,12605
"15",1936,"other",8088,7216,875,359,10689,1337,488,857
"16",1940,"republican",91190,88155,22956,13447,103100,23389,7503,12079
"17",1940,"democratic",93688,114336,19537,13044,126072,28286,7669,14989
"18",1940,"other",829,462,49,39,517,98,25,43
"19",1944,"republican",103693,95224,24019,14315,108883,24153,8208,12032
"20",1944,"democratic",99181,127841,19212,13551,123450,29304,7721,14886
"21",1944,"other",2423,1153,248,176,1811,285,117,104
"22",1948,"republican",118636,105262,26848,16119,120769,27416,9012,13692
"23",1948,"democratic",90767,124874,18628,14609,121591,29425,7970,15433
"24",1948,"other",7669,5157,823,537,6633,973,347,328
"25",1952,"republican",167278,150332,35735,22157,165917,38148,13466,17979
"26",1952,"democratic",106403,146551,20163,15722,136476,31374,9425,15535
"27",1952,"other",1814,832,107,74,1149,148,52,74
"28",1956,"republican",199841,175894,40029,25496,191215,43453,15880,20029
"29",1956,"democratic",84890,126923,17226,13851,112208,27317,9111,13553
"30",1956,"other",116,25,6,8,36,11,1,2
"31",1960,"republican",167778,136459,34043,22045,136852,38070,15386,15180
"32",1960,"democratic",146442,195403,29062,22158,188685,40625,14575,20105
"33",1960,"other",6,2,3,1,2,1,0,0
"34",1964,"republican",125576,88811,20834,14697,97656,24391,9951,9080
"35",1964,"democratic",194782,240071,40172,30517,218743,54551,22195,25238
"36",1964,"other",261,622,62,71,171,49,58,19
