"","year","t.100m","t.200m","t.400m","t.800m","t.1500m","t.5000m","t.10000m"
"1","1896",120,0,542,1310,2732,NA,NA
"2","1900",108,222,494,1214,2460,NA,NA
"3","1904",110,216,492,1160,2454,NA,NA
"4","1906",112,0,532,1212,2520,NA,NA
"5","1908",108,224,500,1128,2434,NA,NA
"6","1912",108,217,482,1119,2368,8766,18808
"7","1920",108,220,496,1134,2418,8956,19058
"8","1924",106,216,476,1124,2336,8712,18232
"9","1928",108,218,478,1118,2332,8780,18188
"10","1932",103,212,462,1098,2312,8700,18114
"11","1936",103,207,465,1129,2278,8622,18154
"12","1948",103,211,462,1092,2298,8576,17996
"13","1952",104,207,459,1092,2252,8460,17570
"14","1956",105,206,467,1077,2212,8196,17256
"15","1960",102,205,449,1063,2156,8234,17122
"16","1964",100,203,451,1051,2181,8288,17044
