"","state","mean.altitude","mean.temperature","mean.precipitation","population.density","african.americans","median.age","urban.population","births","rural.population","manufacturing.employment","automobiles","telephones","income","federal.revenue","lawyers","doctors","white.infant.mortality","school.years","education.expense","sound.plumbing","gop.1960.president","gop.1964.president","gop.1962.1964.governor"
"1","AL",50,68,68,64,30,26,22,55,12,31,39,33,19,22,82,"79",25,89,28,54,42,70,4
"2","AS",65,62,49,34,22,29,22,43,17,29,33,30,18,24,79,"91",23,87,32,48,43,43,43
"3","DE",6,54,45,226,14,29,23,66,4,37,40,53,33,15,115,"135",20,108,54,80,49,39,49
"4","FL",10,72,56,91,18,31,20,74,2,15,45,45,24,11,150,"142",23,106,41,78,52,49,44
"5","GA",60,62,47,68,29,26,24,55,9,32,37,36,22,19,125,"102",23,88,33,58,37,54,0
"6","KY",75,56,41,76,7,28,22,45,17,27,38,32,20,21,108,"95",26,85,32,53,54,36,49
"7","LA",10,70,63,72,32,25,25,63,7,17,32,36,21,21,128,"114",21,86,42,61,29,57,39
"8","MD",35,58,44,314,17,29,20,73,31,25,37,48,30,11,175,"158",22,10,50,81,46,35,44
"9","MI",30,65,49,46,42,24,24,38,23,31,29,25,16,21,101,"76",23,86,27,45,25,87,38
"10","MO",80,56,35,63,9,32,21,67,12,28,37,47,26,17,72,"149",21,93,45,66,50,36,38
"11","NC",70,60,44,93,25,26,22,40,16,42,35,31,20,15,77,"100",22,85,32,57,48,44,43
"12","SC",35,64,47,79,35,23,22,41,14,43,35,28,18,16,72,"80",22,84,28,54,49,59,0
"13","TE",90,61,47,85,17,28,22,52,15,35,35,35,20,22,116,"113",24,86,30,57,53,45,49
"14","TS",170,67,29,37,12,27,22,75,7,20,42,41,23,15,144,"111",26,101,40,69,49,37,26
"15","VA",95,59,44,100,21,27,21,56,9,27,34,38,24,16,114,"108",24,92,38,66,52,46,36
"16","WV",150,56,44,77,5,29,20,38,7,27,31,34,20,18,97,"103",26,87,33,57,47,32,45
