"","month.year","us","svn","third","enemy"
"1","jan.1966",282,903,74,2648
"2","feb.1966",435,1359,58,4727
"3","mar.1966",507,1145,59,5685
"4","apr.1966",316,945,30,2818
"5","may.1966",464,961,19,4239
"6","jun.1966",507,1185,41,4815
"7","jul.1966",435,1006,32,5297
"8","aug.1966",396,914,44,5860
"9","sep.1966",419,803,30,4459
"10","oct.1966",340,844,63,5665
"11","nov.1966",475,907,87,5447
"12","dec.1966",432,981,29,3864
"13","jan.1967",520,914,77,6064
"14","feb.1967",662,885,95,7341
"15","mar.1967",944,1297,54,9351
"16","apr.1967",710,1057,56,6227
"17","may.1967",1233,1184,112,9808
"18","jun.1967",830,981,74,7354
"19","jul.1967",781,676,102,7923
"20","aug.1967",535,1068,90,5810
"21","sep.1967",775,1090,149,6354
"22","oct.1967",733,1066,96,6272
"23","nov.1967",881,1299,98,7662
"24","dec.1967",774,1199,102,7938
"25","jan.1968",1202,2905,111,15217
"26","feb.1968",2124,5025,147,39867
"27","mar.1968",1543,2570,88,17371
"28","apr.1968",1410,1922,85,12215
"29","may.1968",2169,3467,85,24086
"30","jun.1968",1146,1947,92,10319
"31","jul.1968",813,1409,65,6653
"32","aug.1968",1080,2393,73,15478
"33","sep.1968",1053,2164,58,12543
"34","oct.1968",600,1169,70,8168
"35","nov.1968",703,1408,38,9632
"36","dec.1968",749,1509,67,9600
"37","jan.1969",795,1664,76,10955
"38","feb.1969",1073,2072,85,14086
"39","mar.1969",1316,2186,90,19805
"40","apr.1969",847,1710,52,14539
"41","may.1969",1209,2251,92,17443
"42","jun.1969",1100,1867,75,16825
"43","jul.1969",638,1455,64,10237
"44","aug.1969",795,1625,74,12373
"45","sep.1969",477,1543,60,10369
"46","oct.1969",377,1597,80,8747
"47","nov.1969",446,2105,62,11639
"48","dec.1969",341,1758,56,9936
"49","jan.1970",343,1768,69,9187
"50","feb.1970",386,1417,36,8828
"51","mar.1970",449,1674,75,10335
"52","apr.1970",526,2642,79,13063
"53","may.1970",754,2851,58,17256
"54","jun.1970",418,2873,63,7861
"55","jul.1970",332,1711,71,7183
"56","aug.1970",319,1720,63,6446
"57","sep.1970",219,1734,46,6138
"58","oct.1970",170,1491,57,5549
"59","nov.1970",167,1619,48,5607
"60","dec.1970",138,1846,39,6185
"61","jan.1971",140,1616,30,6155
"62","feb.1971",221,2435,48,11704
"63","mar.1971",272,3676,104,19858
"64","apr.1971",226,2198,86,10457
"65","may.1971",138,2091,50,9094
"66","jun.1971",108,1846,44,7648
"67","jul.1971",65,1389,44,6247
"68","aug.1971",67,1488,32,6165
"69","sep.1971",78,1607,27,6300
"70","oct.1971",29,1574,20,5744
"71","nov.1971",19,1161,14,4283
"72","dec.1971",17,988,26,4439
