"","name","energy","protein","fat","calcium","iron"
"1","Braised beef",340,20,28,9,2.6
"2","Hamburger",245,21,17,9,2.7
"3","Roast beef",420,15,39,7,2
"4","Beefsteak",375,19,32,9,2.6
"5","Canned beef",180,22,10,17,3.7
"6","Broiled chicken",115,20,3,8,1.4
"7","Canned chicken",170,25,7,12,1.5
"8","Beef heart",160,26,5,14,5.9
"9","Roast lamb leg",265,20,20,9,2.6
"10","Roast lamb shoulder",300,18,25,9,2.3
"11","Smoked ham",340,20,28,9,2.5
"12","Pork roast",340,19,29,9,2.5
"13","Pork simmered",355,19,30,9,2.4
"14","Beef tongue",205,18,14,7,2.5
"15","Veal cutlet",185,23,9,9,2.7
"16","Baked bluefish",135,22,4,25,0.6
"17","Raw clams",70,11,1,82,6
"18","Canned clams",45,7,1,74,5.4
"19","Canned crabmeat",90,14,2,38,0.8
"20","Fried haddock",135,16,5,15,0.5
"21","Broiled mackerel",200,19,13,5,1
"22","Canned mackerel",155,16,9,157,1.8
"23","Fried perch",195,16,11,14,1.3
"24","Canned salmon",120,17,5,159,0.7
"25","Canned sardines",180,22,9,367,2.5
"26","Canned tuna",170,25,7,7,1.2
"27","Canned shrimp",110,23,1,98,2.6
