"","school","reading.4","arithmetic.4","reading.6","arithmetic.6"
"1","Baldwin",2.7,3.2,4.5,4.8
"2","Barnard",3.9,3.8,5.9,6.2
"3","Beecher",4.8,4.1,6.8,5.5
"4","Brennan",3.1,3.5,4.3,4.6
"5","Clinton",3.4,3.7,5.1,5.6
"6","Conte",3.1,3.4,4.1,4.7
"7","Davis",4.6,4.4,6.6,6.1
"8","Day",3.1,3.3,4,4.9
"9","Dwight",3.8,3.7,4.7,4.9
"10","Edgewood",5.2,4.9,8.2,6.9
"11","Edwards",3.9,3.8,5.2,5.4
"12","Hale",4.1,4,5.6,5.6
"13","Hooker",5.7,5.1,7,6.3
"14","Ivy",3,3.2,4.5,5
"15","Kimberly",2.9,3.3,4.5,5.1
"16","Lincoln Bassett",3.4,3.3,4.4,5
"17","Lovell",4,4.2,5.2,5.4
"18","Prince",3,3,4.6,5
"19","Ross",4,4.1,5.9,5.8
"20","Scranton",3,3.2,4.4,5.1
"21","Sherman",3.6,3.6,5.3,5.4
"22","Truman",3.1,3.2,4.6,5
"23","West Hills",3.2,3.3,5.4,5.3
"24","Winchester",3,3.4,4.2,4.7
"25","Woodward",3.8,4,6.9,6.7
