"","country","y.1956","y.1957","y.1958","y.1959","y.1960","y.1961","y.1962","y.1963","y.1964","y.1965","y.1966","y.1967"
"1","Australia",34,33,43,44,38,38,39,34,36,35,37,34
"2","Austria",27,35,40,45,39,34,37,39,35,39,37,29
"3","Belgium",41,29,31,40,39,39,47,40,34,29,34,30
"4","Canada",36,35,32,42,35,35,35,38,36,37,33,33
"5","Denmark",33,44,46,45,35,48,43,49,56,39,39,38
"6","Finland",43,41,34,32,37,28,28,42,43,38,32,41
"7","France",44,41,41,42,40,36,40,36,36,34,34,31
"8","West Germany",35,33,35,36,35,35,34,38,36,38,34,39
"9","Hungary",28,26,31,31,29,27,27,34,36,35,29,35
"10","Israel",38,44,45,28,61,33,32,28,29,36,30,30
"11","Japan",26,25,29,28,30,29,32,32,31,33,33,31
"12","Netherlands",32,37,39,39,39,31,41,37,40,42,36,33
"13","Northern Ireland",17,25,27,39,29,27,22,31,33,26,30,32
"14","Norway",45,44,36,31,44,44,56,31,36,37,50,40
"15","Portugal",20,28,21,34,30,30,30,29,35,37,40,36
"16","Scotland",27,31,32,30,35,30,31,26,29,28,29,25
"17","Sweden",33,45,46,45,44,37,44,31,39,35,37,38
"18","Switzerland",42,46,44,47,38,35,45,42,33,31,36,31
