"","name","threaded","head","indentation","bottom","length","brass"
"1","Tack","N","F","N","S",1,"N"
"2","Nail 1","N","F","N","S",4,"N"
"3","Nail 2","N","F","N","S",2,"N"
"4","Nail 3","N","F","N","S",2,"N"
"5","Nail 4","N","F","N","S",2,"N"
"6","Nail 5","N","F","N","S",2,"N"
"7","Nail 6","N","U","N","S",5,"N"
"8","Nail 7","N","U","N","S",3,"N"
"9","Nail 8","N","U","N","S",3,"N"
"10","Screw 1","Y","O","T","S",5,"N"
"11","Screw 2","Y","R","L","S",4,"N"
"12","Screw 3","Y","Y","L","S",4,"N"
"13","Screw 4","Y","R","L","S",2,"N"
"14","Screw 5","Y","Y","L","S",2,"N"
"15","Bolt 1","Y","R","L","F",4,"N"
"16","Bolt 2","Y","O","L","F",1,"N"
"17","Bolt 3","Y","Y","L","F",1,"N"
"18","Bolt 4","Y","Y","L","F",1,"N"
"19","Bolt 5","Y","Y","L","F",1,"N"
"20","Bolt 6","Y","Y","L","F",1,"N"
"21","Tack 1","N","F","N","S",1,"Y"
"22","Tack 2","N","F","N","S",1,"Y"
"23","Nail B","N","F","N","S",1,"Y"
"24","Screw B","Y","O","L","S",1,"Y"
