"","date","I","II","III","IV","V","VI","VII","VIII","IX","X","XI","XII","XIII","XIV","XV","XVI","XVII"
"1","04/01/64","A","D","A","B","A","E","E","E","C","C","C","A","B","A","B",NA,NA
"2","30/01/64","B","B","B","B","B","A","A","A","A","A","B","B","B","B","B","B",NA
"3","05/02/64","B","A","C","A","A","D","D","D","D","D","A","A","A","A","A","A","D"
"4","10/02/64","A","B","B","D","B","D","D","D","C","C","A","D","A","A","D","D","D"
"5","24/02/64","B","B","B","B","B","B","B","B","B","B","A","A","B","B","B","A","B"
"6","25/02/64","A","B","A","B","B","B","B","B","B","B","A","B","B","B","B","B","B"
"7","10/03/64","C","C","B","C","C","C","C","C","C","A","B","B","B","C","C","B","C"
"8","20/03/64","B","B","A","B","B","B","B","B","B","B","A","A","B","B","B","A","B"
"9","01/04/64","D","C","A","D","D","D","D","D","B","A","B","C","A","D","D","C","D"
"10","02/04/64","D","A","D","C","D","D","D","D","B","D","B","A","B","C","C","A","D"
"11","05/04/64","A","A","C","E","D","B","E","E","E","C","E","E","E","E","E","E","B"
"12","07/04/64","C","C","B","A","C","B","C","B","A","B","A","B","A","A","A","B","B"
"13","18/04/64","C","D","B","A","C","C","C","C","A","A","B","B","C","A","A","B","C"
"14","28/04/64","A",NA,"A","D","A","D","D","D","A","A","C","B","A","D","D","B","D"
"15","01/05/64","B",NA,"D","A","C","C","C","C","A","A","B","B","C","A","A","B","C"
"16","05/05/64","D",NA,"C","B","F","A","E","E","E","E","D","C","E","B","B","C","A"
"17","10/05/64","B",NA,"B","E","B","D","D","D","A","F","A","C","A","B","E","C","D"
"18","12/05/64","D",NA,"B","D","D","E","E","E","B","B","C","A","B","D","D","A","E"
"19","20/05/64","A",NA,"B","D","C","C","C","C","A","C","A","C","D","C","D","C","C"
"20","22/05/64","E",NA,"B","F","F","A","A","A","C","G","C","D","F","F","F","D","A"
"21","02/06/64","C",NA,"D","C","C","E","E","E","C","C","B","A","C","E","C","A","E"
"22","05/06/64","A",NA,"D","C","A","D","D","A","D","A","B","A","C","A","C","A","D"
