"","stock","y.1959","y.1960","y.1961","y.1962","y.1963","y.1964","y.1965","y.1966","y.1967","y.1968","y.1969"
"1","Aetna",1.4,1.6,1.2,1.4,1.2,1,1.2,1.5,2.1,2.1,2.6
"2","Allied Chemical",2.8,3.4,3.1,3.9,3.6,3.3,3.6,4.5,4.8,4.5,3.9
"3","American Airlines",3.5,4.7,4.3,5.1,3.7,2.6,2.2,2.1,2,2.7,2.6
"4","ABC",3.7,2.7,1.9,2.8,3,2.9,2.4,2.1,1.9,2.7,2.6
"5","American Cyanamid",2.9,3.2,3.6,4,3.3,3.2,2.8,3.2,3.9,4.4,4.3
"6","American Express",2.6,2.6,2,2.5,2.8,3.2,2.3,1.7,1,1,1.4
"7","American Motors",3.9,4.5,5.8,6.6,5.1,6.3,5.6,0,0,0,0
"8","AT&T",3.8,3.5,2.8,3.1,2.8,2.8,3.1,3.9,3.9,4.5,4.5
"9","Anaconda Company",3.7,4.5,4.6,5.7,5.3,5.1,5.4,5.7,5.1,4.3,4.7
"10","Atlantic Richfield",5.3,4.3,4.8,4.5,4,3.5,3.4,3.1,1.9,0,1.8
"11","Bank America",4.1,4.3,3.3,3.7,3.2,2.9,3.3,3.8,4,2.9,3.2
"12","Bethlehem Steel",4.4,5.1,5.4,6.1,4.7,4,3.9,5.3,4.3,5.1,5.6
"13","Burroughs",2.7,3,2.8,2.6,3.6,3.9,2.6,1.4,0.7,0.5,0.4
"14","Chase Manhattan",3.8,3.9,3.2,3.4,2.9,2.6,2.9,3.5,3.4,3,3.5
"15","Chrysler",1.6,2.7,2.1,1.8,1.3,1.9,2.4,4.4,4.5,3.3,4.5
"16","Coca Cola",4.5,3.7,2.6,2.8,2.7,2.4,2.1,2.3,1.9,1.6,1.7
"17","CBS",3,3.5,3.8,3.6,2.4,2.5,3,2.3,2.2,2.7,2.8
"18","ConEd",4.4,4.7,3.8,4,3.9,3.7,4,4.8,5.4,5.4,6
"19","Dow Chemical",1.4,1.6,1.9,2.8,2.6,2.4,2.4,3,2.8,3,3.4
"20","DuPont",4.6,4.8,5.3,5.1,4.2,3.3,2.5,3,3.1,3.4,3.9
"21","Firestone",1.9,2.5,2.3,2.7,2.8,2.7,2.6,3,2.8,2.6,2.8
"22","Ford",3.9,3.9,3.3,3.8,3.6,3.6,3.7,5,5.1,4.4,5.1
"23","GE",2.3,2.4,2.8,3,2.5,2.6,2.2,2.6,2.8,2.9,3
"24","General Foods",2.8,2.2,1.8,2.3,2.3,2.3,2.5,3,3.3,3.1,3.3
"25","General Mills",3,4.2,3.4,4.3,3.2,2.8,2.6,2.5,2.3,2.1,2.4
"26","General Motors",3.3,3.7,3.8,5.2,5.9,4.8,5.6,6.6,6.5,4.2,3.8
"27","A&P",2.4,2.8,2.5,2.7,3.8,3.8,3.8,4.7,5.2,4.9,4.3
"28","Greyhound",4.9,4.6,4.6,4,3.1,2.6,3.4,4.6,4.7,4.3,4.8
"29","Gulf Oil",2.5,3.1,2.9,3.9,3.6,3.1,3.3,3.8,3.6,3.4,3.9
"30","Imperial Chemical",2,2.5,2.3,3,2.2,2.6,3.1,3.3,4.9,3.2,3.2
"31","IBM",0.5,0.6,0.5,0.7,1,1.1,1.3,1.3,0.9,0.8,1.1
"32","International Harvester",4.1,5.4,4.9,4.8,4.3,3.7,3.7,4.1,4.9,5.2,5.8
"33","ITT",2.5,1.9,2.2,2.1,1.8,2,2,1.5,0,1.6,1.8
"34","Johnson & Johnson",1.3,1.5,1.1,1.2,1.1,1.1,1,1,0.8,0.7,0.6
