"","symbol","name","c.1","c.2","c.3","c.4","c.5","c.6","c.7","c.8","c.9"
"1","HN","Human",1,1,0,0,0,1,0,0,1
"2","WE","Whale",1,1,0,0,0,1,1,0,0
"3","CN","Chicken",1,1,1,1,1,0,0,0,0
"4","BG","Bullfrog",1,0,0,0,0,0,0,0,0
"5","MY","Monkey",1,1,0,0,0,1,0,0,1
"6","DG","Dog",1,1,0,0,0,1,1,0,0
"7","PN","Penguin",1,1,1,1,1,0,0,0,0
"8","HE","Horse",1,1,0,0,0,1,1,1,0
"9","RT","Rabbit",1,1,0,0,0,1,0,0,0
"10","DK","Duck",1,1,1,1,0,0,0,0,0
"11","PG","Pig",1,1,0,0,0,1,1,1,0
"12","KO","Kangaroo",1,1,0,0,0,1,0,0,0
"13","TE","Turtle",1,1,1,0,0,0,0,0,0
