"","country","p.1","p.2","p.3","p.4","p.5","p.6","p.7","p.8","p.9","p.10"
"1","Canada","N","A","Y","A","N","A","A","Y","Y","Y"
"2","Cuba","Y","A","N","Y","Y","N","Y","A","N","N"
"3","Mexico","N","Y","Y","N","N","Y","Y","A","A","Y"
"4","United Kingdom","N","N","Y","Y","N","A","N","A","Y","Y"
"5","Netherlands","N","N","Y","A","N","Y","A","A","Y","Y"
"6","France","N","A","N","Y","A","N","A","A","Y","Y"
"7","Spain","N","A","Y","N","Y","Y","A","A","A","Y"
"8","Portugal","A","N","A","A","A","A","N","N","Y","Y"
"9","Poland","Y","Y","N","Y","A","N","Y","Y","A","A"
"10","Austria","N","A","A","A","A","A","A","Y","Y","Y"
"11","Hungary","Y","Y","N","Y","Y","N","Y","Y","A","A"
"12","Czechoslovakia","Y","Y","N","Y","A","N","Y","Y","A","A"
"13","ItalY","N","A","Y","N","N","Y","A","A","Y","Y"
"14","Bulgaria","Y","Y","N","Y","Y","N","Y","Y","A","A"
"15","Romania","Y","Y","N","Y","Y","N","Y","Y","A","A"
"16","USSR","Y","Y","N","Y","A","N","Y","Y","A","A"
"17","Finland","A","A","N","Y","A","N","A","Y","Y","Y"
"18","Gambia","N","A","Y","N","A","N","A","A","A","A"
"19","Mali","A","Y","N","Y","Y","N","A","Y","N","N"
"20","Senegal","A","Y","Y","A","A","A","Y","Y","N","N"
"21","Dahomey","A","Y","Y","N","Y","N","Y","Y","N","N"
"22","Nigeria","N","Y","Y","N","Y","N","Y","Y","N","N"
"23","Ivory Coast","N","Y","Y","N","Y","N","Y","Y","A","A"
