"","country","birth","death"
"1","Algeria",36.4,14.6
"2","Congo",37.3,8
"3","Egypt",42.1,15.3
"4","Ghana",55.8,25.6
"5","Ivory Coast",56.1,33.1
"6","Malagasy",41.8,15.8
"7","Morocco",46.1,18.7
"8","Tunisia",41.7,10.1
"9","Cambodia",41.4,19.7
"10","Ceylon",35.8,8.5
"11","China",34,11
"12","Taiwan",36.3,6.1
"13","Hong Kong",32.1,5.5
"14","India",20.9,8.8
"15","Indonesia",27.7,10.2
"16","Iraq",20.5,3.9
"17","Israel",25,6.2
"18","Japan",17.3,7
"19","Jordan",46.3,6.4
"20","Korea",14.8,5.7
"21","Malaysia",33.5,6.4
"22","Mongolia",39.2,11.2
"23","Philippines",28.4,7.1
"24","Syria",26.2,4.3
"25","Thailand",34.8,7.9
"26","Vietnam",23.4,5.1
"27","Canada",24.8,7.8
"28","Costa Rica",49.9,8.5
"29","Dominican Republic",33,8.4
"30","Guatemala",47.7,17.3
"31","Honduras",46.6,9.7
"32","Mexico",45.1,10.5
"33","Nicaragua",42.9,7.1
"34","Panama",40.1,8
"35","United States",21.7,9.6
"36","Argentina",21.8,8.1
"37","Bolivia",17.4,5.8
"38","Brazil",45,13.5
"39","Chile",33.6,11.8
"40","Colombia",44,11.7
"41","Ecuador",44.2,13.5
"42","Peru",27.7,8.2
"43","Uruguay",22.5,7.8
"44","Venezuela",42.8,6.7
"45","Austria",18.8,12.8
"46","Belgium",17.1,12.7
"47","Britain",18.2,12.2
"48","Bulgaria",16.4,8.2
"49","Czechoslovakia",16.9,9.3
"50","Denmark",17.6,19.8
"51","Finland",18.1,9.2
"52","France",18.2,11.7
"53","East Germany",17.5,13.7
"54","West Germany",18.5,11.4
"55","Greece",17.4,7.8
"56","Hungary",13.1,9.9
"57","Ireland",22.3,11.9
"58","Italy",19,10.2
"59","Netherlands",20.9,8
"60","Norway",17.5,10
"61","Poland",19,7.5
"62","Portugal",23.5,10.8
"63","Romania",15.7,8.3
"64","Spain",21.5,9.1
"65","Sweden",14.8,10.1
"66","Switzerland",18.9,9.6
"67","USSR",21.2,7.2
"68","Yugoslavia",21.4,8.9
"69","Australia",21.6,8.7
"70","New Zealand",25.5,8.8
