"","code","name","income"
"1","AL","Alabama",1737
"2","AK","Alaska",3128
"3","AZ","Arizona",2218
"4","AR","Arkansas",1633
"5","CA","California",3092
"6","CO","Colorado",2591
"7","CT","Connecticut",3250
"8","DE","Delaware",3426
"9","FL","Florida",2280
"10","GA","Georgia",1933
"11","HI","Hawaii",2579
"12","ID","Idaho",2012
"13","IL","Illinois",3003
"14","IN","Indiana",2529
"15","IA","Iowa",2370
"16","KS","Kansas",2311
"17","KY","Kentucky",1811
"18","LA","Louisiana",1864
"19","ME","Maine",2130
"20","MD","Maryland",2888
"21","MA","Massachusetts",2922
"22","MI","Michigan",2733
"23","MN","Minnesota",2373
"24","MS","Mississippi",1444
"25","MO","Missouri",2595
"26","MT","Montana",2183
"27","NE","Nebraska",2302
"28","NV","Nevada",3248
"29","NH","New Hampshire",2340
"30","NJ","New Jersey",2962
"31","NM","New Mexico",2010
"32","NY","New York",3139
"33","NC","North Carolina",1900
"34","ND","North Dakota",2012
"35","OH","Ohio",2623
"36","OK","Oklahoma",2095
"37","OR","Oregon",2602
"38","PA","Pennsylvania",2575
"39","RI","Rhode Island",2479
"40","SC","South Carolina",1647
"41","SD","South Dakota",1832
"42","TN","Tennessee",1852
"43","TX","Texas",2175
"44","UT","Utah",2174
"45","VT","Vermont",2144
"46","VA","Virginia",2224
"47","WA","Washington",2634
"48","WV","West Virginia",1962
"49","WI","Wisconsin",2492
"50","WY","Wyoming",2475
