"","index","code","name","parent"
"1",1,"S","Thysanura (Bristle tail)",36
"2",2,"S","Diplura",36
"3",3,"A","Protura",36
"4",4,"A","Collembola (Spring tail)",36
"5",5,"S","Ephemeroptera (May flies)",30
"6",6,"A","Odonodata (Dragon flies)",30
"7",7,"S","Plecoptera (Stoneflies)",31
"8",8,"S","Grylloblattodea",31
"9",9,"U","Orthoptera (grasshoppers)",31
"10",10,"U","Phasmida (stick insect)",31
"11",11,"U","Dermaptera (earwig)",31
"12",12,"S","Embioptera",31
"13",13,"S","Dictyoptera (cockroaches)",31
"14",14,"U","Isoptera (termites)",31
"15",15,"U","Zoraptera",31
"16",16,"A","Psocoptera (book lice)",32
"17",17,"A","Mallophaga (bird lice)",32
"18",18,"A","Siphunculata (sucking lice)",32
"19",19,"A","Hemiptera (plant lice)",32
"20",20,"A","Thysanoptera (thrips)",32
"21",21,"A","Neuroptera (lacewings)",33
"22",22,"A","Mecoptera (scorpion flies)",33
"23",23,"A","Lepidoptera (butterflies)",33
"24",24,"A","Trichoptera (Caddis flies)",33
"25",25,"A","Diptera (true flies)",33
"26",26,"A","Siphonaptera (fleas)",33
"27",27,"A","Hymenoptera (ants)",35
"28",28,"A","Coleoptera (beetles)",35
"29",29,"A","Strepsiptera",35
"30",30,"AS","Palaeopteran",34
"31",31,"SU","Orthopteroid",34
"32",32,"A","Hemipteroid",34
"33",33,"A","Panorpoid",35
"34",34,"ASU","Exopterygota",37
"35",35,"A","Endopterygota",37
"36",36,"AS","Apterygota",38
"37",37,"ASU","Pterygota",38
"38",38,"ASU","Root",0
