"","code","name","r.61","r.62","r.63","r.64","r.65","r.66","r.67","r.68","r.69","r.70"
"1","MG","Medoc and Graves","E","G","P","G","D","G","G","P","A","G"
"2","EP","Saint Emilion and Pomerol","E","A","P","G","P","G","G","P","A","G"
"3","SS","Sauternes","G","G","D","D","D","A","G","P","G","G"
"4","GS","Graves","G","G","D","G","D","G","G","P","G","G"
"5","RB","Red Burgundy","E","G","A","G","P","G","A","D","G","G"
"6","CB","Cote de Beaune","E","G","A","G","A","G","G","A","G","G"
"7","CS","Chablis","E","G","A","G","P","G","G","A","G","G"
"8","BS","Beaujolais","E","G","P","G","D","G","A","P","G","G"
"9","RN","Red Rhone North","E","G","P","G","A","G","G","A","G","G"
"10","RS","Red Rhone South","G","A","P","G","A","A","G","A","G","G"
"11","WL","White Loire","A","P","P","G","P","A","G","G","G","G"
"12","AE","Alsace","G","A","P","E","P","G","G","P","G","G"
"13","RE","Rhine","G","A","P","G","P","G","G","P","G","G"
"14","ME","Moselle","G","A","P","E","P","G","G","P","G","G"
"15","CA","California",NA,NA,NA,"P","G","A","G","G","A","G"
