"","code","name","wg","it","fr","ns","bm","lg","gb","pl","aa","sd","sw","dk","ny","fd","sp","id"
"1","GC","ground coffee",90,82,88,96,94,97,27,72,55,73,97,96,92,98,70,13
"2","IC","instant coffee",49,10,42,62,38,61,86,26,31,72,13,17,17,12,40,52
"3","TB","tea bags",88,60,63,98,48,86,99,77,61,85,93,92,83,84,40,99
"4","SS","sugarless sweets",19,2,4,32,11,28,22,2,15,25,31,35,13,20,0,11
"5","BP","packaged biscuits",57,55,76,62,74,79,91,22,29,31,0,66,62,64,62,80
"6","SP","packaged soup",51,41,53,67,37,73,55,34,33,69,43,32,51,27,43,75
"7","ST","tinned soup",19,3,11,43,25,12,76,1,1,10,43,17,4,10,2,18
"8","IP","instant potatoes",21,2,23,7,9,7,17,5,5,17,39,11,17,8,14,2
"9","FF","frozen fish",27,4,11,14,13,26,20,20,15,19,54,51,30,18,23,5
"10","VF","frozen vegetables",21,2,5,14,12,23,24,3,11,15,45,42,15,12,7,3
"11","AF","fresh apples",81,67,87,83,76,85,76,22,49,79,56,81,61,50,59,57
"12","OF","fresh oranges",75,71,84,89,76,94,68,51,42,70,78,72,72,57,77,52
"13","FT","tinned fruit",44,9,40,61,42,83,89,8,14,46,53,50,34,22,30,46
"14","JS","shop jam",71,46,45,81,57,20,91,16,41,61,75,64,51,37,38,89
"15","CG","garlic clove",22,80,88,15,29,91,11,89,51,64,9,11,11,15,86,5
"16","BR","butter",91,66,94,31,84,94,95,65,51,82,68,92,63,96,44,97
"17","ME","margarine",85,24,47,97,80,94,94,78,72,48,32,91,94,94,51,25
"18","OO","olive oil",74,94,36,13,83,84,57,92,28,61,48,30,28,17,91,31
"19","YT","yogurt",30,5,57,53,20,31,11,6,13,48,2,11,2,0,16,3
"20","CD","crispbread",26,18,3,15,5,24,28,9,11,30,93,34,62,64,13,9
