"","Date","EUR","USD","GBP"
"1",2015-02-24,0.9309,1.0567,0.6862
"2",2015-02-23,0.9353,1.0641,0.691
"3",2015-02-22,0.9353,1.0641,0.691
"4",2015-02-21,0.929,1.0548,0.6849
"5",2015-02-20,0.9288,1.0585,0.6856
"6",2015-02-19,0.9349,1.0647,0.6917
"7",2015-02-18,0.9418,1.0715,0.6974
"8",2015-02-17,0.9423,1.074,0.6975
"9",2015-02-16,0.9411,1.0711,0.6955
"10",2015-02-15,0.9411,1.0711,0.6955
"11",2015-02-14,0.9424,1.0753,0.6984
"12",2015-02-13,0.9482,1.0756,0.7033
"13",2015-02-12,0.9534,1.0785,0.7068
"14",2015-02-11,0.955,1.081,0.7095
"15",2015-02-10,0.9545,1.081,0.7095
"16",2015-02-09,0.9527,1.0775,0.7067
"17",2015-02-08,0.9528,1.0776,0.7067
"18",2015-02-07,0.9477,1.0825,0.7074
"19",2015-02-06,0.9489,1.0809,0.7093
"20",2015-02-05,0.9441,1.0809,0.7118
"21",2015-02-04,0.9488,1.0796,0.7166
"22",2015-02-03,0.9524,1.0783,0.7163
"23",2015-02-02,0.9598,1.0836,0.7194
"24",2015-02-01,0.96,1.0837,0.7195
"25",2015-01-31,0.957,1.0834,0.7193
"26",2015-01-30,0.9674,1.093,0.723
"27",2015-01-29,0.9748,1.1063,0.7288
"28",2015-01-28,0.981,1.1079,0.7325
"29",2015-01-27,1.0039,1.1264,0.7496
"30",2015-01-26,1.0115,1.133,0.7564
"31",2015-01-25,1.0115,1.133,0.7564
"32",2015-01-24,1.0132,1.1442,0.7628
"33",2015-01-23,1.0034,1.1588,0.7663
"34",2015-01-22,0.9949,1.1516,0.7609
"35",2015-01-21,0.9841,1.1397,0.7536
"36",2015-01-20,0.9932,1.1509,0.7602
"37",2015-01-19,1.0041,1.1641,0.7697
"38",2015-01-18,1.0041,1.1639,0.7695
"39",2015-01-17,0.9966,1.156,0.7618
"40",2015-01-16,0.8869,1.0402,0.6833
"41",2015-01-15,0.8326,0.9809,0.6458
"42",2015-01-14,0.8326,0.9833,0.6487
"43",2015-01-13,0.8326,0.9855,0.6501
"44",2015-01-12,0.8326,0.9857,0.65
"45",2015-01-11,0.8326,0.9857,0.65
"46",2015-01-10,0.8326,0.9833,0.6503
"47",2015-01-09,0.8325,0.983,0.6516
"48",2015-01-08,0.8326,0.987,0.6527
"49",2015-01-07,0.8323,0.9928,0.6523
"50",2015-01-06,0.8321,0.9935,0.6506
"51",2015-01-05,0.8316,0.9979,0.651
"52",2015-01-04,0.8316,0.9979,0.6511
"53",2015-01-03,0.8317,1.002,0.6473
"54",2015-01-02,0.8315,1.0062,0.6459
"55",2015-01-01,0.8315,1.0097,0.6483
"56",2014-12-31,0.8313,1.0105,0.6506
"57",2014-12-30,0.8312,1.0127,0.6511
"58",2014-12-29,0.831,1.0117,0.6503
"59",2014-12-28,0.831,1.0117,0.6503
"60",2014-12-27,0.8315,1.0141,0.6518
"61",2014-12-26,0.8316,1.0141,0.6517
"62",2014-12-25,0.8316,1.0134,0.6524
"63",2014-12-24,0.8312,1.0151,0.6525
"64",2014-12-23,0.8309,1.0176,0.6512
"65",2014-12-22,0.8305,1.0155,0.6498
"66",2014-12-21,0.8305,1.0155,0.6498
"67",2014-12-20,0.8306,1.0192,0.6512
"68",2014-12-19,0.8312,1.0235,0.6554
"69",2014-12-18,0.8326,1.0377,0.6608
"70",2014-12-17,0.8326,1.0391,0.6623
"71",2014-12-16,0.8325,1.0359,0.6603
"72",2014-12-15,0.8325,1.0369,0.6599
"73",2014-12-14,0.8325,1.0369,0.6599
"74",2014-12-13,0.8325,1.0344,0.658
"75",2014-12-12,0.8317,1.034,0.6584
"76",2014-12-11,0.8317,1.0308,0.6572
"77",2014-12-10,0.8318,1.0272,0.656
"78",2014-12-09,0.8316,1.0217,0.6551
"79",2014-12-08,0.8315,1.0213,0.6553
"80",2014-12-07,0.8315,1.0213,0.6553
"81",2014-12-06,0.8316,1.027,0.6565
"82",2014-12-05,0.831,1.0251,0.6537
"83",2014-12-04,0.8308,1.026,0.6551
"84",2014-12-03,0.8307,1.0332,0.6583
"85",2014-12-02,0.8311,1.0357,0.6607
"86",2014-12-01,0.8312,1.0349,0.6616
"87",2014-11-30,0.8312,1.0349,0.6616
"88",2014-11-29,0.832,1.0362,0.6603
"89",2014-11-28,0.8318,1.039,0.6589
"90",2014-11-27,0.8315,1.0379,0.6594
"91",2014-11-26,0.8314,1.0343,0.6591
"92",2014-11-25,0.8315,1.0314,0.6582
"93",2014-11-24,0.8321,1.0304,0.6581
"94",2014-11-23,0.8321,1.0305,0.6581
"95",2014-11-22,0.8318,1.0381,0.6622
"96",2014-11-21,0.8323,1.0437,0.6656
"97",2014-11-20,0.8324,1.0433,0.6669
"98",2014-11-19,0.8324,1.0401,0.6646
"99",2014-11-18,0.8323,1.0408,0.6643
"100",2014-11-17,0.8323,1.0423,0.6651
"101",2014-11-16,0.8323,1.0423,0.6651
"102",2014-11-15,0.832,1.0373,0.6618
"103",2014-11-14,0.8318,1.0361,0.6576
"104",2014-11-13,0.8313,1.036,0.6527
"105",2014-11-12,0.8314,1.0335,0.6516
"106",2014-11-11,0.8312,1.036,0.6522
"107",2014-11-10,0.8308,1.0347,0.6518
"108",2014-11-09,0.8308,1.0347,0.6518
