"","ARG","AUS","BRA","CAN","PRC","FRA","DEU","IND","ITA","JAP","ROK","MEX","POR","SIN","ESP","UK","US"
"ARG",0,-3.8881015117446e-05,-0.0167348865054875,0.00122989871032112,0.00816052502737282,-0.000479451212765696,-0.000471157897119565,0.00195375881359924,0.00212840628426481,-0.00225280601895676,-0.000194941701893745,0.00312155522499375,0.000654879230786193,-0.00039866456153045,0.00610524627342301,0.00101217478250536,0.00438384665054446
"AUS",3.8881015117446e-05,0,0.00125302242571092,0.00360378713771138,-0.00274928292090187,-0.000797816965157732,-0.131131955628224,0.000608192742119448,0.00601962998542913,2.60019837611033e-05,-0.000129278155660266,0.00176496392212557,0.000754447802749439,0.00242277020549275,0.00449185489078289,0.00329381226938484,0.0169824175854197
"BRA",0.0167348865054875,-0.00125302242571092,0,0.00849713607418634,0.0222212562948705,0.000662782272754859,0.00162534351401248,-0.00232666531241701,0.00525971835119518,0.00320268336569678,-0.000285826684533394,0.0234537893525145,0.00471435967114759,-0.000894702405588407,0.00520132365220449,0.00830799969324489,0.0589454727180161
"CAN",-0.00122989871032112,-0.00360378713771138,-0.00849713607418634,0,-0.0910827050414968,-0.0099110000392225,-0.0294145855810658,-0.00370033108867428,-0.0118224629430265,-0.0203300876222947,-0.0110250850357559,-0.0311966239765805,-0.000677856593546942,-0.000342074878298032,0.000307242952584284,-0.00852591875789938,0.472197000785816
"PRC",-0.00816052502737282,0.00274928292090187,-0.0222212562948705,0.0910827050414968,0,0.0290034810460661,0.078782888606721,-0.0105662207594765,0.0367351440861147,-0.131100733734027,-0.252658446722472,0.0861923807260222,0.00139308189171115,-0.0661209957676771,0.0481317208786075,0.121489805368566,1
"FRA",0.000479451212765696,0.000797816965157732,-0.000662782272754859,0.0099110000392225,-0.0290034810460661,0,-0.134007296946948,-0.00216694580991447,-0.0164685735048274,0.00286743827675439,-0.00316063137694993,0.0103629369577269,0.00294344407544068,-0.000562384369227,0.0358607846959641,0.0224797638219813,0.0452995535854541
"DEU",0.000471157897119565,0.131131955628224,-0.00162534351401248,0.0294145855810658,-0.078782888606721,0.134007296946948,0,0.00560798882412297,0.10940395647746,-0.042614958526592,-0.00702829230483731,0.0340386456800899,0.0154080047863164,0.00534157825504346,0.105870028328015,0.0634424011666061,0.173527385211242
"IND",-0.00195375881359924,-0.000608192742119448,0.00232666531241701,0.00370033108867428,0.0105662207594765,0.00216694580991447,-0.00560798882412297,0,0.00503101797620072,-0.00136307960275603,-0.00986733817155611,0.00469206528732241,0.00113452558039062,0.00484729664253409,0.00620281469278924,0.00650283758234043,0.0599282794062923
"ITA",-0.00212840628426481,-0.00601962998542913,-0.00525971835119518,0.0118224629430265,-0.0367351440861147,0.0164685735048274,-0.10940395647746,-0.00503101797620072,0,0.0033144479900808,-0.0102904924063475,0.017095060325578,0.00716591256035339,0.00877076670629896,0.0405830961932901,0.0194980729261491,0.0929788009192506
"JAP",0.00225280601895676,-2.60019837611033e-05,-0.00320268336569678,0.0203300876222947,0.131100733734027,-0.00286743827675439,0.042614958526592,0.00136307960275603,-0.0033144479900808,0,0.117106495344328,0.0577786519908153,0.00258141645538225,0.0612075965210224,0.020264765565529,0.044912060607941,0.373214327180864
"ROK",0.000194941701893745,0.000129278155660266,0.000285826684533394,0.0110250850357559,0.252658446722472,0.00316063137694993,0.00702829230483731,0.00986733817155611,0.0102904924063475,-0.117106495344328,0,0.0329923219508064,0.00163173424548097,0.0160055625707249,0.0131127565049353,0.0119814994665935,0.0718845086522699
"MEX",-0.00312155522499375,-0.00176496392212557,-0.0234537893525145,0.0311966239765805,-0.0861923807260222,-0.0103629369577269,-0.0340386456800899,-0.00469206528732241,-0.017095060325578,-0.0577786519908153,-0.0329923219508064,0,-8.11769249127103e-05,-0.00974176761583176,-0.00181760208437366,-0.00597728529142418,0.205298589609471
"POR",-0.000654879230786193,-0.000754447802749439,-0.00471435967114759,0.000677856593546942,-0.00139308189171115,-0.00294344407544068,-0.0154080047863164,-0.00113452558039062,-0.00716591256035339,-0.00258141645538225,-0.00163173424548097,8.11769249127103e-05,0,0.00124794886790387,-0.0400419329552752,0.0018420429734249,0.00526781653000258
"SIN",0.00039866456153045,-0.00242277020549275,0.000894702405588407,0.000342074878298032,0.0661209957676771,0.000562384369227,-0.00534157825504346,-0.00484729664253409,-0.00877076670629896,-0.0612075965210224,-0.0160055625707249,0.00974176761583176,-0.00124794886790387,0,-0.000349002236073035,0.0152177463685522,-0.039487890685904
"ESP",-0.00610524627342301,-0.00449185489078289,-0.00520132365220449,-0.000307242952584284,-0.0481317208786075,-0.0358607846959641,-0.105870028328015,-0.00620281469278924,-0.0405830961932901,-0.020264765565529,-0.0131127565049353,0.00181760208437366,0.0400419329552752,0.000349002236073035,0,-0.00637560836348686,0.00726665195334902
"UK",-0.00101217478250536,-0.00329381226938484,-0.00830799969324489,0.00852591875789938,-0.121489805368566,-0.0224797638219813,-0.0634424011666061,-0.00650283758234043,-0.0194980729261491,-0.044912060607941,-0.0119814994665935,0.00597728529142418,-0.0018420429734249,-0.0152177463685522,0.00637560836348686,0,0.0512844004293791
"US",-0.00438384665054446,-0.0169824175854197,-0.0589454727180161,-0.472197000785816,-1,-0.0452995535854541,-0.173527385211242,-0.0599282794062923,-0.0929788009192506,-0.373214327180864,-0.0718845086522699,-0.205298589609471,-0.00526781653000258,0.039487890685904,-0.00726665195334902,-0.0512844004293791,0
