"","GDP","log_GDP","G8"
"ARG",222910837452.42,26.1300376964005,"No"
"AUS",693338595699.895,27.2647843108966,"No"
"BRA",892106837571.518,27.5168517354164,"No"
"CAN",1164144248225.78,27.7830073821524,"Yes"
"PRC",2268594289022.03,28.4501814996663,"No"
"FRA",2203678646934.46,28.4211491921125,"Yes"
"DEU",2857629648053.72,28.6810136027335,"Yes"
"IND",834215013605.932,27.4497570161569,"No"
"ITA",1853512498445.47,28.2481036026736,"Yes"
"JAP",4571867441130.41,29.1509428678123,"Yes"
"ROK",898137223946.171,27.5235887042047,"No"
"MEX",866346483685.297,27.4875507621258,"No"
"POR",197304564108.942,26.0080143825454,"No"
"SIN",127417879442.861,25.5707379112334,"No"
"ESP",1157276458151.97,27.7770904795491,"No"
"UK",2412109090909.09,28.5115226221742,"Yes"
"US",1.3093726e+13,30.2031543001137,"Yes"
