"","sex","ageYear","ageMonth","heightIn","weightLb"
"1","f",11.92,143,56.3,85
"2","f",12.92,155,62.3,105
"3","f",12.75,153,63.3,108
"4","f",13.42,161,59,92
"5","f",15.92,191,62.5,112.5
"6","f",14.25,171,62.5,112
"7","f",15.42,185,59,104
"8","f",11.83,142,56.5,69
"9","f",13.33,160,62,94.5
"10","f",11.67,140,53.8,68.5
"11","f",11.58,139,61.5,104
"12","f",14.83,178,61.5,103.5
"13","f",13.08,157,64.5,123.5
"14","f",12.42,149,58.3,93
"15","f",11.92,143,51.3,50.5
"16","f",12.08,145,58.8,89
"17","f",15.92,191,65.3,107
"18","f",12.5,150,59.5,78.5
"19","f",12.25,147,61.3,115
"20","f",15,180,63.3,114
"21","f",11.75,141,61.8,85
"22","f",11.67,140,53.5,81
"23","f",13.67,164,58,83.5
"24","f",14.67,176,61.3,112
"25","f",15.42,185,63.3,101
"26","f",13.83,166,61.5,103.5
"27","f",14.58,175,60.8,93.5
"28","f",15,180,59,112
"29","f",17.5,210,65.5,140
"30","f",12.17,146,56.3,83.5
"31","f",14.17,170,64.3,90
"32","f",13.5,162,58,84
"33","f",12.42,149,64.3,110.5
"34","f",11.58,139,57.5,96
"35","f",15.5,186,57.8,95
"36","f",16.42,197,61.5,121
"37","f",14.08,169,62.3,99.5
"38","f",14.75,177,61.8,142.5
"39","f",15.42,185,65.3,118
"40","f",15.17,182,58.3,104.5
"41","f",14.42,173,62.8,102.5
"42","f",13.83,166,59.3,89.5
"43","f",14,168,61.5,95
"44","f",14.08,169,62,98.5
"45","f",12.5,150,61.3,94
"46","f",15.33,184,62.3,108
"47","f",11.58,139,52.8,63.5
"48","f",12.25,147,59.8,84.5
"49","f",12,144,59.5,93.5
"50","f",14.75,177,61.3,112
"51","f",14.83,178,63.5,148.5
"52","f",16.42,197,64.8,112
"53","f",12.17,146,60,109
"54","f",12.08,145,59,91.5
"55","f",12.25,147,55.8,75
"56","f",12.08,145,57.8,84
"57","f",12.92,155,61.3,107
"58","f",13.92,167,62.3,92.5
"59","f",15.25,183,64.3,109.5
"60","f",11.92,143,55.5,84
"61","f",15.25,183,64.5,102.5
"62","f",15.42,185,60,106
"63","f",12.33,148,56.3,77
"64","f",12.25,147,58.3,111.5
"65","f",12.83,154,60,114
"66","f",13,156,54.5,75
"67","f",12,144,55.8,73.5
"68","f",12.83,154,62.8,93.5
"69","f",12.67,152,60.5,105
"70","f",15.92,191,63.3,113.5
"71","f",15.83,190,66.8,140
"72","f",11.67,140,60,77
"73","f",12.33,148,60.5,84.5
"74","f",15.75,189,64.3,113.5
"75","f",11.92,143,58.3,77.5
"76","f",14.83,178,66.5,117.5
"77","f",13.67,164,65.3,98
"78","f",13.08,157,60.5,112
"79","f",12.25,147,59.5,101
"80","f",12.33,148,59,95
"81","f",14.75,177,61.3,81
"82","f",14.25,171,61.5,91
"83","f",14.33,172,64.8,142
"84","f",15.83,190,56.8,98.5
"85","f",15.25,183,66.5,112
"86","f",11.92,143,61.5,116.5
"87","f",14.92,179,63,98.5
"88","f",15.5,186,57,83.5
"89","f",15.17,182,65.5,133
"90","f",15.17,182,62,91.5
"91","f",11.83,142,56,72.5
"92","f",13.75,165,61.3,106.5
"93","f",13.75,165,55.5,67
"94","f",12.83,154,61,122.5
"95","f",12.5,150,54.5,74
"96","f",12.92,155,66,144.5
"97","f",13.58,163,56.5,84
"98","f",11.75,141,56,72.5
"99","f",12.25,147,51.5,64
"100","f",17.5,210,62,116
"101","f",14.25,171,63,84
"102","f",13.92,167,61,93.5
"103","f",15.17,182,64,111.5
"104","f",12,144,61,92
"105","f",16.08,193,59.8,115
"106","f",11.75,141,61.3,85
"107","f",13.67,164,63.3,108
"108","f",15.5,186,63.5,108
"109","f",14.08,169,61.5,85
"110","f",14.58,175,60.3,86
"111","f",15,180,61.3,110.5
"112","m",13.75,165,64.8,98
"113","m",13.08,157,60.5,105
"114","m",12,144,57.3,76.5
"115","m",12.5,150,59.5,84
"116","m",12.5,150,60.8,128
"117","m",11.58,139,60.5,87
"118","m",15.75,189,67,128
"119","m",15.25,183,64.8,111
"120","m",12.25,147,50.5,79
"121","m",12.17,146,57.5,90
"122","m",13.33,160,60.5,84
"123","m",13,156,61.8,112
"124","m",14.42,173,61.3,93
"125","m",12.58,151,66.3,117
"126","m",11.75,141,53.3,84
"127","m",12.5,150,59,99.5
"128","m",13.67,164,57.8,95
"129","m",12.75,153,60,84
"130","m",17.17,206,68.3,134
"132","m",14.67,176,63.8,98.5
"133","m",14.67,176,65,118.5
"134","m",11.67,140,59.5,94.5
"135","m",15.42,185,66,105
"136","m",15,180,61.8,104
"137","m",12.17,146,57.3,83
"138","m",15.25,183,66,105.5
"139","m",11.67,140,56.5,84
"140","m",12.58,151,58.3,86
"141","m",12.58,151,61,81
"142","m",12,144,62.8,94
"143","m",13.33,160,59.3,78.5
"144","m",14.83,178,67.3,119.5
"145","m",16.08,193,66.3,133
"146","m",13.5,162,64.5,119
"147","m",13.67,164,60.5,95
"148","m",15.5,186,66,112
"149","m",11.92,143,57.5,75
"150","m",14.58,175,64,92
"151","m",14.58,175,68,112
"152","m",14.58,175,63.5,98.5
"153","m",14.42,173,69,112.5
"154","m",14.17,170,63.8,112.5
"155","m",14.5,174,66,108
"156","m",13.67,164,63.5,108
"157","m",12,144,59.5,88
"158","m",13,156,66.3,106
"159","m",12.42,149,57,92
"160","m",12,144,60,117.5
"161","m",12.25,147,57,84
"162","m",15.67,188,67.3,112
"163","m",14.08,169,62,100
"164","m",14.33,172,65,112
"165","m",12.5,150,59.5,84
"166","m",16.08,193,67.8,127.5
"167","m",13.08,157,58,80.5
"168","m",14,168,60,93.5
"169","m",11.67,140,58.5,86.5
"170","m",13,156,58.3,92.5
"171","m",13,156,61.5,108.5
"172","m",13.17,158,65,121
"173","m",15.33,184,66.5,112
"174","m",13,156,68.5,114
"175","m",12,144,57,84
"176","m",14.67,176,61.5,81
"177","m",14,168,66.5,111.5
