"","TimeUTC","Temp","WindAvg","WindMax","WindDir","SpeedCat","DirCat"
"3",0,3.54,9.52,10.39,89,"10-15",90
"4",5,3.52,9.1,9.9,92,"5-10",90
"5",10,3.53,8.73,9.51,92,"5-10",90
"6",15,3.63,8.97,9.9,94,"5-10",90
"7",20,3.71,8.51,9.41,97,"5-10",90
"8",25,3.73,8.43,9.02,95,"5-10",90
"9",30,3.56,8.12,8.92,98,"5-10",105
"10",35,3.63,8.47,9.11,101,"5-10",105
"11",40,3.59,8.27,9.21,101,"5-10",105
"12",45,3.82,8.76,9.41,101,"5-10",105
"13",50,3.78,8.77,9.51,97,"5-10",90
"14",55,3.67,8.24,9.11,96,"5-10",90
"15",100,3.52,8.04,8.62,97,"5-10",90
"16",105,3.57,8.34,9.02,98,"5-10",105
"17",110,3.58,8.16,8.62,96,"5-10",90
"18",115,3.56,8.64,9.51,98,"5-10",105
"19",120,3.56,8.93,10.29,97,"10-15",90
"20",125,3.64,8.76,9.9,97,"5-10",90
"21",130,3.6,8.86,9.8,99,"5-10",105
"22",135,3.55,8.78,9.6,99,"5-10",105
"23",140,3.57,8.77,9.6,104,"5-10",105
"24",145,3.57,8.94,9.8,104,"5-10",105
"25",150,3.54,8.76,9.51,109,"5-10",105
"26",155,3.52,8.89,9.6,109,"5-10",105
"27",200,3.53,8.45,9.41,110,"5-10",105
"28",205,3.53,8.14,9.11,110,"5-10",105
"29",210,3.49,7.95,8.72,107,"5-10",105
"30",215,3.41,7.68,8.82,107,"5-10",105
"31",220,3.3,6.83,7.84,112,"5-10",105
"32",225,3.35,7.08,8.23,114,"5-10",120
"33",230,3.43,7.07,8.04,115,"5-10",120
"34",235,3.41,6.92,7.84,118,"5-10",120
"35",240,3.33,6.98,7.84,117,"5-10",120
"36",245,3.3,7.22,8.33,117,"5-10",120
"37",250,3.31,7.75,8.62,119,"5-10",120
"38",255,3.31,8.07,8.92,123,"5-10",120
"39",300,3.25,7.93,8.62,129,"5-10",135
"40",305,3.24,8.27,9.31,127,"5-10",120
"41",310,3.3,9.1,10.19,123,"10-15",120
"42",315,3.32,8.79,9.8,124,"5-10",120
"43",320,3.25,8.36,9.21,125,"5-10",120
"44",325,3.26,8.54,9.21,120,"5-10",120
"45",330,3.22,8.78,9.41,115,"5-10",120
"46",335,3.2,8.75,9.21,115,"5-10",120
"47",340,3.14,8.43,9.21,123,"5-10",120
"48",345,3.07,8.24,8.92,129,"5-10",135
"49",350,3.09,8.11,9.21,128,"5-10",135
"50",355,3.17,8.61,9.41,125,"5-10",120
"51",400,3.17,8.24,9.31,124,"5-10",120
"52",405,3.14,7.98,8.72,123,"5-10",120
"53",410,3.15,7.69,8.43,122,"5-10",120
"54",415,3.16,7.83,8.53,122,"5-10",120
"55",420,3.17,7.86,8.72,114,"5-10",120
"56",425,3.15,7.77,9.02,117,"5-10",120
"57",430,3.17,8.16,9.51,130,"5-10",135
"58",435,3.18,7.9,8.92,140,"5-10",135
"59",440,3.19,7.26,8.72,136,"5-10",135
"60",445,3.1,7.44,8.92,132,"5-10",135
"61",450,3.31,8.63,9.6,126,"5-10",120
"62",455,3.33,8.02,8.92,133,"5-10",135
"63",500,3.25,7.53,8.53,138,"5-10",135
"64",505,3.27,7.43,8.23,137,"5-10",135
"65",510,3.23,7.56,8.62,131,"5-10",135
"66",515,3.19,7.23,8.13,134,"5-10",135
