"","Year","Population"
"1",-10000,2431
"2",-9000,3564
"3",-8000,5136
"4",-7000,7562
"5",-6000,11461
"6",-5000,17920
"7",-4000,28370
"8",-3000,44820
"9",-2000,72108
"10",-1000,115066
"11",0,188239
"12",100,195062
"13",200,202310
"14",300,205317
"15",400,208910
"16",500,210430
"17",600,212643
"18",700,225835
"19",800,240488
"20",900,268747
"21",1000,295040
"22",1100,352607
"23",1200,393081
"24",1300,392404
"25",1400,389775
"26",1500,461368
"27",1600,553956
"28",1700,603168
"29",1710,634825
"30",1720,656327
"31",1730,670123
"32",1740,755229
"33",1750,813664
"34",1760,839647
"35",1770,861912
"36",1780,951028
"37",1790,987944
"38",1800,989818
"39",1810,1060575
"40",1820,1089649
"41",1830,1159136
"42",1840,1212230
"43",1850,1262682
"44",1860,1289168
"45",1870,1331447
"46",1880,1419596
"47",1890,1538923
"48",1900,1654431
"49",1910,1777175
"50",1920,1912111
"51",1930,2091894
"52",1940,2307348
"53",1950,2544877
"54",1960,3042795
"55",1970,3709837
"56",1980,4460710
"57",1990,5307597
"58",2000,6144834
